,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,LINK,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.187807978295357,0,0.24102654697832,0.0910837703606754,0,0,0,0,0,0,0.145163677118255,0,0,0,0,-0.0576745901917637
ETH,0,0,0,0.0211617925265615,0,0.370412766082677,0.247597110721052,0.0234140345656927,0.0644195626543931,0,0,0,0,0,0.0161638188704695,0,0,0,0,0
XRP,0,0,0,0.0738563836942553,0,0,0.170724701505776,0.0573285417390429,0.0478057222141084,0.138634905522084,0,0.10048743508664,0,0,0,0,0,0,0,0
BCH,0,0.0668671489577949,0,0,0,0.333549204190954,0.214785017613547,0.234639085193131,0,0.165143763261718,0,0,0,0.0244523131788369,0,0,0,0,0,0
LTC,0.0687429363553287,0,0,0.0164383275369368,0,0.275836755698705,0,0.0811956513232981,0.106763569681393,0,0.0970400067162211,0,0,0,0.0952588765913191,0,0,0,0,0
EOS,0,0,0,0.134387547399573,0.251258588430602,0,0,0.0172441087936512,0,0.176150845931179,0.264597385024824,0,0,0,0,0,0,0,0,0
BNB,0.0524558738646959,0,0.132726551507494,0.258543959272135,0.195131634262454,0,0,0.00872346075013928,0,0.0676849160476505,0.110072741521189,0.00792894481654354,0,0,0.0153173237225555,0,0,0,0,0
BSV,0,0,-0.104008839111632,0.484901165913197,0,0.0886822325854044,0,0,0,-0.14930379563155,0.791504455689569,0,0,0,0.0296075719041873,0,0,0,0,0
XLM,-0.0590043366939372,0,0.397235810672182,-0.308354601037243,0.643462658558829,0,0,0.00000000000000000346944695195361,0,0.0989938752589647,0.134784396932467,0,0,0,0.00997916231756602,0,0.39898529792829,0,0,0
TRX,0,0,0.335996278105905,0.247067913107091,0,0.277982793605239,0,0,0,0,0.389472245386029,0.100509518080516,0,0.0363408449596352,-0.125367933479836,0,0,0,0,-0.0925834212061148
ADA,0,0,0,0,0,0.352767115425297,0.193381317880902,0,0.0914813612292507,0.208158464725871,0,0,0,0.0100901002794374,0,0,0,0,0,0
XMR,0,-0.247163624858125,0,-0.00000000000000000693889390390723,0,0,0.274005153157548,0.108764205099416,0.125750631168094,0.336857820968058,-0.0426806638282289,0,0,0,0.00854679774044395,0,0,0,0,0.00555497245235332
LEO,0.154990799162081,0,-0.0175573321927232,0,0,0,0,0,0,0,0,0,0,-0.121559870322387,0.0616775102614723,-0.236567579886456,0,0,0,0
LINK,0,0,0,0.152518974124564,0,0.192426690083463,0,0,-0.0161818381757407,0,0,0,0,0,-0.0540575200368361,0,0,0,0,0.243207085184864
NEO,0.492339820533772,0,0.315660780027698,0,0,0,0.0506607097041363,0.166351409170945,-0.0567274939726294,0,0,0,0,0,0,0,0,0,0,0.0427184268104263
BV010082.INDEX,0,0,0,0.227842355454904,0,0,0,0.130376605261385,-0.0457572058739644,0,-0.293158956544745,-0.334355724274233,-0.296791435940902,-0.0524409356842206,0.114907398195691,0,0,0,0,-0.148530290263177
CVIX.INDEX,0.225016289556371,0.291448145830614,-0.163707862465161,0,0,0,-0.353742623564046,0.0269558146076046,0,-0.0552218549636564,0,0,0.155361475527195,0.116364098181412,0,-0.0504894267139182,0,0,0,0.0514316073291122
DXY.INDEX,0,0.0728546676461219,-0.0149338797057637,0,0,-0.0173931294472972,0,0,0,0,-0.0361488830860918,0,0,0.0066538967466439,0,0.00114465204141977,0,0,0,0
SPX.INDEX,0,0,0.000255338519289387,0,0,0.0105561623110377,-0.0184681287368835,0,0,0.00412867346648972,0,0,0,0,0,0.0104291544845956,0,0,0,-0.0771764133519341
VIX.INDEX,0,0,0,0,-0.0288523569200811,0,-0.0152817261365178,-0.0359192417635196,0,0.0937867745309459,0,0,0,0.260636879250228,0,0,0,0,-3.53504715555071,0
