,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,XTZ,XMR,ADA,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0160008828788798,0.141236836428507,0,0,0.208385532091715,0,0,0,0.013388897442473,0.0847072305220533,0.0988544950684031,0,0.0040954494698826,0,0,0,0,0
ETH,0,0,0,0.126449809365982,0.345674762900407,0.173192375439711,0.0393839312438923,0,0,0.0964800008591472,0,0,0.0262887550236258,0,0.0457316186173954,0,0,0,0,0
XRP,0,0,0,0.336054312878847,0,0,0,0.137486601455164,0,0,0,0,0.145162879579573,0,0,0,0,0,0,0.133658452371212
BCH,0,0.0610601154409057,0.218888755705508,0,0,0,0,0.164093022629667,0,0.160457290208476,-0.0201790831915432,0.245140504218437,0,0,0.152413703611263,0,0,0,0,0
LTC,0,0.157657794953657,0.0648502988717663,0.000000000000000000867361737988404,0,0.510547218341373,0,0,0,0.0382035559504565,0,0,0.0607635436126812,0,0.0534798404091274,0,0,0,0,-0.00735177969203278
EOS,0,0.186614203237324,0,0,0.604808898343181,0,0.0181118955827806,0.117741705025914,0.0367775760062095,0.0362351858309172,0,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0
BNB,0,0.0915991010035166,0.139655099741239,0.229308189232707,0,0.279770450348285,0,0,0,0.0599956515361784,0,0,0,0,0.00451634238226053,0,0,0,0,-0.0336002830362768
BSV,0,0,0,0.35614431824449,0,0.173902599232728,0,0,0.246745568799485,0,0,0,0,0,0.160584002777352,0,0.156585705324657,0,0,-0.12642968310589
XLM,0,0,0.25446106557734,0,0,0,0,0.0587540772150734,0,0.19366748381096,-0.0186179307350605,0,0,0.0984503997131658,0.187562487293729,0,0.0862218437891532,0,0,0
TRX,0,0,0.354633800457241,0.277086429549804,0,0,0,0,0.0507358455363644,0,-0.0855595044266587,0.0432746612280607,0.234713189153633,0,0.132724599877554,0,0,0,0,0
XTZ,0,0,0.584876742131742,0,0,0,1.0732596573787,0,0,-0.572453071011567,0,-0.32567596315045,0,0.0558344217452883,0.0524095721795817,0.268322951095486,0.0316967286409227,0,0,-0.18333021360837
XMR,0,0.135582623952604,0,0.214312426527,0.17180193502356,0,0.227111774562124,0,0,0,0.0499170099594916,0,0,0,0,0,0,0,0,-0.0251500393896491
ADA,0,0.26886361228474,0.153068243701037,0,0,0,0,0.0391313991211355,0.104189445537956,0.189465078432923,0.0290082239413944,0,0,0,0.124709470421819,0,0,0,0,0
LEO,0.246346442185645,0,0,0,0,-0.227603505990741,0,0.000000000000000000433680868994202,0.108107854983903,0.296332981126563,0.0784942451505875,-0.226770422349907,0.0949752635637462,0,-0.103404091380554,0,0,0,0,0.0191752280039033
ATOM,0,0,0,0.215009475615232,0.119882871549204,0.238327293270748,0,0,0,0,0.097785633965969,0,0.273694250535712,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.17695049932328,-0.0497956496569487,0,-0.437622323988774,-0.10211859437974,0.336971169677585,0.272119273541866,0.0608411677269581,0,-0.0185029085363184,-0.159186159063438,-0.111679293000785,0,0.0422391505622007,0,0,-0.00116562066666828
CVIX.INDEX,0.209891652403382,0,-0.171899266280831,0,0.380239110231215,-0.359599920163656,0.153385987990203,0.148386710112122,0.0423836017515708,-0.422521445798371,-0.0128291170814954,0.21195691699347,-0.148974532901086,0.0678701997886615,0,0,0,0,0,0.019210128246129
DXY.INDEX,0,0.0157665559726851,0,0,-0.0460944986196769,0,0,0.0207664985297386,0.0228333470140712,0,0.000161104123080807,0,0,-0.0243242723047249,-0.0128561825029249,0.03597869933863,-0.0145076485861824,0,0,-0.00312849256482091
SPX.INDEX,0,0,-0.0138760774069559,0,0,0.0349398717196663,0,0,0.00194375423595918,0,-0.00413718810781104,0,0,0,-0.00979753835309436,0.0841705831947798,0,0,0,-0.0402906383141199
VIX.INDEX,0,0,-0.209533815352482,0,0,-0.300824990413494,0,0,0.259344120345707,0,-0.00000000000000000173472347597681,0,0,-0.24469942719539,-0.0485978415595132,0,0,0,-3.0813608916701,0
