,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.09210762515547,0.332647129527026,0,0,0.0614312215855195,0,0.0354248289442822,0.0140654170810843,0,-0.0144569630219684,-0.00585691246107306,-0.0838061932269214,0.129196516190656,0,0,0,0,0.108325451401284
ETH,0,0,0,0,0.210812658557709,0,0.0801576429191836,0.0425256021591613,0.0525920391228215,0.0642232504706349,0.0899575875026484,0,0.165973175437487,0,0.00729889846481858,0,0,0,0,0.0483906065659078
XRP,0,0,0,0,-0.261072295673548,-0.0354589078608053,0.396148237755484,0,0.148491254210998,0.0648365773134305,0,-0.0401291840061687,0.113737530048779,0.284688381912559,0,0,0,0,0,0
LTC,0.177201897992817,-0.0445001266241865,0,0,0.0366257297078486,0.0959993529741789,0,0,0.146669805794117,0,-0.0285800109187902,0.115768282046625,0.000000000000000000433680868994202,0,0.0152017752060871,0,0,0,0,0
ETC,0,0.267715330942065,-0.13685405394901,0.246412850436786,0,0,0.252336712736505,0,0.0755514106192783,0.0170093150228664,0,0,0,0,-0.0295142616400535,0,0,0,0,0
XEM,0,0,0.121309295397612,0.153833429588815,0,0,0,-0.0325881576125544,0,0,-0.0181851986745586,0.0228807371223107,0.237393353806847,0.313252462119196,-0.00329498456366234,0,0,0,0,0
DASH,0.183465878267787,0.173215474401808,0.0212160849784075,0,0.134409554223509,0,0,0,0.290181926084923,0,0,0.0679311038524357,-0.00262505320136933,0.0939821708138122,-0.058565640382142,0,0,0,0,0.104937923154614
MIOTA,0,0,0,0,0,0,0,0,0,0.0537774470688306,0.261902432460094,0.116229960419793,0,0.183235716660072,0.102347342121962,0,0,0,0,0
XMR,0,0,0,0.111769471047554,-0.0462790275496565,0.112809040579526,0.477946001361601,0.0339956895964295,0,0.0226770677887398,0,-0.0960294961922315,0,0.148377514204836,0.0184844569468061,0,0,0,0,0
EOS,0,0.214837351302185,0.0825634207341642,0,0,0.164111696096855,0,0,0,0,0.172649015572807,0.101594767214795,-0.073729787532817,0,0.149916996596293,0,0,0,0,0.023776246762095
ZEC,0,0.187079129210082,0,0,0,0.0232521805205717,0,0.101682815573281,0,0.0258656732415701,0,0.058434098643183,0.202262235607619,0.0987230875363021,0,0,0,0,0,0
NEO,0,0.121316530815424,0,0.48808543744359,0.42377459486046,0,0.0933424672507558,0,0,0.0850372081058246,0,0,0,0,0,0,0,0,0,0
DOGE,0,0.137140006740765,0.0767335268205765,0.164339024697341,0.169989817513449,0.306479580774639,0,-0.0113763813567147,-0.021431266962447,-0.0625069945435123,0,0.00694049891568857,0,0,0.176456611074051,0,0,0,0,0
XLM,0,0,0.562938192769037,0.0875807883982464,0,0.103128083917706,0,0.077263730179451,0.264340446285175,0.0836085799443304,-0.154476671692048,0.0665223568243057,0,0,0.0933394681131977,0,0,0,0,-0.0538574942766993
DGB,0,0,0,0,-0.205824768666251,-0.155255985134725,0,0.129120711034223,0,0.208961526512109,-0.694544700799817,0.160801728092974,0.784644014829504,0.671789276638102,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0232124848345602,0,0,-0.0351663171680549,0,0,0,0,0.0122906749497281,0.00695720972131005,0,0.00592957471230218,0.0132647738607773,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0.0335054669461964,-0.0423814406614874,0,0,0.0189021196848644,0,0.0114197474503025,0.0552166002337352,-0.0359936026554438,-0.0306550645411103,0,0,0,0,0
DXY.INDEX,0,0.0117003089981615,0,0.00312719689446058,0.000000000000000000216840434497101,0,0.0161424205657388,0,0,0.00201895918135643,0,-0.00430731827105229,-0.013246553643531,-0.00599577375089173,-0.00424133690713613,0,0,0,0,-0.0133059687110856
SPX.INDEX,0,0,0,-0.00156575350812566,0,0,0,0,0,0.00190668988765601,0.00206947202231805,-0.00111560474580347,0,0,-0.00366937765612388,0,0,0,0,-0.0546752889885284
VIX.INDEX,0,0.0153232993457493,0,0,0.10992749841074,0.170046273949035,0.0533286326744499,0,-0.0443687329750677,0.0509946666922519,0,-0.125790769139336,0,0,-0.207389210900647,0,0,0,0,0
