,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,MIOTA,DASH,TRX,NEO,EOS,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0558159780810607,0,-0.116609825022433,0.0207655778009549,0,-0.0228399128497943,0.031058926463735,0.100080816973517,0,0,0.0813422307809797,0.04914449903779,0.221841910568073,0,0,0,0,0,0
ETH,0,0,0,-0.0249446212466615,0.00960664765924263,0.213730698197694,0.0129162653172078,0,0.0382301082884827,0.113066502299823,0.0481011979294299,0.134948470142617,0.0322670226442903,-0.00000000000000000346944695195361,0.0953569604525205,0,0,0,0,0
XRP,0,0,0,0,0.0275884126353733,0,0.184236260586525,0.247324352048701,0.0252812556191876,0.160106652161964,0,0,0.321765065750515,-0.00000000000000000173472347597681,0.110483262036086,0,0,0,0,0
BCH,0,0,-0.0949741272933484,0,0,0,0.0707607585642507,0,0,0.150043932972716,0.0196944977271683,0.0943751573142165,0,0.189878605260915,0.181492486694349,0,0,0,0,0
ADA,0,0.26498466322594,0.166476748623912,0,0,0,0.131607027798576,0.248556308718381,0,-0.0361988029135242,0.0477345971355186,0.0969005990756314,0,0,0.0907281260095218,0,0,0,0,0
LTC,0.165667452873616,0.213680664333123,0,0,-0.00544891381788382,0,0,-0.0188558930075962,0.152725207129395,0,0.0353861895468735,0,0.0237380168999795,0,0,0,0,0,0,0
XEM,0,0,0.14707004990107,0.0384675221636915,0.0502883058264927,0,0,0.190158446982872,0.147293136046789,0.160203002683425,-0.0154672503724376,0.13614474861197,0.0775528024739394,0,0.00509759017500022,0,0,0,0,0
XLM,0,0.00932115640288861,0.0792481428890715,-0.0522624769211423,0.383822786399417,0.162626334925096,0,0,0,-0.0958859718536858,-0.0686442082891359,0.103826382697216,0.0916515213908557,0.130322471097289,0,0,0,0,0,0
MIOTA,0.367354689018871,0,-0.106005356541254,-0.02437991217519,-0.0632106125640095,0,-0.000000000000000000867361737988404,0.273238307814222,0,0,-0.0807092410524595,0,0.218283974384292,0.382150359283941,0,0,0,0,0,0
DASH,0,0,0.0660514921539471,0.160313856439627,0.02058394057517,0.14906723187635,0.0227130052096926,0,0.0771094137870222,0,0,0,0.0619568329853002,0,0.0519113385255078,0,0,0,0,0
TRX,0.40732523640572,0,0.0590728646296733,0.0458605450055337,0.088082901452593,0,0,-0.140373521436965,0,0,0,-0.288344415096681,0.297564352022437,0.291972859186726,0,0,0,0,0,0
NEO,0,0.593613293800017,0,0,0.0139653300202039,0.123876661079558,0,0.0898033679109663,-0.0516806072700244,0,0.032388302782402,0,0,0,-0.0616203257040016,0,0,0,0,0
EOS,0,0.0797502551814822,0,0,-0.0282353068941586,0.0831789001583137,0.128977024343777,0.266462665649363,0,0.0816074576779596,0.153648870783433,0,0,0,0.216665028969259,0,0,0,0,0
XMR,0,0,0,0.0386710767639531,0,0,0,0.197628910297986,0.214497883232127,0,0.125005522287812,0.0797807273303648,0,0,0,0,0,0,0,0
BTG,0,0,0,0.588800225387966,0,0,0.0695811927293119,0,0.0878214934515223,0,0.107328600816034,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0319292256841948,-0.0100703580406243,-0.0464369300036818,-0.00922887558241596,0,0.0117070799254942,0.00798233123955281,0.0130154702501325,0,0,0,0,0.0125826333032348,0,0,0,0,0,0
CVIX.INDEX,-0.0242393527929327,0,0.0327891883936341,-0.000869910322064093,-0.012961649278912,-0.0300020455435781,0,0.0437303520856357,0,0,-0.0130399844774361,-0.0570635965432814,0,0,-0.00476257803318072,0,0,0,0,0
DXY.INDEX,0,0,-0.000716247454513308,0,-0.0049929458477702,0,-0.00259803299236484,0,0.00679091386001756,0,0.0088237506153747,0,0,0.00682154311632991,-0.00480648208950349,0,0,0,0,0
SPX.INDEX,0,0.0116994579229249,0.000790690255823227,0,0.0042472829473898,0,0.00101883382560208,-0.0057147730498087,0,0.00144007195802689,0,0.00338073046951261,0.000539537395773793,0,-0.000499781049916681,0,0,0,0,-0.0322459732720533
VIX.INDEX,0.301360923317926,0.045341024453592,0.0640065286640095,-0.0536185282760175,0.0338144102904868,0.0227711807483924,-0.0403524892127827,-0.114001712965335,0.0575086940499388,0,-0.120588194892341,-0.166058165904991,0.225269086085088,-0.104763504184847,0,-0.383128062750196,0,0,0,0
