,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0485125959154904,0,0.0307943670495887,0.0160553271136722,0,0.244410032210948,0,0,0.114368906487003,0,0.120624155593452,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-3.55316169803619,15.5224303601806,0,-3.11659548135483,2.73422434675643,0,10.5197651279273,-3.08038181712078,0,-15.4022705561625,0,0,0,11.5324194791852,1.87070932844587
ETH,0,0,0,0,0.314365445502535,0.0711897214987542,0,0.0746234589476085,0,0,0.298975148542296,0,0,0,0.192514731118514,0,0,0,0,0
XRP,0,-0.0053407822408447,0.0948778422116342,0,0,0,0.149209421950761,0.0281258573910631,0.195327939954158,0,0,0,0,0.249208983974623,0.0723295460408538,0,0,0,0,0.0534937542045494
BCH,0,0,0.319928806242609,0,0,0.277552664033338,0,0.03232327137337,0.0348389642334563,0.0110781686944399,0.0780507570053679,0,0,0.0973415059650205,0.149078964557145,0,0,0,0,0
BSV,0.201591266170895,-0.011004335905646,0.224259542894585,0,0.310966935453032,0,0,0,0,0,0.000724137608127482,0,0,0,0.29322850730996,0,0.08241575487945,0,0,-0.0615869080371094
LTC,0,0,0.0232117173679742,0.136524441849089,0.016908168171125,0.101570061934246,0,0,0.280245216316467,0,0.125435431770705,0,0,0.165203377750532,0.0083109145952599,0,0.0295247641885366,0,0,0
BNB,0,-0.00651944423306246,0.359701982582576,0,0.332867015571965,0.0607292469872372,0,0,0,0,0.0835941701646698,0,0.0396675464220719,0,0,0,0,0,0,0
EOS,0,-0.00271574945341632,0.32637854267144,0,0.253640674006949,0.0933378173931659,0.0472216253644753,0,0,0.00845170838729915,0,0.137933130530386,0,0.0176570594516856,0.0487292434638576,0,0,0,0,0
TAGZ5,0,-0.0024602304776829,-0.0000000000000000138777878078145,0,0.510545587811007,0,0,0,0,0,0.13609507098148,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.401300194543363,0,0,0.0320024483736535,0,0.261130235745246,0,0,0,0,0.322158266379296,0,0,0,0,0,0,0
XLM,0,-0.00150504269198837,0.262015880734554,0,0.22923139709838,0.016134845094085,0,0,0.126632685924359,0,0.0290020610153521,0,0,0.0605901366962577,0,0,0,0,0,0
LINK,0,-0.000754590176684213,0,0,0.00453341053180379,0.192721411174704,0,0.193244833748037,0,0,0.566707113044506,0,0,0.0523492330377513,0,0,0,0,0,0
ADA,0,0,0.275493932063795,0,0.00607248155593397,0,0.0240558735282612,0.203199483578049,0,0,0.200995126464457,0,0.0911739329656686,0,0.062947747049427,0,0,0,0,0
XMR,0,0,0.272131137501889,0,0,0.1513314067918,0,0.258820753190123,0,0,0.0936736766255331,0,0,0.0123241742800084,0,0,0,0,0,0
BV010082.INDEX,0,-0.015244684332204,0.22501240009633,0,0,0.562156194995878,0,-1.15374152879463,-0.374368540867845,0.187415830623338,-0.86405947472438,0.671423779858137,0.316573901621635,0.61016497121136,0,0,0,0,0,-0.0383494068795541
CVIX.INDEX,0.471885436354867,-0.00265253995206174,0,-0.0244910822874583,0,0.0211384862898659,0,-0.755137135846407,0,-0.222901351354955,0.270321924763774,0,0,0,0,0.207943197333325,0,0,-0.45082576477161,0.339003290964825
DXY.INDEX,0.0476855209674202,0,0,-0.076592438206997,0,0,0,0,0,0.00313313646362653,0.0539509692485849,0.0158865483794243,-0.0376678268090988,0,0,0.0014013055949774,-0.00974146331886806,0,-0.00370042118408801,-0.0134154637157262
SPX.INDEX,0,0.00767203948249878,0,0,0,-0.110464667033543,0,0,0,0,0,0,0.104448498035212,0,-0.0191971895105579,0.256575856713214,0,0,0,-0.254059784371218
VIX.INDEX,0,0.0318786185315311,0.362999562268293,0,0,-0.0846200640715207,0,-0.882173992858261,0,0.0911334604512022,0.0369134704962396,0.473266417242633,0,0,0,0.340830139588,0.1986964466863,0,-2.12258749150206,0
