,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.249841414931229,0,0.0974387840086851,0.0864380162031291,0,0.014823436582711,0.0285974574256084,0.123297210724106,0,0,0.0130564579827234,0,0,0,0,0,0
ETH,0,0,0,0,0.074021347557559,0.177079512398576,0.11093666594142,0.0666885425992936,0,0,0,0.30837342175629,0,0,0.0879059060067116,0,0,0,0,0
XRP,0,0,0,0.0135106345742814,0.188711611710314,0,0,0.347491754163358,0.0470710372079783,0,0,0,0.190474276252239,0.225425201923722,0.0165087803864287,0,0,0,0,0
BCH,0,0,-0.00000000000000000173472347597681,0,0.185455578594424,0,0.103583629849261,0,0.287014239949408,0,0.0295305203441688,0,0,-0.00496641534713796,0.248304553530361,0,0,0,0,0
LTC,0,0,0,0.183570171322606,0,0,0,0,0,0.130360304990493,0.0283978233745446,0,0,0.023662786067044,0.191886224421391,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0666370308509311,0.170992997729196,0,0.0297317600901067,0.241866704057367,0,0.161030324894354,0.074206515172097,-0.0000000000000000277555756156289,0,0,0,0,0
NEO,0,0.162109767790914,0,0.15510736963461,0,0.043848687163973,0,0.0615088584863588,0,0,0,0,0.0924372452591434,-0.01025225835215,0.252427192326228,0,0,0,0,0
XLM,0,0,0.383638902373187,0.190240447727942,0,0,0.115465994775497,0,0,0.0293627431093283,0.199080842313617,0,0.0562907622367244,-0.157698991623829,0,0,0,0,0,0
XMR,0,0,0,0.0677582555666777,0.0838830535512364,0.114554194847153,0.112610756581981,0,0,0,0.233573931776958,0.188368878066788,0.00275475417353464,0.0176334761123685,0.0512146295928077,0,0,0,0,0
EOS,0.116868397308887,0,0.16143265070462,0.0000000000000000138777878078145,0.0411879765272082,0,0,0,0.195061571266728,0,0,0,0,0.0538924573240652,0.406120924033594,0,0,0,0,-0.0247700632281158
MIOTA,0,0,0.192751158229483,0.217641129594109,0.0633734383484281,0,0.0171502360215114,0,0.20625347536033,0.0918139035580893,0,0,0.0522426410170666,0.00000000000000000173472347597681,0.00000000000000000346944695195361,0,0,0,0,0
DASH,0,0,0,0.0408376798060691,0,0,0,0,0.255424423394351,0.198117994498652,0.0297578205725787,0,0,0,0.179738022308269,0,0,0,0,0.0287152481946085
XEM,0,0,0.142447501622863,0.0866408637450674,0,0,0.0673879530421846,0.288436479656713,0,0,0.0888250512678764,0,0,0.0646382450767574,0,0,0,0,0,0
TRX,0.853805984332148,0,0.256806322654888,0.0596426321951292,-0.300034708483718,0,-0.347706291475165,0,0,0,0,0,0.366045149963297,0,0.241678475623482,0,0,0,0,0.157172273785007
ETC,0,0,0.177315054958299,0.223333107333168,0,0,0.215481845176769,0,0,0,0,0.171060906699972,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406910472599568
CVIX.INDEX,0,0,0,0,0,0.0695731281714136,0,0,-0.0209802953963852,0.00000000000000000010842021724855,-0.0318696734324147,0,0.0129076951544974,-0.0088824952990014,-0.0636852067547297,0,0,0,0,0.0565006873611357
DXY.INDEX,0,0.0237590360426582,0.0233514256784995,0,-0.00189080194347515,0,-0.00670752301255221,-0.0031798174408099,0,-0.0206841953697264,0,-0.0134348510189035,0,-0.0132454145659663,0,0,-0.00627214792143136,0,0,0.00666509252328426
SPX.INDEX,0,0,0,-0.0159994799112715,0,0,0.0154142979437187,0,0,0,0,0,0.00826843862131127,-0.00864246522958441,-0.00564723518161633,0,0,0,0,-0.0624335242023409
VIX.INDEX,-0.0859453619012314,0,-0.0870717379490375,0,0,0,0.375935548805222,-0.0649271532184076,0,0.133468477734493,-0.322732993187745,0,0,0.0454848821234489,0,-1.86988174602967,0,0,-3.47145800531251,0
