,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,DOGE,XLM,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166855730542655,0,0,0.0904425459948813,0,0.102647258192536,0,0,0.0120950088481467,0.00113876303445085,0.0532776347091225,0.037496531497294,0,0,0,0,0
ETH,0,0,0,0,0.17694147820144,0,0.0820638638863344,0.0308135985051973,0,0.0587419024386637,0,0.0261070767475097,0,0.0173445592823845,0.211002809913571,0,0,0,0,0
XRP,0,-0.251028770461754,0,-0.110056347955417,-0.22159360214105,-0.00000000000000000173472347597681,0.488783810238487,0,0.208340381831373,0,-0.0128965401447632,-0.0323728873451419,0.281625473884884,-0.0621984679491627,0,0,0,0,0,0
LTC,0.538604519461418,-0.0566432891757486,-0.10825456808779,0,0,0.0397039810522691,0,0,0.118379774696198,-0.0899284355952593,0.16792332906524,0.0885172389464067,-0.0659636682370462,0.0234539096106983,0,0,0,0,0,0.0784878142177613
ETC,0,0.243693179348181,-0.0690586522355407,0.169707705485654,0,0,0.0741399028212157,0,0.127879948666058,0.0502948228246841,0.0352761338909381,0,0.0199240140381932,-0.0455717887233256,0,0,0,0,0,0
XEM,0.0651906227180312,0,0.270787315741715,0.0547569652413767,0.051719096034723,0,0.164289579857766,0,0.0502132269708807,0,0.0454425263093003,0.229216165093559,-0.0244374921663798,-0.0520552853915288,0,0,0,0,0,0
DASH,0,0.0541879662884244,0.0157006471626316,0,0,0,0,0,0.368972291937498,0,0.107739073484403,0.00944098129175698,0.0696856748910152,0,0.0691036829736969,0,0,0,0,0
MIOTA,0,0.0758229166991745,0,0,0,0.0657810789564828,0.203093081295697,0,0,0,0,0,0.0282619927343701,0.0572586439386216,0,0,0,0,0,0
XMR,0,0,0,0.266100860882842,-0.136806611315738,0,0.617804704754827,0,0,0,-0.102425188562966,0,0.0452689068348524,0.0200012411459333,0,0,0,0,0,0
ZEC,0,0.122544763067577,0,0,0,0,0,0,0,0,0.0567856525482929,0.207865921275499,0,0.0121454852134409,0,0,0,0,0,0
NEO,0,0.0607598539505236,0,0.680392313245923,0.191975325489232,0,0.162827746832093,0,0,0.377737859221387,0,0,-0.00160162873150696,0.126906151258449,0,0,0,0,0,0
DOGE,0,0,0,0,0.21556132364176,0.311627031848185,0.132741436900794,0,0,0.277954474223372,0.0402877565963923,0,0.0952384558069272,0.0546737669167693,0,0,0,0,0,0.0254019895515946
XLM,0,0,0.551907414626741,-0.541595028660659,0.156128528974759,0,0.313572974586957,0,0.581347587776355,-0.342932933175779,0.0183002394030727,0.19047903745872,0,0.0660682287000937,0.172957061924088,0,0,0,0,0.0386760245866298
DGB,0,0,0.0476998795241837,0,0,-0.317391301861335,0,0,0.446913464082585,-0.258300768964189,0.0835871805649176,0.5472188973271,0,0,0.269591441192413,0,0,0,0,0
BAT,0,0.0246336589992016,0.154315846834426,-0.109369375986112,0,0.0440704336736528,0,0,0,0,0,0.136376274288744,0.0370948679572021,0.0450440064454294,0,0,0,0,0,0
BV010082.INDEX,0,0.01865875314258,0.0105142130823177,-0.0292515916033706,-0.00290080320223817,-0.0303684400822636,-0.0370171771893394,0,0.0287132389263659,0.0307080627341926,0.0121933804449251,0,0.0197977127382568,0.0048083610189553,0,0,0,0,0,-0.0079356725166075
CVIX.INDEX,0,-0.127672335174806,0,-0.0548432646740998,0.0386736746099602,0.0324748662529049,0,0,0.0397130228761776,0,0.0317167520685622,0.0887940791317636,-0.00769932803199684,-0.023034823642008,0,0,0,0,0,0.0492095734420795
DXY.INDEX,0,0.00477252196229201,0,0,0.00843029370159169,0,0,0,0,0.0034898474108648,-0.00258598182765121,-0.0174978414652581,0.00380401375553939,-0.00112111994377181,0.0030825717485455,0,0,0,0,-0.00429864187565372
SPX.INDEX,0,0,0,-0.00214363851332894,0.00417740871707218,0,0,0,-0.00358665900712206,0.00465255664301875,-0.00149003428312256,-0.000551500544934059,0.00357506000316365,0,0,0,0,0,0,-0.0456353993153466
VIX.INDEX,0,0,0.153242668200079,0,0.160901847532612,0,0.255246618768555,0,-0.201819675546232,0,-0.127715491374317,0,-0.000000000000000000867361737988404,-0.00504597388934399,0.0760776392540574,0,0,0,0,0
