,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.239242970526872,0,0.043146837424573,-0.0610767244959876,0,0.108005275422241,0,0,0,0.026660718981905,0.00575679835309348,0.0486673808306483,0,0,0,0,0.15565725993205
ETH,0,0,0,0,0.180104698779956,0.129216320565684,0,0.0699549727348886,0,0,0.0617147281562636,0,0.116297317276958,-0.010140057605023,0.029528867178621,0,0,0,0,0.0693250398197609
XRP,0,-0.251028770461754,0,-0.110056347955417,-0.22159360214105,0.488783810238487,0,0,0.208340381831373,0.0660393519677277,0,-0.0128965401447636,-0.0323728873451414,0.281625473884883,-0.0621984679491626,0,0,0,0,0
LTC,0.483821143292312,-0.0984390959022101,-0.157452047774987,0,0,0,0,0,0.10147168113519,0,-0.0515653360402218,0.170221716258758,0.0832687941707617,0,0.0230805090613628,0,0,0,0,0.0566266652780645
ETC,0,0.203543248545384,-0.0631504803818202,0.180339798753555,0,0.128942315804485,0,0,0.0262974132091975,0,0,0.0461518709742332,0,0.0203099780149225,-0.0292351169235056,0,0,0,0,0
DASH,0,0.204234531854262,0.0259569292799607,0,0,0,0,0,0.349695107414494,0,0,0.113557609173833,0,0.063325396021587,0,0,0,0,0,0
XEM,0,0,0.273741575318805,0.187770669110474,0.0867610112945292,0.0128797767608342,0,0,0.0395186110018534,0.154594046250425,0,0.0356657758293159,0.181697252876631,0,-0.0511925914139557,0,0,0,0,0
MIOTA,0,0,0,0,0.0784361261107877,0.0859775467916854,0.111887468933101,0,0,0,0.0811153288251694,0.0636429683487621,0,0.0609018610316664,0.071308684472128,0,0,0,0,0
XMR,0,0,0,0.299822793323538,-0.105404165161328,0.598951276391499,0.0330911616505573,0,0,0.0174088320801365,0.0821974102078244,-0.172019793673957,-0.0609021534854499,0.0647077990906057,0.0390381759378479,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.250674391919826,0,0,0,0,0,0,0.141257057725553,0.0399644892808788,0,0.0886205851096942,0.11319680140478,0.00669447977381308,0.021469566596298,0,0,0,0,0
NEO,0,0,0,0.422327303909901,0.341902597881748,0.219118015340824,0,0,0,0.0513207497130708,0,0,0.00000000000000000346944695195361,0,0.136767386421239,0,0,0,0,0
DOGE,0.290268024166198,0,0,0.055753036373185,0.150672143897536,-0.0000000000000000000542101086242752,0.327223115663838,0,-0.0413982767451755,-0.0486747177747853,0.310701448070511,0.0216092585547752,0,0.149825442260835,0.0367235340418498,0,0,0,0,0
XLM,0,0,0.477262163641721,-0.509880653617037,0.0742630918343235,0.300089051138156,0,0.237331602715662,0.615064096028297,0.145373698673935,-0.363458313378757,0.0197002270467659,0.224636042760406,0,0.018115716952634,0,0,0,0,0
DGB,0,0,0,0,0,0,-0.287936747275183,0,0.356485215059034,0,-0.226890331725421,0,0.575044264646246,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0198406498366099,-0.0133368553276746,0,0,-0.0243586870864071,0,-0.0179755770372017,0,0.0234053584913187,-0.0109648776575884,0.00907477717655946,0.00888622442803107,0.0041648301252552,0,0,0,0,-0.0157414372558188
CVIX.INDEX,0,-0.0308218289092374,0.0368391131319074,-0.0347636892339989,0.049585498822271,0,0.0222337631609025,-0.0724083911735363,0.0257362894357868,0.0196798769055515,0,0.0274103862923699,0.0273349784045596,0.000000000000000000433680868994202,0.00196511947516314,0,0,0,0,0.0957241258682678
DXY.INDEX,0,0.00998702011869668,0,0,0.00512759218464571,0,0,0,0,0.00112263965524495,0.00384535274200952,-0.0021330257810234,-0.0187103279365722,0.00717617341732182,-0.0015060144186226,0,0,0,0,-0.00438775442547162
SPX.INDEX,0,0,0.00455470746790134,-0.00242611152951782,0.00562571849680152,0,0,0,-0.00197839889593737,0.0021704763515408,0.00437683354969982,-0.00251198746627517,0,0.00135002811483407,-0.00139604097883801,0,0,0,0,-0.0507144922417948
VIX.INDEX,0,0,0.134603312138964,-0.0333595260027764,0,0.264210014528761,0,-0.118319253649196,-0.175849543958608,0.0372396527750949,0,-0.0272477200674948,0,0,-0.0238949343365301,0,0,0,0,0
