,BTC,ETH,XRP,BCH,LTC,BSV,EOS,INNBCL,BNB,XTZ,LEO,LINK,XLM,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.253383475507629,0,0,0.101494926126297,0.00146351421967713,0,0.101289295743583,0,0.0235975385228491,0,0,0,0,0,0,0,0
ETH,0,0,0,0.342393875254757,0,0.00799731902793383,0.115623024208876,0.00294436658472241,0.0382029409101871,0.217605990490395,0,0.0570472101511417,0,0,0.138763573005496,0,0,0,0,0
XRP,0,0.172713448790749,0,0.114982564806074,0.0705086689588292,0,0.121980174308901,0.000359758695024112,0.0254056004839319,0.104668476152339,0,0,0.0228755815251469,0,0.0720542809290492,0,0,0,0,0
BCH,0,0.0510633184825863,0,0,0,0.282796927790403,0,-0.00124994632126195,0.275153963082155,0,0,0.040484404871098,0,0,0.13823398711802,0,0,0,0,0
LTC,0,0.227150490334061,0,0.109802613459483,0,0.0576930743052802,0.283385239058755,-0.000523836472549816,0,0.00000000000000000346944695195361,0,0,0,0.125926122518289,0,0,0,0,0,0
BSV,0,0,0,0.514125940455704,0,0,0.445791350734235,-0.019326317517454,0,0.259766791325489,0,0,-0.41146190326418,0,0,0,0.176248432902322,0,0,-0.107001133502076
EOS,0,0,0.0824147188402728,0.0510018450190188,0.0458544905105154,0.146805638079553,0,0.00711716247587314,0.261025932191104,0,0,-0.0118526961073141,0,0.205738003810471,0.189519887284373,-0.0844060615627077,0,0,0,0.00380742393443653
INNBCL,0,25.949583179167,0,0,-2.21295640230133,-5.62161562371231,0,0,0.386692001859849,-13.7537123939369,0,4.80018295620012,0,-12.5424111737832,0,0,0,0,0,-3.11203237562333
BNB,0,0.287209837691296,0,0.228603973772402,0,0,0,0.00385553692730502,0,0.147020747751087,0,0.0786272833468927,0,0,0,0,0,0,0,0
XTZ,0.310093481875082,0.181626234973138,0,0,0,-0.0147059481401072,0,-0.00391333108400098,0,0,0,0.483986081566951,0,0,0.0522719225203887,0,0,0,0,0
LEO,0,0,0,0,-0.112128775437406,-0.0186352836412179,0,0.00444455571819821,0,0,0,0.105199207616711,0,0.14949604232756,0,0,-0.152783077000179,0,0,-0.0140552022747746
LINK,0,0,0,0.0634642068047336,0,0.0335344226862326,0,0.000435830230813816,0.418836613656828,0.195609875436231,0,0,0,0.0803588632433768,0.159661220046464,0,0,0,0,0
XLM,0,0.0509667792815403,0,0.29561957253763,0,0,0,0,0.133963476541407,0.0641073050518457,0,0,0,0,0.0948664148465905,0,0,0,0,0
ADA,0,0,0,0.145671403524085,0,0,0.0699907551933694,0.00434259603965365,0.0695565041133869,0.15895358587114,0,0.0788535245515138,0,0,0.261654408996358,0,0,0,0,0
TRX,0,0.146371543784378,0,0.224844401386801,0,0,0.207943830044788,-0.00114004945916489,0,0.0609806168028984,0,0,0,0.244112723681781,0,0,0,0,0,0
BV010082.INDEX,0,0.325863651813683,0,0,0,0.0386385501019983,0,0,-0.601548470529253,0,0,0,0.166775384473254,0,0,0,-0.115538350664489,0,0,-0.106090210176707
CVIX.INDEX,0,0,0,0,0,0.0550618532896916,0,-0.00845337818443834,0,-0.22081349926931,0,0.031594956048212,0,0.21894404967778,-0.243185915568263,0,0,0,0,0.0234501142996101
DXY.INDEX,0,0,0,0,0,0,0,0.000188536030788377,0,-0.00727993102194425,0,-0.00716591163315893,0,0,0.00943692068753307,0.050565185411811,-0.0216534248833258,0,0,-0.00153015767138942
SPX.INDEX,0,0,0,0,0,0.00673075678393962,0.0217912343683459,-0.0000554436001429374,0,0,0,0,0,0,0,0.0903422327664549,-0.145603938665861,0,0,-0.133939313667812
VIX.INDEX,0,0,0,0,0,0.0175159126131443,0.0814030528181396,-0.00477797514777561,0,0,0,0,-0.0671283527141392,0,0,-0.0525438543931615,-0.0853574539858723,0,-3.51442358923543,0
