,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00605347361542171,0,0.521489343489863,-0.00423209630896776,0,0.0675301373120987,0.148685062025664,0.0125529386002233,0,0.0501582584768635,0,0,0,0,0
ETH,0.376593609616713,0,0,0,-0.257326051384592,0.431704677581822,0,-1.10256783733383,0.311200842419655,0.0611800168515615,0.688115849179561,0,-0.326152905802489,0,0,0
XRP,0.0403965279127116,-0.0399463650864244,0,0.0314323466149783,-0.0137399165152926,0.0522312662648709,0,0,0,0.0765499964901038,0.0107644097848046,0,0.382631752776821,0,0,-0.0979058577623475
LTC,0.967620408992326,0,0,0,0.00520477075176222,0,-0.0328951215883405,0,0.00000000000000000173472347597681,0.0216547266424305,0.00620320814431301,0,0,0,0,-0.0348923629310357
ETC,0,-0.737634205530403,0,0.515555862851137,0,0.110124730738283,0.037736898099229,-1.24475316783721,-0.935615491217189,0.155832755129095,0.457220378409814,0,0,0,0,-0.262108766121798
DASH,0.199319530094527,0.0436015051017185,0,0,0,0,-0.0415134171613737,0.0925499700353338,0,0.184720761135787,0,-0.143517072245279,0.213126774932622,0,0,-0.0970679129415905
XEM,1.21724578249926,0.00787659657465221,0.14170590079017,0,0.0569820107376735,0.426618789041541,0,0,0,0.573338113930183,0.205909063719871,0.751755240532476,0,0,-3.40881224969313,0.0386564372254139
XMR,1.11176395037426,-0.126278523459831,-0.181941100573994,0,-0.0768003093847688,0.160528188514457,-0.0849715572172463,0,0,0.0543232518142694,0.083650500160544,0.331050211583066,0,0,0,0
DOGE,0.375716194507539,0,0,0.352503694507489,0,0,-0.0222383743213633,0.0207121572456634,0,0,0.00818968187898084,0,0,0,0,0.107417444178121
XLM,0.283832451126392,0,0,0,-0.0388302992724662,-0.0864079324749279,0.198225783060208,0,0,0,-0.179936665577453,0,-0.172844588876318,0,0,0.114707375967304
DGB,0,0.611209020821496,0,0,0.102203927968649,0.23987737679428,0.0497996430848598,-0.00000000000000000173472347597681,0,0.176352382749295,0,0,0.377825904993065,0,0,-0.19422040332255
BV010082.INDEX,-0.15988579625367,0,-0.0699958572644241,0,0,0,0.0463225846922736,0,-0.144653773879648,0.0275314707519336,0,0,-0.0447280283905644,0,0,-0.10551128319535
CVIX.INDEX,0,-0.144494477027012,0.0910879649991319,0,0.0165189556902931,0.319832983939516,-0.0714527119072982,0.0580116029825752,0,0.144958278296969,-0.0337110502719794,0,0,0,0,0.13229938146399
DXY.INDEX,-0.0292806835334635,0,0.0352300964864896,0,0,0.0138947007886416,0.00126107810002456,-0.00518657876444798,0,0,-0.012815024752454,0.0475352803338891,0.0665714761618423,0,0,-0.00931044995353918
SPX.INDEX,0,0,-0.000686340337374911,0,0,0,-0.0073325121071737,0,0,0.0122412376100383,0,0.0118345497553656,-0.00968580538686797,0,0,-0.0822568095330109
VIX.INDEX,0.308004834838847,0.257978830109229,-0.359990329625202,-0.373660254415336,0.0479072630234521,0.580170905812963,-0.118925687185384,-0.0000000000000000277555756156289,-0.50081446568433,0.418034203310391,-0.409471266682411,0,0.433196411540936,0,-4.35108934166427,0
