,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.312067285366157,0.10276079783473,0,0.312511619302148,0.319451917200264,0,0.143428410319186,-0.25902606878291,0.103094852026184,0.220832488600389,-0.318628552409045,0.0375802997053346,0,0.0201362702978609,0,0,0
ETH,0.316539731793898,0,-0.00000000000000000346944695195361,0,0.604005218026161,0,0,0.0361196967567002,-0.000000000000000000867361737988404,0,0,0,0.189219159115896,0,0,0,0,0
DASH,0.128044363811134,0,0,0,0.135152616957379,-0.123652330521037,-0.108100067895914,0,0.164145266108979,0,-0.00132919230959969,0.298867115853514,0.0278120517171747,0,0.584826579500365,0,0,0
XRP,0,-0.107856140185817,-0.00638055288368046,0,-0.039661129275342,0.000000000000000000867361737988404,0,0.0423657830586009,0.045037940524465,0.4888616778515,0,-0.0738638896496853,0.0121864983136931,0.426940714127752,0.0524243079345571,0,0,0.115789034051245
XMR,0.311987706282431,0.244719194178606,-0.026721511597008,0.218188988168873,0,-0.141748404140348,0.553143303360233,0.0818555374634579,0.155846522891884,0,0,0,0.0302137118659296,0,-0.473152988782964,0,0,0
ETC,0.547080748153724,0.0524891325291691,0.0261579049858268,-0.0197408414528365,0,0,0.558604596731157,0,0.0122240931005469,0.383715038017925,0,0.127720213394439,0,0,0,0,0,0
LTC,0.144901195352993,0,0,0.0335992394496336,0.114699611565432,0.0625103099515381,0,-0.0836476370466671,0.0230084492517742,0,0.020557098336579,0,0,0,0.0567876512141045,0,0,0.0388934398734244
XEM,0.695034525573011,0.266922934316579,0.145122083769108,-0.0111459600418863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.440862627307717
ZEC,0.0324901978923694,0.0293042252176652,0.318566231654701,-0.0144292233773349,0.0663709751536248,-0.121657958551296,0,-0.0798190906449121,0,0.320356242485227,0,0,0,0,0,0,0,0
DOGE,0.275450844374038,0.00783344654082477,-0.0471866536515203,0.0703350968359486,0,0,0,-0.00779085353191899,0.143650197064218,0,0,0,0,0.145302718571286,0.0290060804592507,0,0,0
XLM,0.0628500257550089,0,0,0,0.359384084584616,0,0,0,-0.0748888903033375,0,0,-0.0430167013626427,0.124688000225546,0,0,0,0,-0.104443530466307
NEO,-0.645598557590542,-0.0953751306831207,0.168804113617556,-0.0342777334470205,0,0.262462771487008,-0.468806606861593,-0.0866557742703797,0.333040533274472,0,0.064131228403005,0,0.191190003944254,0,0,0,0,0
DGB,0,0.116883920608253,0.0978204229955625,-0.156565414177017,-0.0480685955260104,0,0,0.0138659954384926,-0.0289630135276998,0.355736577814645,0.298033158082485,0.134213888683578,0,0,0.305802269712098,0,0,-0.130223206901924
BV010082.INDEX,0,0,0.0447137067635262,-0.0232576572499706,-0.035490452744612,-0.11870897004174,0,0.00859208306105938,-0.0530887154823146,0.146977738048133,0.050815981123377,-0.0136041844286634,0.0582130165175751,0,0.184224958094702,0,0,0
CVIX.INDEX,0.0528983434398416,-0.0125548099294369,-0.0158995292607759,0.0341202412275684,0,0,0,-0.0794629971633037,0,0.322766783796737,0,0,-0.0286858059618781,0,0,0,0,0.274325973728681
DXY.INDEX,0,0.00122133060025132,-0.00904384737873523,-0.000879798653874418,-0.00147927921369971,0.0073795481118585,0,-0.0106112360762265,0,0.0233357963047211,0,0,0,0.100791775081469,0.0295524376184477,0,0,0
SPX.INDEX,0.0259620157785957,0.010099331321371,0,-0.00340628103450006,0,-0.00891809327979927,0,-0.00358168789992206,0,0,0.0202973726917265,0,-0.00649518586388751,0,0,0,0,-0.0444440556005149
VIX.INDEX,-0.276417237364622,0.0508032529442936,0,-0.0203628451783847,0,-0.137721036360215,0,-0.0529803794572281,0,0,0.295164287262604,0,0,0,0.43176195338356,0,0,0
