,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0147266404468793,0.129262569311506,0,0,0,0.343035117797174,0.0601160314405621,0,0,0.136170714179873,0.0924304007845787,0,0,0,0,0,0
XRP,0,0,0,-0.00000000000000000693889390390723,0.796089179871822,0.215634261150127,0,0.000116696021624993,0,0,0.0038411559077578,0,-0.284484590302978,0.438684007975309,0,0,0,0,0,0.0926441202100069
ETH,0,0,0,0.0933705696275811,0,0.146157715517996,0,0.00749770893892694,0.0238726349104468,0.112184005193593,0.141761913661183,0.373070602572538,0,0,0.0505198658422676,0,0,0,0,-0.0412811556871467
BCH,0,0,0,0,0,0,0,0.964282123298505,0,0,0.00797574751864629,0,0.0659263766124971,0,0,0,0,0,0,0.0888844629862071
XLM,0.219954642926099,0.114385700040901,0,0,0,0,0,0.589524632337809,0,0,0,0,0.0597320072062685,0,0,0,0,0,0,0
EOS,0,0,0.259174081141115,0.112489329110168,0.207732950792999,0,0.0726562199422728,0,0,0.0665995146520022,0,0,0,0.0653785288289723,0,0,0,0,0,-0.0177177604467684
LTC,0,0,0.246696518759647,0.150419137594153,0.031664001784733,0,0,0,0.0607011684655637,0.084343435800617,0.204710731925067,0.0859914410071162,0,0,0,0,0,0,0,0
ADA,0,0.0353137844714767,0,0.0902170832456443,0.101436818472394,0,0,0,0.131966525001534,0.379077871008026,0.16163843220805,0,0,0,0,0,0,0,0,0
XMR,0.481246050119694,0,0,0,0,0,0,0.0694528352168768,0,0.01839372947769,0.0423209439733391,0.146270839423024,0,0,0.346706822316569,0,0,0,0,0
TRX,0,0,0.342423508952512,0,0,0,0,0.0568854585299663,0.183177970665829,0,0.0495684401069,0.0265010000214565,0,0,0.197152936684765,0,0,0,0,-0.0721605350866854
MIOTA,0,0.0392076048486058,0,0.0241186120015908,0,0,0,0.578788504334444,0.180962633446201,0.0481481141488907,0,0,0,0.0878824845164897,0.0787484918735084,0,0,0,0,-0.0243833889611745
DASH,0,0,0.358065791254943,0.0119712939534061,0,0,0,0,0.00422831952517032,0.0664886742551764,0,0,0.0646759203742049,0,0.178805822502278,0,0,0,0,0
BNB,0.107548943002404,0,0.339755886625428,0.07609356009223,0,0,0,0,0,0.253073804408634,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.105798283564852,0.248652836870859,0,0,0.258478391381364,0,0,0.056769898457841,0,0,0,0,0,0,0,0,0
ETC,0,0,0.356533222026156,0.066063238270262,0,0,0,0,0.202716993883325,0.0889426128927073,0.118377835434415,0.0717061273463599,0,0,0,0,0,0,0,-0.0105255034451947
BV010082.INDEX,0,-0.00141913344496102,0,-0.0299905597301571,-0.163670638261874,0,0.0188272662317456,0,0,0.0533053980428467,0,0,0.102457561790381,0.0135243360110508,0.0596343122831571,0,-0.000000000000000000433680868994202,0,0.879542018357606,0.056148954909886
CVIX.INDEX,0,0.139281837723782,0,-0.102070978167696,-0.310637618218932,0.175867389487073,-0.158141068345081,0,-0.214665207540468,0,0.293244245225455,0,0.264111199668721,-0.0445081139303803,0,0,0,0,0,0.0117068170049815
DXY.INDEX,0.0196567251641729,0,-0.00680369582721974,0.00522179242186638,-0.0430343262301842,0,-0.0133210623248453,0,0.00614829461768753,-0.00281341729183439,0.0273115509257503,0,0,0.00323620551131033,0,0.0137219126772715,0.0293139004645537,0,0.0761682134916857,0.00623502486531373
SPX.INDEX,0,-0.0570587238536945,0,0.00182060685424229,0,0,0,0,0,0,0,0,0,0.039913357527456,0,0.00916077358104817,0,0,0,-0.121405554696531
VIX.INDEX,0,0,0,0.166364394979392,-0.0739353780543194,0,0,0,-0.175216127633035,-0.14076491992694,0.0487698654439001,0,0,0.217381101176839,0,0,1.32817164910301,0,-5.54229696986139,0
