,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00552886958047856,-0.0572041225155043,0.594907516698919,0,0.0616882119313081,0.0556234762304586,0.0212779063411908,0.0914784140459645,-0.0356154928872139,0,0,0,0,0,0
ETH,1.23320273241703,0,0,-0.386183093671514,-0.0851092689586709,0.272285427236886,-0.153217742492551,0,-1.6961581088041,-0.0597980452331894,0.334356777867098,0.63443198609645,0,0,0,0.164137724724386
XRP,-0.109942312506561,-0.0694476548103235,0,0.232442573937856,-0.00506169579485936,0.100141112338752,0,0.173444954070427,-0.143999857614439,0.065685871353495,-0.0520443759186038,0,0.450065414518498,0,0,-0.0845097298647697
LTC,0.606906332544123,-0.0987568630993138,0,0,0.0231102709340354,0.276743863282849,-0.0680312920044831,0.17036781986666,0,0.151766977247391,0,-0.258372372180965,0,0,0,-0.0430177870709072
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0152452939003279,0,0.142448537503755,0,0,-0.0229756966814807,0,0,0.107240594256573,0.0719387888428915,0,0.168134798281216,0,0,-0.0361971856389245
XEM,1.18040336720308,0.0921335448661297,0.303721881538965,0,0.05794037025514,0,0,0,0,0.481018890433222,0.356407893665114,0.416278780303632,0.558809519287913,-1.74786375679009,-2.43339913833667,0.111676639378043
DOGE,0.0892404551569973,0.0787856735584192,0,0.428979440347468,0,0,-0.0551671695948734,0,0.181274343506395,0,0,0,0,0,0,0
XMR,1.06034985131541,-0.232536242704043,0.0840206493457301,-0.319698317228035,-0.00577218627654461,0,-0.108076346933993,0.183866897828666,0,0,0.151482164986435,0,0,0,0,0
XLM,0.248929700862338,0,0,0,-0.0423279589946567,0,0.193620663553435,-0.0262812031910635,0,0,-0.112350700086267,0.276651419783893,-0.210186998461554,0,0,0.174191721099652
DGB,-0.660861181144766,0.188755029979916,0.103154909458305,0.547831638119403,0.0314393846170984,0,0.11256358981864,0,-0.191324600596894,-0.0401503863689626,0,0,0.119634065005041,0,0,0
BV010082.INDEX,-0.186897046973335,0.018538379622253,-0.126248048177753,0,0.0267697035627763,-0.0907542842352906,0.026737730677191,0,0,0.0405120678710705,0,0,0.1020941560522,0,1.21492304143984,-0.0303734721870356
CVIX.INDEX,0.128236191819204,-0.121561435208523,0,-0.22585511877282,-0.00106539996134071,0.392097783558499,0.00454463993069724,0.317248003507149,0,-0.0780960185047381,0.0486383025882798,0.521461994342409,0,0,0,0.213425679393884
DXY.INDEX,0,-0.0101766819657375,0.0192125947653483,0,0,0.0177805040092737,0,-0.0164339782434286,-0.0272967416362218,0,-0.000716712499049589,0,0.0684976626787878,0,0,-0.014027817182034
SPX.INDEX,0,-0.0000000000000000000067762635780344,0,0,0,0,-0.00818846508249441,0,0,0.0157049899157481,0,0.020486192990563,-0.00658635223960139,0,0,-0.0815295483746627
VIX.INDEX,0.30060503141615,0.227476082844557,-0.667603975892832,0,0.112352253126735,0,-0.18207340519305,-0.882627660426724,0.0225937546876595,0.580486278065717,-0.264352026232534,0,1.13641895850101,0,-1.67406868386671,0
