,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.33140349983473,0,0.0836499499522445,0,0.0529424399535631,0.240249158415228,0.0376230504405276,0.0484050475970937,0,0,0,0,-0.0183073612111716
XRP,0.195051769632897,0,0,-0.0691584692692039,0.232735236140785,0.595032073022537,0.101115534467259,-0.407666064234766,-0.0430864481926238,0,0,0.488782759153778,0,0,-0.25291959099305
LTC,0,0,0,0,0,0.135951678858304,0,0.269295151212348,0.0249222825985049,0.117949145818561,0,0,0,0,-0.0302165152884154
ETH,1.10306782966675,-0.0528141533516447,-0.960891966431915,0,-0.290525750764597,0,0,0.432718152196271,-0.0991907015286682,-0.325065573115644,0.148909589145592,-1.1169867813724,10.5457496615904,0,0.301891524209631
DASH,0,-0.0216673398785751,0.318799698369876,0,0,0,0.0159901174478102,0.148581647050359,0.0221709691421308,0,0,0,0,0,0
DOGE,0,0.177219062229165,0.24505905483767,-0.0761264002940494,0.0509018561798014,0,0.111084331364172,0.243793603635343,0,-0.0835932687768654,0,0,0,0,-0.0635099901982488
XLM,0.951834409001994,-0.24429218997727,0,-0.170230458508276,0,0.133972610552315,0,-0.316895232446444,-0.0791063525608132,0.0692736648624236,0,0,0,0,-0.0225556728355729
XMR,1.90616341030912,-0.267079759339672,0.000323006282301079,-0.0269474192425715,0.224836701869329,0,0,0,0,-0.0793765649509651,0,-0.0179213993887269,0,0,0.0338622350641944
DGB,0.484180803813321,0,0,0,0,0,0.227697660712345,0,0,0.0571249918665416,0,0,0,0,0
XEM,2.22221653955713,0.598761528290719,-0.388640960247301,-0.328658876840584,0.806946822416048,-1.41993435452455,0.277877084323091,-0.654061065445717,0,0,0,0.434958658721269,5.92170749254677,2.18601921492578,0.313363386375821
BV010082.INDEX,-0.250882409088764,0.126747296472403,0.306093720225222,-0.0258158238894534,0,0,-0.106558168613403,0,0,0.0542445713744921,0,0.0127560452634076,0,0,0.0163645624656559
CVIX.INDEX,0,-0.0203010122680703,0,-0.0794422095217133,0.0406532160525287,0,-0.0366269510189128,0,0,0.0143622882073861,0,0,0,0,0.107658266899012
DXY.INDEX,0,-0.0254077126272153,0,0.00419099077380845,-0.00980178524670752,-0.0514479028342696,0,0,0.00683478062590132,0.0234732167360514,0.0203846256602346,0,0,0,-0.0283695454284381
SPX.INDEX,0,-0.0323076158130624,0,-0.0337529983392242,0,0,-0.0425335872287999,0,0.00285302378191621,0,0,0,0,0,-0.113586038094326
VIX.INDEX,0,-0.349376197730524,0,0,-0.311061642908111,0,0,0,0,-0.0697701925164692,0,0.583592387333186,0,-3.44176851987799,0
