,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0403282358559874,0.0797605301368579,0.339368688384671,0.021654550084872,0.00000000000000000173472347597681,0,0.0906152332609805,0.104797102619713,0.0526483589563611,0.066415470863777,0,-0.0574791399471343,0,0,-0.0733792477964873
ETH,0,0,0.371653048119536,0,0.0282508100119298,-0.0379138192006125,0.108497181096997,0.218249703478449,0.499242152892596,-0.120496803210257,0.25661295767252,0,0,0,0,0
XRP,0.318657414986943,0.0644659008825282,0,-0.650512759257288,0.0325916181749347,-0.000410285823903267,-0.0424025770233173,-0.0280324587451162,-0.0558396651250334,0.0888384729615612,0.0181400118563329,-0.120770400138857,0.307144749506726,0,-0.459688960133661,-0.186175347504706
LTC,0.680683599324032,0.0703663999233635,0,0,0,0.00672993176516861,0.0162901558961727,0,0,-0.0311413099507649,-0.00802845671977155,0,0,0,0,-0.0526350740872104
XMR,0.674119969696824,-0.000000000000000000867361737988404,-1.19740930296601,0,0,-0.038886144659218,0.368086794975412,-0.15611454821452,0,0.277632778505067,0.187880568596175,0.373724553065317,0.00982999646410922,0,0,0
ETC,-1.46614164781868,-0.717654466991723,0,0,0.0553630783021212,0,0.751954036061641,0,-0.585119365561267,0.630285621077391,0.250182234773612,0,0,0,0,-0.592609263706754
DASH,0,0.18198125543376,-0.43423379032211,0,0.0487603631842891,0.0364139065480083,0,0.0325552200404012,0.0796720539401692,0.151741765732337,-0.129416457675368,0,0,0,0,-0.350798698709433
XEM,1.87242076380231,0.0240266849216033,0.725268802483744,-1.23891350379073,0.0958648937850027,0.00257241325169197,0.0558960738460824,0,0.089380002792196,0.0944447306229592,0.0510626177959528,0,0,0,0,0.411357953787577
DOGE,0,0.167993295631087,0,0,0.00822830504260821,0,0,0,0,0.204449643471531,-0.0111966342755036,0,0,0,0,0
XLM,0.758662880607204,-0.19006555925578,0.241802229910771,0.0429692694467735,-0.0195011983962771,-0.0671643442894485,0,0.076273000650715,-0.124018888391963,0,-0.0353760322434654,0,0,0,0,0.19301483999695
DGB,1.21941013223768,0.729952705636735,0,-1.28969050905194,0,0.120314324923237,0,-0.271490440152654,-0.29535125354708,0.693867968966553,0,0.439702141834993,0.966628481465207,0,0,0
BV010082.INDEX,0,-0.0405560367899976,0,-0.0384489993024933,0.01659966136309,0,0,-0.00533126340235821,-0.096321905714527,-0.100431924876892,-0.00223757063342203,0,0.136725173381013,1.08253871104854,0,0.0308492005206511
CVIX.INDEX,-0.148555219056428,-0.118946341312132,0,0,-0.0174494586269267,-0.00851888958399567,0.0587971381028744,0,0.0743351150872105,0,0.0958534250974153,0,0,0,0,0.158247877885124
DXY.INDEX,0,0.0114209118130654,0,0,0.00541265610242418,0.000908584285083797,0.0173281614706884,-0.0145554365329772,0,0,-0.0247672324985368,0.185419054764675,0,0,0,-0.0111729929007194
SPX.INDEX,0,-0.00472882930425447,0,0,0,0.000613375182233094,0.00000000000000000010842021724855,0,0,0,-0.00634397115753274,0,0,0,0,-0.0466427825340985
VIX.INDEX,-0.3647634541678,0.0433984700734808,0,0,0.0894241786016886,0.0810110847766408,-0.0146968868649227,-0.271633894644369,-0.123235128743029,0.175264512515247,0,-0.151116943802478,0.720580812791807,0,-2.0311030686267,0
