,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,XTZ,ADA,TRX,XMR,LEO,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.030253526181143,0,0.200875076445718,-0.0000000000000000138777878078145,0.0870032494168478,0.0359260296315843,0,0.0884405029646564,0,0,0.188293954754233,0,0,0,0,0,0,0
ETH,0,0,0,0.134441440590385,0.186531842936194,0.150983773273217,0.269607275195791,0.00220388319294615,0,0,0,0,0.0963234315863173,0,0.0144584361110253,0,0,0,0,0.0314512519725285
XRP,0,0,0,0.275514802619551,0,0,0.0767995684221091,0.028696222335822,0,0,0.200418412060173,0.00626787384328385,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0134558943313219,0.139245694404935,0.184506666445629,0.172508725416889,0,0,0,0.252844452216025,0.0603714698561965,0,0.0223075136401234,0,0,0,0,0
LTC,0.259323360451558,0.00000000000000000693889390390723,0,0.0292624953760213,0,0.476337921431543,0,0.0743915367010157,0,0.0115017335408552,0.0667952941098299,0,0,0,0,0,0,0,0,0
EOS,0,0.286053012893192,0,0,0.337092747617255,0,0,0,0,0,0.138489234894199,0.210785575713619,0.0345398459148998,0,0,0,0,0,0,0
BNB,0,0.457865478459451,0,0.134752709049188,0,0,0,0.0352586465046222,0,0.0678416130498217,0,0.13732605564979,0.0495096788207748,0,0,0,0,0,0,0
BSV,0,0.104960020160624,0,0.395071041088349,0,0,0,0,0.20869004326646,0.0106990768323036,0.184495878899032,0.0408704643312825,0,0,0,0,0.491385304958308,0,0,-0.0833169785332733
XLM,0,0,0,0,0.00000000000000000173472347597681,0.206763372784609,0.0303143059850068,0.192636093904079,0,-0.034286523021904,0,0.0101012843616227,0,0,0,0,0,0,0,0
XTZ,0.236323922059106,0,0.437720310134155,0,0,0,0,0,0,0,0.308241778065283,0,0,0.137342434843227,-0.0494120856169889,0,0,0,0,-0.0356409862879696
ADA,0,0.0299202073142695,0.105792342495538,0,0,0.481785305820068,0.123258826084039,0.00687099482593926,0.0700246977064719,0.0661879282428537,0,0,0,0,0.0258846584831065,0,0,0,0,0
TRX,0,0,0.090885023006311,0.191152640053932,0,0.235090393904054,0,0,0.0788211002022661,0,0.162359623020455,0,0.11762976468433,0,0.156862270751062,0,0,0,0,0
XMR,0,0,0,-0.00000000000000000173472347597681,0,0.228027248155974,0.152627577135595,0,0,0.121294700441084,0,0.199220447744097,0,0,0,0,0,0,0,0
LEO,0.304750538832037,0,0,0,0,-0.0588945088394323,0,0,-0.000000000000000000433680868994202,0.0782119358415785,0,-0.0905621365872893,0,0,-0.0197839114092926,0,0,0,0,0.0857916222235853
LINK,-0.246031493368267,0.251787504294974,0.411946897037699,0.285308074395258,0,0.408562529540814,-0.262308782390384,-0.0857767641654306,0,0,0,-0.182445716667701,0.0192232168727334,0,0,-0.334911393987049,-0.248774836198202,0,0,0
BV010082.INDEX,0,0,0,0.194176627775178,0,0,0,0,-0.045628148200923,0.0107501042301826,-0.0434505074906637,0,-0.125648554742262,-0.280516849963907,0,0,-0.394579777420001,0,0,-0.0666665802487066
CVIX.INDEX,0,0,0,0.117879682704689,0,0,-0.0920366039809862,-0.0242896599224789,0.0476338054323067,0.0735353458304573,0.0361560882960259,-0.0522752069378844,0,0,0.211858209305779,-0.488327886400537,0,0,0,0
DXY.INDEX,0,0.0757939941119579,-0.005141071222573,0.0337084898081166,0,-0.0384477153305733,-0.0557224859064635,0,0.0106929008391951,0.00952458943340673,0,-0.0168147798437286,0.0128029751922627,0,0,0,0,0,0,-0.00265222905464241
SPX.INDEX,0,0,0,0,0,0,0,-0.0120405198195517,0.00831764201601669,0,0,0.00562655823198665,0.0179726890437144,-0.00666534739425878,0.0237092161784052,0.0243574626866813,0,0,0,-0.0477142889181435
VIX.INDEX,0,0,-0.0477201981234066,0,0,0,-0.375991191043994,-0.127448708706853,0,0.0260817891517825,0.471591586885205,0.243160812091447,-0.301862509961323,-0.90170284296186,0,-0.658698360411027,-0.625293094548652,0,-3.01856278321408,0
