,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,EOS,XMR,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.173706666111764,0,0,0.102912713360022,0,0.0488920841026222,0.0997963020573273,0,0,0.015345587612262,0.0013506104795767,0.0568153930178597,0,0,0,0,0
ETH,0,0,0,0,0.210010844445197,0,0.136920665260072,0,0,0.0355822742541425,0.0786632650984183,-0.00000000000000000010842021724855,0.0693005025465521,0,0.0337312717632412,0,0,0,0,0.0152827049885153
XRP,0,-0.251028770461755,0,-0.110056347955418,-0.22159360214105,-0.00000000000000000173472347597681,0.488783810238487,0,0.0660393519677276,0.208340381831373,0,-0.0128965401447632,-0.0323728873451418,0.281625473884883,-0.0621984679491627,0,0,0,0,0
LTC,0.48295014702166,-0.093503334785302,-0.150914197494667,0,0,0.00718417214581794,0,0,0.119329570938138,0.109997014976917,-0.049779706140812,0.176837648720674,0.0834135010773854,0,0.0246845088607229,0,0,0,0,0.0609793605009448
ETC,0,0.234151568321161,-0.0947338317309168,0.150544518839179,0,0.0226469686974752,0.0581852498073979,0,0,0.141040417636155,0.0463206101125866,0.0423436409780198,0,0.0262305545190898,-0.0489825920571782,0,0,0,0,0
XEM,0.139312894321908,0,0.2273979923864,0.0547082556832153,0.0179592815330677,0,0.208437590067465,0,0,0.0367093879653189,0,0.0485402021724832,0.268134974006878,-0.0495245692204499,-0.0360848781083929,0,0,0,0,0
DASH,0,0.0525593163875146,0.0218424741268689,0,0,-0.000000000000000000867361737988404,0,0,0,0.382684562878143,0,0.11308971583017,0.0172909346363605,0.0691855628713219,0.00382881889090772,0,0,0,0,0.0317582071349222
MIOTA,0,0.0758238841031693,0,0,0,0.0657831177542382,0.203097817060586,0,0,0,0,0,0,0.0282619746668928,0.0572596014713237,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.0137249814865425,0.28254629413587,-0.190858642045396,0,0.660398851255118,0,0.0257584739249397,0,0.04787300455192,-0.161709966357213,0,0.0473919633724231,0.0188832792932921,0,0,0,0,0
ZEC,0,0.122544763067577,0,0,0,0,0,0,0,0,0,0.0567856525482929,0.207865921275499,0,0.0121454852134409,0,0,0,0,0
NEO,0,0.450902548690275,0.293380768062407,0.803795011980755,0.758316645822107,0.0689095879387376,0.172588802595364,-0.515157858419843,0.0163399898310442,-0.260884909735986,0.423859010332424,0,-0.399759225835937,0,0.121838653859983,0,0,0,0,0
DOGE,0,0,0,0.0790973775829853,0.180141819083243,0.322205553080454,0.209169570679269,0,-0.0437943631117498,-0.0648765788316922,0.270378403019901,0.0211139839251719,0,0.147637800330626,0.0523164667082731,0,0,0,0,0
XLM,0,0,0.495492149627742,-0.481712668792489,0,0,0.227202109751053,0,0.135381854696406,0.645347336506605,-0.28404764799883,0.0204957463691445,0.140192720487737,0,0.0805478762072062,0,0,0,0,0.0910409631813375
DGB,0,0,0,0,-0.11400574734521,-0.300305503517067,0,0,0.214537104209287,0.502796546719538,-0.265365570439013,0.182800766473041,0.620376051598987,-0.0360375219403617,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0159024754635565,-0.00893858771653758,0,-0.0326706503919246,0,0,0,0,0.024563011173702,0.0072278180027876,0,0.0186060567259659,0.00479294217681416,0,0,0,0,-0.00517112985179579
CVIX.INDEX,0,-0.128809602235009,0,-0.0584254537654081,0.0325466801257752,0.0348908737711133,0,-0.0667631320394465,0.0288750561729423,0.0458097374843154,0,0.0338291133345256,0.0916600101838571,-0.00995002611303733,-0.0225365900002892,0,0,0,0,0.0618910235510804
DXY.INDEX,0,0.00873314656456887,0,0,0.00676612368472697,0,0,0,0.00151809946165237,0,0.00445964816386317,-0.00228747818735682,-0.0180221491585953,0.00410775057328874,-0.00096557181867831,0,0,0,0,-0.00457140159695217
SPX.INDEX,0,0,0.0000000000000000000271050543121376,-0.00214371993734994,0.00417768497567092,0,0,0,0.00171239989509128,-0.00358574702558328,0.00465256661582994,-0.0014899582184549,-0.000551756457071589,0.00357483453798619,0,0,0,0,0,-0.0456350968016877
VIX.INDEX,0,0,0.171532096065618,-0.115965166968067,0.200017705026637,0,0.18030965409294,-0.0527447995950536,0.0525696993083063,-0.0622316653567658,-0.141424211803933,-0.0930088662335464,0,-0.0253262093040179,-0.0183823297276304,0,0,0,-2.91337275430462,0
