,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.1985787086864,0,0.0683933180446809,0,0,0.0617274005703897,0.0750513278525832,0.0349442187008759,0,0.086160502718009,0,0.0778928044070055,0,0,0,0,0
ETH,0,0,0.216029215760003,0.158784069625673,0.262005385778482,0,0,0,0,0,0,0,0.148488843350473,0,0,0,0,0,0,0
XRP,0,0.0993033387983616,0,0.168489091808213,0,0.185605418529377,0,0.0622893513906528,0.100393068043099,0,0,0,0.000791673974621647,0.117688678827951,0,0,0,0,0,0
BCH,0.0723820330416243,0.181725693450161,0,0,0.115953183589821,0,0,0.0000454993448599176,0.173498768049917,0.114419894201699,0.142732327159558,0,0.0292845763035194,0.0170568375856141,0,0,0,0,0,0
LTC,0.168558304073511,0.215669265186286,0.0128168188438042,0.191093412515673,0,0,0.0556986418883102,0.0211004891621364,0.0155577600163485,0.0813332297778354,0,0,0,0,0.0472479628787697,0,0,0,0,0
EOS,0,0,0.112053379483298,0,0,0,0,0,0.0339622945286913,0,0.197407622911369,0,0,0.167922046359277,0.32970864289232,0,0,0,0,0
ADA,0,0,0,-0.0491596747508425,0.106075290303081,0.514235426796749,0,0,0.129500059938688,0,0.14288048607774,0,0,0.0673801804987303,0.0444982534108163,0,0,0,0,-0.00414753212085072
XLM,0,0,0.152763042305839,0.0548288103129904,0,0,0.163906195447257,0,0,0,0,0,0.175872108298517,0.127754956321174,0.200924885144005,0,0,0,0,0
NEO,0,0,0,0.106344474529164,0,0,0.145278764722817,0,0,0.0355964585212962,0.190305696475505,0,0,0,0.304958169013704,0,0,0,0,0
MIOTA,0.0180870935300386,0,0.00365401710773346,0,0.249143655170926,0.0717355345667358,0.00000000000000000693889390390723,0.298827412179259,0.0385706368755127,0,0.030502666402582,0,0.211693198652042,0.0123942318332847,0.0493858981045854,0,0,0,0,0
XMR,0.435339025800198,0,0,0,0.169556669002888,0.029685825983292,0,0,0.160306436185176,0.1080738960263,0,0,0.00585040198324018,0,0,0,0,0,0,0
DASH,0.147660953095836,0.11663623808331,0,0.0943436140455785,0,0,0.0917700437115215,0,0.0862037169953692,0.0807204066006547,0,0,0.112120989103378,0.0376033973706568,0.0194267504889758,0,0,0,0,0.06812146880711
TRX,0,0,0,0.0162161702397504,0,0.376545665411577,0,0,0,0.452960665540551,0,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.0507105598967967,-0.207235838320148,0.271234486267436,-0.0796364615518095,0.306144397956066,0.426785420856547,0.112272148978453,0,0,0,0.198069563058677,0,0,0,0,0,0,0.0414597889516226
ETC,0,0,0.0829466426244535,0.204612312336562,0,0.306925823407356,0,0,0.149261705781421,-0.00000000000000000346944695195361,0,0,0,0.116464320532927,0,0,0,0,0,0
BV010082.INDEX,0,-0.119624385337795,0,0.0681187658698258,0,0,-0.00653214272726832,0.0595443496009931,0,0,-0.0525875196405619,0.110392483788454,-0.0356586780553672,-0.0505606351419477,0.0354596837485599,0,0,0,0,-0.0235720262490695
CVIX.INDEX,0,-0.105171812214899,0.110763188393148,-0.123344649806012,0.0528373278705981,-0.0127902722646559,0.0760795045984636,0,0,0,-0.0111032313262088,0.114202966472189,0,-0.0796013577943933,-0.0140541879905998,0,0,0,0,0.0541835766903053
DXY.INDEX,0,0.0314461001010854,0,-0.0148275791632453,-0.00335143108939402,0.00544766009003979,0.00662914429193877,-0.00353443793872489,0,0,-0.018820928806828,0.00557723658082549,-0.0092523362867168,0,0.00156042528258496,0,0,0,0,0.00732862470874088
SPX.INDEX,0,-0.00000000000000000010842021724855,0,0,0.0144355092108235,0,0,-0.0078135532426321,0,0.0421153931323815,0,0,-0.0524950548353964,0.00347122433703275,-0.0151386508635395,0,0,0,0,-0.0651435730702721
VIX.INDEX,-0.285808774364615,-0.383126668066296,0,0,0,0.203485713014866,0,0,0.0358836720264471,0,-0.0560925383984851,0,0.108498982761449,0,0.101146253872513,-0.759018863507235,0,0,-4.88956355489165,0
