,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0983036168173795,0.117500117474198,0,0,0,0.135584323387058,0,0.00000000000000000346944695195361,0.0233320239633349,0.206942154056412,0,0,0.0667959902437362,0,0,0,0,0
ETH,0,0,0,0.317741619581377,0.0707912843271624,0,0,0.0342688781828828,0.173350144266809,0,0.0496818649530148,0,0.222831837073991,0,0.165381655799292,0,0,0,0,0
XRP,0,0,0,0.166825107694734,0.147923297139759,0,0,0,0.0944307797624525,0,0.220872478023785,0,0.163947514444953,0,0,0,0,0,0,0.0125279058504435
BCH,0,0,0,0,0.311143815545031,0,0.187597672308862,-0.00000000000000000173472347597681,0.207983128090291,0,0,0.0607938346140805,0,0.00931741951464086,-0.0259586513757623,0,0,0,0,0
EOS,0,0,0.163306464206243,0,0,0.110049738568901,0,0.0578238700975933,0.209123166103924,0.000000000000000000433680868994202,0.13321037521945,0.16598284260676,0,0.22500542088929,0,0,0,0,0,0
XLM,0,0,0,0.200558859945081,0.137357795874697,0,0,0.217635488710975,0,0,0.161825483450245,0,0,0,0,0,0,0,0,0
LTC,0.058817787805977,0.103652983120757,0,0.342103718895704,0.0129129859069716,0,0,0.0367137730565807,0,0.0440954370265731,0.163121401913473,0,0,0,0,0,0,0,0,0
XMR,0,0.0548222954986921,0,0,0.285718150720239,0.0353626783400106,0,0,0.0286301244453161,0.207312911520511,0.0399039062316919,0,0,0.0791531410152574,0,0,0,0,0,0
ADA,0,0,0,0.368215404407814,0,0.2431347997624,0,0.116551387266644,0,0.0768837604350807,0.080869855172893,0.0848908171160204,0,0,0,0,0,0,0,0
DASH,0,0.294145936530027,0,0,0,0,0,0,0.101719303666783,0,0.109373357578194,0,0,0.230985818307157,0.116459181156167,0,0,0,0,0
MIOTA,0,0,0.319304110310093,0,0,0.10950546404938,0,0,0,0.0591473921974249,0,0.361245987692851,0,0.268889639280302,0,0,-0.0589272097456442,0,0,0
TRX,0,0.0396350946648514,0,0,0.269860701838475,0,0,0,0,0,0,0,0,0.537482037628229,0,0,0,0,0,0.0226009536030178
ETC,0,0.163728881963904,0,0,0.41515361426363,0.053510903493772,0,0,0,0,0.261844301198273,0,0,-0.310376374706124,0.123408019429609,0,-0.169678961918185,0,0,0.143939164036711
NEO,0,0,0,0.192973186023537,0,-0.0578451860346435,0,0.0460169695921236,0.21492867319145,0.143499859173363,0.35565823136153,0.154316456005305,0,0,0,0,0,0,0,0.067534518867018
XTZ,-0.176139484717516,0,0,0,0,-0.0536588734340627,0,0,0.210523402059262,0.230145567553833,0,0,0.18511213755091,0,0,0,-0.0540527991612553,0,0,-0.140660642861945
BV010082.INDEX,0,0,0.0640048773849541,0,0,0,-0.249721657102681,0,0.00816392747459027,0.0261938027557883,0,0.104750281568939,0,0,0.0318818910998127,0,0,0,0,-0.0492010410051324
CVIX.INDEX,-0.136661939495943,-0.0320477679793556,0.0900309092288916,0,-0.0650851500944478,0,0,-0.0246088037807951,0.173889572965929,0,0,0,0.0873385691838478,0,-0.103893927095643,0,0,0,0,0.0854394053563119
DXY.INDEX,0.0127953858020219,-0.00163871142721885,-0.00295636700232429,0,0,-0.00746505058639022,0,0.00742842958842078,0,0,-0.0183557829850795,0,0.0134138966840449,0.0158378124464987,-0.00515032007124871,0,0.120246550514128,0,0,-0.0222807195120858
SPX.INDEX,0,0,0,-0.00194329915522815,0.0097288046648123,0,0,0,0,0,0,0,0,-0.0169471998097186,0.00578164269340151,0,0,0,0,-0.0591316083293141
VIX.INDEX,0.282184744986632,0,-0.120518841957606,0.0343091949218048,0,-0.193846095987797,0.0674356702070919,-0.211777046023911,0.323287193814515,-0.32221252613547,-0.102239692745223,0.246064752973078,0,0,0,0,0.272810659731151,0,-6.60831010011317,0
