,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.039994345927326,0.032723410047161,0,-0.00000000000000000346944695195361,0.0441839888521296,0.182669237995622,0.0790602989985372,0,0.0817956530564008,0,0.108486234963433,0,0,0,0,0,0
ETH,0,0,0.0526290350077131,0.276436711962711,0,0,0,0.179786997604358,0.12617576498649,0.0528648692422589,0,0,0,0.0909188396935877,0.0455605117073761,0,0,0,0,0
XRP,0,0.167691650710761,0,0.178745283050116,0.0458677961135924,0.0483838480861644,0.037848709464168,0,0,0.119979863907091,0,0,0,0,0.160313739100868,0,0,0,0,0.0240086021079982
BCH,0,0.187940033121312,0,0,0.254342743036295,0,0,0.342171068755393,0,0.0222730454563889,0,0,0,0.0526449442213139,0,0,0,0,0,0
EOS,0.13728056195574,0,0,0,0,0.386937756233266,0.181372750680681,0,0,0.228737153724809,0.0454424343763389,0,0,0,0.317203290936363,0,0,0,0,0
LTC,0,0,0,0,0.233696892701676,0,0,0.233698672103746,0.0460185143638703,0,0,0,0,0.0979897196449395,0,0,0,0,0,0
XLM,0,0,0,0.16542684901946,0.170502343234761,0,0,0.26788942347196,0.107137400641255,0.0483491435274576,0,0.0110585592981225,0,0,0,0,0,0,0,0
ADA,0,0.325252616215158,0,0.039546826644805,0.123528140621254,0,0.0203489821831362,0,0,0.0534909086636053,0,0.0600872425639354,0,0,0.207580683982207,0,0,0,0,0
MIOTA,0.472774100649953,-0.319654719089242,0,-0.10414643870689,0.0571823088909411,0.647291301244227,0.142808589195153,0,0,0,0.720149861734066,0,0,0.0444248250669883,-0.237860154793396,-0.340076485253594,0,0,0,0.0568735676820888
TRX,0,0.387177241614123,0.257599808675295,0.083575410155726,0.171931212798106,0,0.161789345186767,0,0,0,0,0,0,0.0160893366757209,0,0,0,0,0,-0.0415706999245841
NEO,0,0,0,0,0.0833579502518098,0,0,0,0.442529083914945,0,0,0,0.06863161156781,0,0.377287064475321,0,0,0,0,0.0639817614163095
XMR,0.468891467179443,0,0,0,0,0.295014350567946,0,0.0519617967851928,0,0.118879809746884,0.149650162516372,0,0,0.0623843631468221,0.0621215611185321,0,-0.0592299773182133,0,0,0
DASH,0,0,0,0.116810674860679,0.0532654555814381,0,0,0,0.0429540744973584,0,0.0788754563053516,0,0,0,0.251200860195028,0,0,0,0,-0.0576397656068465
ETC,1.16105253293157,0,0,0,0.132839895980194,0,0,0,0.059174071160572,0,0,0,0,0,0,0,0.220317922941213,0,0,-0.0478979294485035
XEM,0,0,0.347265351901558,0,0,0,0.314149662487022,0,-0.0848705394060368,0.0205477690835669,0.270219577374057,0,0,0.0707957876230154,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00432874716680827,0,-0.125861606412392,0,0,0,0,0,0,0.144237240982867,0,0,0,0,0,0,0,-0.12177551237076
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.177124956577043,0,0.224288914923004,0.192001135587931,-0.246478351615502,0.0567453426493467,0,0.0816489993408457,0,0,0,0.0829468175575605
DXY.INDEX,-0.0445371245836389,0,0,0,0.0343755592884383,0,0.0714616633510373,-0.073993573033668,-0.00576971981647035,0.0228392226909643,-0.0073748649497329,0.0208974459786743,-0.0332773035822934,0.0373138536232705,-0.0403315674844089,-0.0259679331090355,0.0159353019104039,0,0,0.0137169788805262
SPX.INDEX,0,0,0,0.0111933880479074,0,0,0,0.00234089450450352,-0.0273299316449316,0.0139417702436514,0.00757210141605323,-0.00573006522259039,0,0,0,0,0,0,0,-0.0635165640067757
VIX.INDEX,0,0,0,0,-0.15671318533972,0,0,0,-0.02084562290851,0.240268045335304,0,-0.529028461351754,0,0,0.156289319215798,0,0.151339439549083,0,-6.9490831563,0
