,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.278278409722893,0.0316724009831086,0,0.0522582567446484,0,0.0487995238187339,0,0,0.0838705390994499,0,0.0184071954110311,0.0433455287231532,0,0,0,0,0
ETH,0,0,0,0,0.0997267756724468,0.138064986096821,0.0636299519005025,0,0,0,0.339309714222272,0,0.128072872777035,0.025779889875479,0,0,0,0,0,0
XRP,0,-0.242821066629912,0,0.0263012839007503,0.14838799313566,0.198881363221462,-0.0993530881616752,0.0526365053973831,0,0.071597524620706,0,0.103956722741946,0.288313633089792,0.254709534355695,0.138037613729311,0,0,0,0,0
BCH,0,0,0,0,0.378984192653317,0,0.218466872170671,0,0,0,0.0545935663116948,0.137493038625605,0.133965461250608,0,0.0139915842051141,0,0,0,0,0
LTC,0,0,0,0.188652747745899,0,0,0,0,0.126293012453393,0.0441314891829793,0.0666308109096965,0,0.159271382933938,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0570866057207624,0.0998405505968532,0.132751863312418,0.122612363336524,0,0,0,0.122221193419777,0.133416575026073,0,0,0,0,0
NEO,0,0.163857875466028,0,0.160858182988689,0,0.0276531089061876,0,0.0882366580651776,0,0,0,0,0.253124022603915,0.114684106211875,0,0,0,0,0,0
XLM,0,0,0.227292816853259,0.193103947697968,0,0.389568271708847,0.134386174563355,0,0,0.173049597428604,0,0,0,0.051621379891739,-0.196578821295079,0,0,0,0,0
EOS,0.0819362372959721,0,0.127998792985938,0,0.0352727507911463,0,0,0,0,0,0,0.425295097632982,0.134325746825155,0,0.131435958321784,0,0,0,0,-0.0199498872564587
MIOTA,0,0,0.126785045150374,0,0.0638998395472938,0.040179176996883,0,0,0.149538613899773,0,0,0.225610063887278,0.130648883483119,0.0369870604598772,0.0420363425100336,0,0,0,0,0
DASH,0,0,0,0.0752130130519068,0,0,0,0,0.14274271132666,0.0265726927492917,0,0.153364779528733,0.212220408489208,0,0.0231603878266497,0,0,0,0,0
XMR,0,0,0.033872360315019,0.223779591550863,0.0682967398212977,0,0,0,0.0468300532298389,0.000000000000000000867361737988404,0.0324044228168614,0,0.205173491681252,0,0.0480756394284137,0,0,0,0,0
ETC,0,0,0.148014154132696,0.137010831771894,0,0,0.0813921412431116,0,0.03023551877204,0,0.0210659805005028,0.178386706682581,0,0,0.0727049530603422,0,0,0,0,0
XEM,0,0,0.153565156031169,0,0.24486202740255,0,0.0837175700564433,0.179199025236007,0.0590464766170621,0.103360476149922,0,0,0.0101708411245332,0,0.0186825315016972,0,0,0,0,0
TRX,0.522912871789578,0,0,0.0810011655133321,0,0,-0.553559213451484,0,0,0.227485489267174,0.348473526664354,0,0.352154409982028,-0.0078860565529839,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428008284547173
CVIX.INDEX,0.0422062740885203,0,0,-0.011559661601171,-0.0474486210839774,0.0561655870338711,0,-0.0356902172313391,0,0.0112748582227186,0,-0.00325840573146405,-0.0666413712782266,0.0478979800213721,-0.01767973916692,0,0,0,0,0.0477758542789835
DXY.INDEX,0,0.0202155782410969,0.00495733920616562,-0.00610708143107378,-0.00142932282635959,-0.0116255023678282,0,0,-0.00669999651643378,-0.00252656051072708,0,0,0,0,-0.00458171754189831,-0.0755176103052811,-0.0106643335926003,0,0,-0.000000000000000000867361737988404
SPX.INDEX,0,0,0,-0.02554594804471,0,0.00310745248631617,0.0172527446711083,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646335048163121
VIX.INDEX,-0.0930912734235143,-0.110905682800563,-0.0434033574361703,0,0,0,0.222741789694721,0,0.088704569833939,-0.402852539772012,0,0,0.332382421554438,0,0.0371104385234202,-1.99745242520465,0.204397579539052,0,-5.09454567567517,0
