,BTC,ETH,XRP,BCH,LTC,EOS,XLM,ADA,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.182450197684836,0.0642237315364554,0.0480034329927996,0.00853655416914903,0,0.0659323512143998,0.0922638381524863,0,0.096347406235703,0.0111518992046647,0.00366174551919669,0.108089788609384,0,0,0,0,0
ETH,0,0,0.208637390928476,0.168949276741955,0.246500153348124,0,0,0,0,0,0,0,0.13125691930623,0.0215604282721833,0.0149959803846405,0,0,0,0,0
XRP,0,0,0,0.145592654907512,0,0.171070031045584,0.15949097458402,0,0,0,0.0402604860760681,0,0.0615105643986201,0.0532909191857988,0.0624064424081353,0,0,0,0,0
BCH,0.124404526254594,0,0,0,0.143685605413727,0,0,0,0.06805965661925,0.024557566625677,0.0600149311950727,0.203666705500741,0,0,0.197791293219163,0,0,0,0,0
LTC,0.212348970733794,0,0,0.280714653875647,0,0,0.163202814837467,0.0344150148546251,0.0163330362674904,0.0256191203783352,0,0,0,0,0.0017349745947593,0,0,0,0,0.0261141891140016
EOS,0,0,0.125211793372039,0,0.0289941463844827,0,0,0,0.383482419441736,0,0.100180883511575,0,0,0.268360391951041,0.0338564825071915,0,0,0,0,0
XLM,0,0,0.131427899021484,0,0,0,0,0.0387414560106772,0.026652581733925,0.103464297203896,0,0,0.191744161672378,0.205969001201193,0.0684126383990028,0,0,0,0,-0.0684159170114303
ADA,0,0,0,0,0.0348383527089496,0.484198145351696,0,0,0.111651820202354,0,0.178001436745548,0,0,0.109010540899996,0,0,0,0,0,0
NEO,0,0,0.00000000000000000010842021724855,0.0545378620775904,0.1287319894851,0.00169360967651311,0.137018442033791,0.0600298205451407,0,0,0.185844932660563,0.094483915800361,-0.00000000000000000173472347597681,0,0.11013284500443,0,0,0,0,0
MIOTA,0,0,0.088723576373036,0,0.157347301550014,0.0637031557282289,0,0,0.0231537542529801,0,0.124844584282074,0,0.231063168324022,0.119358692305169,0.0569042171160585,0,0,0,0,0
XMR,0.612877032325119,0,0,0,0.166501584203442,0,0.128915928789853,0,0.0327676533558746,0.0985581522294075,0,0.0441085017970702,0.00982402772925931,-0.0540303339307179,0,0,0,0,0,0.0465956319771764
DASH,0.375707925379798,0.12249944101718,0,0.0596028725242306,0,0,0,0.130935321474475,0.00413369281575001,0.0240336704177786,0,0,0.112873889567817,0,0.0350011847162926,0,0,0,0,0.0340718138060549
TRX,0,0.0870224858882613,0,0.0371306709539582,0.000000000000000000867361737988404,0.27480360374866,0,0,0,0.540931343821946,0,0,0,0.0739669536468529,0,0,0,0,0,0.117017558732789
XEM,0,0,0,0,0.183318056273934,-0.137941097326718,0.278476471284001,0.344756870326367,0.256534446603417,0,0,0,0.103781482862989,0,0,0,0,0,0,0.0488586445228683
BNB,0,0.184113470533377,0,0.0150563699603142,0,0,0,-0.120364947890131,0.240152187587913,0.0610416175369653,0.260645587805028,0,0.0255093523872393,0.216860940992499,0,0,0,0,0,0
BV010082.INDEX,0,-0.0686853464202416,-0.00948058557914954,0.0183503826409615,0.0495647290804944,0.0371416824437264,0.0578263164989252,-0.0400683445008866,0,0,-0.0624554840558746,0.156819736817588,-0.052290540443989,-0.0348941231478235,-0.0217923419322228,0,0,0,0,-0.0332803023762883
CVIX.INDEX,0,-0.0709560300512162,0.0824423997964063,-0.123791723633865,0.042637067251957,-0.0412131023104981,0.0382242369140483,0,0.0972603026299827,0,-0.0297992638748944,0.120292313080933,0.0681477930436357,0,-0.20307226532053,0,0,0,0,0.0428166702020317
DXY.INDEX,0,0.0237874123972749,0.023274658252744,-0.0111363742406484,-0.00947147472880248,0,-0.0101505270806896,0.0108154474752581,0,0,-0.00883842560214169,0.00908414423083683,-0.00915652111733264,0,-0.0136008481902082,0,0,0,0,0.0102894855008677
SPX.INDEX,0,0,0,0,0.0237433564573172,0,0,0,0,0,-0.000000000000000000216840434497101,0,-0.0461211059758903,0.0110581283033454,0,0,0,0,0,-0.064785579927437
VIX.INDEX,0,-0.266764525470337,-0.0700356246988224,0,0,0.248662540849305,0,-0.0346765145907538,0,0,-0.14761897627363,0,0.154667174609509,0,-0.00118588189015337,-0.679255385032293,0,0,-4.64219947037039,0
