,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0990578741315252,0,0.0471335891594683,0,0,0.137323327269116,0,0.0952255292073465,0,0,0.0540612779747522,0.0131537346734356,0.0521859421816614,0.0287645876835563,0,0,0,0,0
ETH,0,0,0.343488681269928,0.0941503993484195,0.043813395716903,0,0.115760913069132,0,0.0869638605245553,0,0.0314124013217742,0.0351660329247951,0,0.0754757562661436,0.039706732088389,0,0,0,0,0
XRP,0,0.0810100412956666,0,0.037172063234149,0.0381689138456371,0.149816722161337,0,0.107136780172471,0.0522371773261726,0,0.185425663030558,0,0,0,0.124010662967593,0,0,0,0,0.0487340723756291
BCH,0,0.161909137344173,0,0,0.153284205140151,0,0.078715343196578,0,0.14813289827104,0,0,0,0,0.054478472577275,0.168102363169898,0,0,0,0,0
EOS,0.852828278834137,0,0,0,0,0,0.0349185718128079,0,0.094720534221883,0,0.321679698818931,0,0,0.0430556291795325,-0.000000000000000000433680868994202,0,0.174433226516301,0,0,0.0418808881213258
LTC,0,0.0544469503848979,0,0,0.228542932170442,0,0,0,0,0,0,0.0202462415088173,0,0.0209046334357634,0.267617277926299,0,0,0,0,-0.000000000000000000216840434497101
ADA,0,0,0,0.0273593558237414,0.153766522109622,0,0,0.0625547706394755,0.129067858332695,0,0.293775396841227,0,0,0,0.172328872590289,0,0,0,0,0
XLM,0,0,0,0.112178875983816,0.161836065044985,0,0.301941760073769,0,0.0810264341902087,0,0.0284244182083303,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.39545816515894,0,0.607226463635005,0.0492312913207514,0,0,0.0414205527459192,0,0,0,0,0,0.0321180715653785
NEO,0,0,0,0,0.0169514082150228,0,0,0,0.102125236560032,0,0.223810540949559,0,0,0,0.439160408356274,0,0,0,0,0
TRX,0,0.140079751758373,0.367838914156749,0.21237920302009,0.00824686915484744,0,0,0,0,0,0,0.251303075531863,0,0.0930819760606305,0,0,0,0,0,0
XMR,0,0,0,0.0526731573310496,0,0,0.305084609289512,0,0,0.242399726733867,0.11030979100825,0,0,0,0,0,0,0,0,0
DASH,0,0.110570562442692,0,0,0,0,0,0,0.0821941772349477,0.0159648395996838,0.0311869720870883,0,0,0,0.302709665912245,0,0,0,0,-0.0408888620122034
ETC,0.192757423581706,0,0,0.30539856043651,0.114324260501626,0,0,0,0.230936453452865,0,0,0,0,0,0.138231989128803,0,0,0,0,-0.032622417443855
XEM,0,0,0,0.0682289449808792,-0.00000000000000000173472347597681,0,0,0.213983521491218,0,0.19113014394634,0.244967162713442,0,0,0.170922052460172,0,0,0,0,0,0
BV010082.INDEX,0.00398776515559272,0.054230245058915,-0.154765124413925,0,-0.183419440391507,0.0904202610315843,0,-0.0582121773815265,0,0,0.123815955620913,0.142633813389947,0,0,-0.0144649264597891,0,0.0887431424321903,0,0,-0.16037565755754
CVIX.INDEX,0,0.00000000000000000173472347597681,0.192301741834459,0,0,0.0199993866393887,-0.0275391614467572,-0.04556039857643,0.0326610630783749,0.0499440337409735,0.109594856851782,-0.115877751940219,-0.197410805790885,0.0143307837367839,0,0.290940778675154,0,0.862070069308975,0,0.124258406280699
DXY.INDEX,0,0,0,0,0.021461047908199,0.010461086003781,-0.0587942970261545,0.0346419050954579,-0.00293080872496139,-0.00828437441087524,0.0282498263224721,0,0,0.0205387793248903,-0.0466901190275675,-0.0230475033102728,0.0246881718736329,0,0,0.00693771714984702
SPX.INDEX,0,0,0,0.0166463922597034,0.00890078620790422,-0.0248940815769823,0,0,-0.0198739458495637,0,0.0102597767231726,0,0,0.00623585147558171,-0.000721992593911306,0,0,0,0,-0.0593640764637749
VIX.INDEX,0,0,0.210767454566352,0,-0.466221311196648,0,0,-0.312203831864182,-0.186720954204536,0.322462082175078,0.2558409473593,-0.224751987592686,0,0,0.401144979069483,-0.69587929631847,0.273492086697794,0,-0.931604012527064,0
