,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0819136988173867,0,0.0470103825993153,0.0457969655525393,0,0.0996495142879862,0.038793684842232,0.221321396212022,0.0498691785570057,0.0246118199715674,0,0,0.039240909055062,0,0,0,0,0,0.0258981070005091
ETH,0.181900991869311,0,0.204265992373012,0.103015159812018,-0.0225721585164637,0,0.382702971364892,0,0,0,0,0.0251824718980685,0,0.0399639526091237,-0.00126605053563637,0,0,0,0,0
XRP,0,0.244829954429107,0,0,0,0,0,0.111009991713364,0,0,0,0.173555164343626,0,0.0404570251815643,0.194060499208342,0,0,0,0,-0.0263337321508652
BCH,0,0.304412193542578,0,0,0,0,0.0613374360398844,0,0.184463611944072,0,0,0,0.238288223541677,0,0,0,0,0,0,0
EOS,0,0,0.0101841244478439,0.158952787572238,0,0,0,-0.163246747992365,0,0,0,0.26888571973925,0,0.0519638341907746,0.320828372499306,0,0,0,0,-0.152680287530632
ADA,0,0.401644406809556,0.0479509395000015,0,0.073351095395362,0,0,0.157068102064118,0.205859946783407,-0.00788387678030207,0.249140909277604,0,0,0.106875310113718,0.0461012659484389,0,0,0,0,-0.0385700416690477
LTC,0,0.220303791532929,0,0.180267144327887,0,0,0,0.203221496145262,0.0852836490457696,0,0.049447738063393,0,0,0,0,0,0,0,0,0
XLM,0,0,0.154824238852457,0.0774351065743225,0,0.192734608743509,0,0,0.192642032484402,0.0339076178328162,0.0957397756490565,0.0358794842868552,0,0.162975065538119,0,0,0,0,0,-0.055987215659866
MIOTA,0,0,0.278734399292593,0.399472246522518,0,0.109144380855934,0,0,0,0,0.165836445972744,0.0162663717209515,0,0.0321696174197085,0,0,0,0,0,0
TRX,0.092962400866445,0,0,0.940946061322953,0.039464768116507,0,0,0,0.125608226285992,0,0,-0.312023200692512,0,0,0,0,0,0,0,0.11748828933088
NEO,0,0,0,0,0.107718130034589,0.0335070239420037,0.0666607416112192,0.163524559745916,0.140477023471638,0.00638814139306183,0,0.177243502380944,0,0.0345766264018186,0.180554918419024,0,0,0,0,0.0955901278958003
XMR,0,0.0826708737352403,0,0.111591082001492,0,0,0.223465045346099,0,0.0917860511601883,0.123674209813873,0.154981788406831,0,0.121150234467924,-0.0148066917663028,0,0,0,0,0,0
DASH,0.268986198335304,0.327136145573938,0,0.0946390671012403,0,0.0717620819614084,0,0,0.0850686176929866,0.0710718820384602,0.00838596184207933,0.0335922666416903,0,0.0253496869192277,0,0,0,0,0,0.0422981736463798
XEM,0,0.385949819424562,-0.107751397264841,0,-0.161405561960259,0.273739560496391,0,0.13889164653343,-0.262559098024629,0.204045850909131,0.383347433006562,0,0,0,0.198881757851947,0,0,0,0,-0.0225401092418893
ETC,0,0,0.526800451357876,0,0.0832661947774543,0.0376422905350027,0,0,0,0.111909041195634,0.187756760954559,-0.146244739282079,-0.00000000000000000173472347597681,0.162798813492208,0,0,0,0,0,-0.102086513837575
BV010082.INDEX,0,0,0,0,0.0182735694178087,0,0,0.0244097319083795,0,-0.0355481845387983,0,-0.0874165495902029,0.124337682116939,-0.0457310636292474,0,0,0,0,0,-0.0394246017002335
CVIX.INDEX,-0.140080876330566,0,0,-0.0207099843808618,-0.0502945058259316,-0.0328884051167795,0,0.0685484204543904,0,-0.0000619630708868504,-0.0684650134665676,-0.105489859661928,0.248334018323599,-0.222020529882445,0.200819292385601,0,0,0,0,0
DXY.INDEX,-0.00527591945475806,0.00797320438695177,0.0113881838879354,0,-0.00433477163985995,0.00396387380893164,0.0132931666770359,-0.0436303083051383,-0.00681605159334511,-0.00420480727154898,0,-0.00273650363316622,0.0443439512516653,0,0,0.0398309162872969,0,0,0,-0.00523294674477314
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.0182977102700705,0,0,0,0,0,0,0,0,0,-0.106802021621585
VIX.INDEX,0,0,0,0.0489433481845486,0,0,0,-0.0905793579346756,0,0.155004436326434,0,0,0,0,0,0,0,0,-3.22937680670737,0
