,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0943405266303107,-0.0392399754773266,0,0,0.0172996814941572,0,0.0632152002168197,0.317591949326805,0.177738498997947,0,0.0424878673638786,0.06276153311433,0,0,0,0,0
XRP,0,0,0.257956323549062,0.25657085174662,0,0,0,0,0,0,0,0.172130949716308,0,0.224612427308796,0,0,0,0,0,-0.0420562350535194
ETH,0,0.174925736703835,0,0.0192786661665646,0.036492281826634,0.117852870460007,0,-0.00213654815195248,0.263706004985274,0.0309420681712431,0.276883247678743,0,0.0790895381648655,0.0572043744911931,0,0,0,0,0,0
XLM,0.260337464523395,0.102315664715777,0,0,0.0333337202849341,0.054319305757691,0,-0.0141766788352365,0.477670075445367,0.071581142929616,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.25642196828177,0,0,0,0,0,0.400849108277236,0,0,0.376577495579174,0,0,0,0,0.0312682458317591
EOS,0,0.0548638208956578,0.56844862313592,0.116541203924517,0.0993963526062677,0,0,-0.00387996662362704,0,0,0,0.00545411706278048,0,0,0,0,0,0,0,0
LTC,0,0,0.0663390624713221,0,0.183779395057471,0,0,0,0.069347212935545,0.0902412663637309,0.139743052597676,0.107128594585479,0.122998634262599,0,0,0,0,0,0,0
BSV,2.09201396999319,-0.541435005238363,0,-1.15369546396194,0.950989492093299,0,-2.41002107311808,0,0,0.767247832356505,0,0,1.2989947350374,-0.0243450715424171,0,0,0,0,0,-0.0329743803011996
ADA,0,0.050058672106766,0,0.0738873690024878,0.115033240845264,0,0,0,0,0.383885067535833,0.167504946511591,0.0778926465173183,0.0000000000000000000542101086242752,0,0,0,0,0,0,0
TRX,0,0,0.0508016918129979,0,0,0,0,0.00251097963333636,0.335590191003821,0,0.0656681435932284,0.199348781798679,0.0770628515357219,0,0.201428504370127,0,0,0,0,-0.0314975567797714
XMR,0.377528754464553,0,0.385558001513812,0,0,0,0,0,0.274122184371584,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0515243047390008,0,0.056711951301856,0.0589092523153567,0.232580220013491,0,0.00564280438138399,0.396883188064428,0.0926005442134617,0,0,0,0.0532843094103159,0,0,0,0,0,-0.0285058157150663
DASH,0,0,0.230172371848163,0,0,0,0,0.0214529385635262,0.426135235423237,0,0.0309082303930926,0,0,0,0.239882285523627,0,0,0,0,0.0263352211028731
XEM,0,0.0140521294959679,0,0.247181708491292,0.0186027854763112,0.00911743065462248,0,0,0.0844833570999861,0,0.112838947329545,0.0779069670975484,0.274009922925379,0,0,0,0,0,0,0.0266525474251649
BNB,0,0,0.431244430686364,0,0.057141201498562,0,0,0.013596633534254,0,0.254856982125865,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0738789563345483,0,0,-0.0419865889142266,0.115251722549377,0,0.0125426068352932,0,-0.0210021882590452,0,-0.256196213437499,0,0.11205230392659,0.237962422044473,0,0,0.0779184578812123,0.599101098009239,0.00469320039923767
CVIX.INDEX,-0.0826674219537892,0.0280874680392496,0.202881261111802,-0.156192190898518,-0.0839611006800485,0.0818735105076724,0,0,0,0,-0.109713125804047,0.183219730311602,0,0,0,0,0,0,0,0.0425620438893091
DXY.INDEX,0,0,0,-0.0168415272292336,-0.000898939393203144,0,0,0.00657676730756058,0,-0.0272755559734551,0.01839096424385,0.00955988250992966,0,0.0113743309178749,0,0.0442194195330998,0.0357473741277247,0,0,0.000333265332243782
SPX.INDEX,0,-0.0603405784715522,0,0,0,0,0,0.00458592840821667,0,0,0,0,0,0.0373330876917828,0,0.00730637393168634,0,0,0,-0.118632689090148
VIX.INDEX,0,-0.0486860225604366,-0.079192347169959,-0.08187606678395,0.152377577660086,0,0,0,0,-0.151756140544312,-0.169177017241572,0.234942735106866,0,0.179992434593701,0,0.00000000000000000173472347597681,1.32931802298571,0,-5.77071584926598,0
