,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.201884069285082,0,0.0591288805321074,0,0,0.0554662666903244,0.0387666825259525,0.0867281977452877,0,0.0883349731835211,0,0.0704287180265023,0,0,0,0,0
ETH,0,0,0.216029215760003,0.158784069625673,0.262005385778482,0,0,-0.000000000000000000867361737988404,0,0,0,0,0.148488843350473,0,0,0,0,0,0,0
XRP,0,0.0220184007018368,0,0.0271153094932986,0.260448782976289,0.153262098317345,0.0273593822987016,0.00212279578807214,0.145154313253572,0,0,0,0.0245370545738435,0.141216748141761,0,0,0,0,0,0
BCH,0,0.115325256279334,0,0,0.184016028169763,0,0,0.0715722805474038,0.216556228119655,0.0481015536539236,0.0427282636978368,0.18341052636426,0.0142426427664614,0.00539703512498604,0,0,0,0,0,-0.0202882698022004
LTC,0.196276298677682,0.187269549208052,0,0.201478713368855,0,0,0.05875182132434,0.0405386858556591,0,0,0.070510979153899,0,0,0,0.0469139913202591,0,0,0,0,0
EOS,0,0,0.072154700120955,0,0,0,0,0,0.0939008831978532,0.236532111513787,0,0,0,0.186809812469337,0.351733138511252,0,-0.162432492203343,0,0,-0.0361796668487817
ADA,0,0,0.00000000000000000346944695195361,-0.0491596747508432,0.10607529030308,0.514235426796748,0,0,0.129500059938688,0.142880486077741,0,0,0,0.067380180498731,0.0444982534108173,0,0,0,0,-0.00414753212085093
XLM,0,0,0.110221599997305,0.0541779931392717,0,0,0.19763431654014,0,0,0,0,0,0.189209927858685,0.136211149029426,0.202712238577735,0,0,0,0,-0.00642078314030452
NEO,0,0,0,0.106344474529164,0,0,0.145278764722817,0,0,0.190305696475505,0.0355964585212961,0,0,0,0.304958169013704,0,0,0,0,0
XMR,0.435339025800198,0,0,0,0.169556669002888,0.0296858259832921,0,0,0.160306436185176,0,0.1080738960263,0,0.00585040198324,0,0,0,0,0,0,0
MIOTA,0.0999790766673517,0,0.0973554764035082,0.069662948494226,0.004478361487044,0.0872685554121027,0,0.0560366884163565,0.299572190547779,0.118508563789999,0,0,0.00114906013294468,0.112653624369995,0.0691889110139495,0,0,0,0,-0.0524807551453464
DASH,0.277822632718604,0.132132258848203,0,0.0795131802043068,0,0,0.107928072072126,0,0.0315381101305468,0,0.0269138938313995,0,0.145061380492726,0,0.0193054755143468,0,0,0,0,0.026501600177553
TRX,0,0.00355460283144714,0,0.143236531374799,0,0.310235562120436,0,0,0,0,0.270327997319342,0.00000000000000000346944695195361,0,0,0.103923094398641,0,0,0,0,0.0595848151186422
XEM,0,0,0,0,0.223621965343242,-0.157377066026228,0.358854153503435,0.318959954139304,0.18968286654329,0,-0.0689610347440871,0,0.0775865886532558,0,0.0844016640283268,0,0,0,0,0.0738306323361436
ETC,0,0,0,0.224972125107858,0,0.317601375111108,0,0,0.134066016782123,0,0.0455314026963145,0,0,0.118661415573327,0,0,0,0,0,0
BV010082.INDEX,0,-0.124880813663083,0,0.0690897243147087,0,0,-0.00880509496346393,0.0621664689117788,0,-0.0497242417334669,0,0.107279359437338,-0.0342934012970763,-0.049317253042264,0.035854601522342,0,0,0,0,-0.0237054273385142
CVIX.INDEX,0,-0.142683918426771,0.103971435546411,-0.13014512272174,0.0548271408353809,-0.0260305791759536,0.121428316429057,0,0.0181106946382224,0,0,0.154665974322231,0,-0.143033152249341,-0.0156362976991504,0,0,0,0,0.0578500772826564
DXY.INDEX,0,0.0455985671937144,0.00127913458096572,-0.0141229521094767,-0.00760077272398761,0,0.00469157919291535,-0.0120601016181072,0,-0.0139802947879344,0,0.00818803492033799,-0.0111772998784328,0,0.0017794166772004,0,0,0,0,0.00941556880123031
SPX.INDEX,0,0,0,0,0.0152414832621193,0,0,0,0,0,0.0181474022009661,0,-0.0496446929758081,0,0,0,0,0,0,-0.0591635722462351
VIX.INDEX,-0.282552024866,-0.388410816463782,-0.00557260805848197,0,0,0.201565524828552,0,0,0.0426610941098507,-0.0579819099724013,0,0,0.113936815923789,0,0.100739061419706,-0.750561231878181,0,0,-4.84506696527702,0
