,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XEM,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.717988559334036,0.087177978917223,-0.0244369415932648,0.00000000000000000010842021724855,0,0,0.00385423953788712,0,0.0251900154507284,0,0,0.0112060688051188
ETH,-3.02660628166013,0,0.371132649778319,0.845030910005642,0.302654005952157,-0.00883997693104772,0.222932830082997,0.133041035818993,-0.354854773062395,0.0324708154547636,1.21064383388502,-0.432744951216948,-3.26012898988987,0,0
XRP,0,0.0325748457288865,0,0.298142408232529,0.0782554675175404,0.0307949260840035,0.0551274572023553,-0.0296854467466483,0,0.0226879468588675,0,0.171555142618644,-0.321936330028406,0,-0.0852909286182709
LTC,0.410421882005285,0,0.0473457967662056,0,-0.0247216419813326,0.0589074661052466,0,0.00513824204090452,0.0531164270283628,0.00574722250520118,0,0,0,0,-0.020238957293493
DASH,0.318921577453158,-0.154533173294856,0.107107166122279,0,0,0.212905974593462,0.0506296357747936,0.0221822848303027,-0.436355341970641,0.0156604477666437,0.400870996220547,-0.635947181942155,0,0,0.374327532946381
DOGE,0,0.193195078821157,0,1.11947354644821,0.0300501238583825,0,0.0557187802637755,0.0254589064766689,0.339181854427503,-0.00543265650801351,0,-0.213033287041201,0,0,0.272707018476014
XMR,0,0.311585934267903,0,0,0,-0.206403406132762,0,-0.266435254167606,0.712827853053172,0.101264456368146,0,0,0,0,-0.188270617480339
XEM,0,0,0.248535066714015,0,-0.00821098648961016,0,0,0,0,0.151314703895007,0,0,0,0,-0.113152697759105
XLM,0,0,0.472371926845041,0,-0.508730125822134,0.240174487222341,0.0791220575279451,0.229181047682709,0,-0.0206581709986975,0,0,0,0,0.313540966813506
DGB,0,0,0,1.27782868472128,0.697637982123582,0,-0.363778432375277,0.081366958304198,0.349189069571253,0,-2.73253466402981,-0.817286035620395,0,0,0
BV010082.INDEX,0,0,0,0,0.130149432615211,0.0010292444587329,-0.0527188086812957,0,0.0206318883297043,-0.116618889537956,0,0,0,0,-0.0386750620438141
CVIX.INDEX,0,0.000000000000000000867361737988404,-0.206706074961567,0,0.0435424345664828,0.117018849469339,0.035274694477959,0.0084652910636897,0.05772365283513,-0.0250877041205867,0,0,0,0,0.143131164965057
DXY.INDEX,-0.169717623327934,0,-0.0512851983904449,0.143084417422281,-0.0230065259835991,0,0.0103682612563943,0.00658047851362071,-0.019903478681006,0.0145937843829512,0.0834384126103731,0.00388059854411747,0,0,0.0275455216104445
SPX.INDEX,0.0357882695122306,0.0109862833824858,-0.0402496168202384,0,0.00474715808564826,0.0108388297046769,0,-0.00697429087822624,0.0154117082472044,-0.012862105543249,0.0259763843388124,-0.0242817275434918,0,0,-0.161057012754858
VIX.INDEX,0,0.080715787904779,-0.158119241823645,-0.0574547425194069,0.104580701052012,-0.069442808466121,-0.0560060056609049,-0.0364535607987159,0.339431487422376,-0.0696000455917605,0,0.130704340102079,0,-2.13813839467506,0
