,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.13777311084845,0.0144079091704519,0.221540686204986,-0.0650614121707188,0.0178686894976153,0,0.0544086870818461,0.0747480691448594,0.0196065110423868,0.0376936799563313,0,-0.0503960163734474,0,0,-0.0771062957286529
ETH,0.803426815346773,0,0,0,-0.103654348166287,-0.00993111648873797,0.0645872111372931,0.185578929877652,0.121541469635656,0,0,0,0,0,0,0
XRP,0,-0.283502387759077,0,0,0,0.0504316288534159,0.100575135731374,0.161309992652242,0.237072512422051,0.475172535352499,0.111955929411541,-0.334274272067304,0.25437483046058,0,0,0.150442099307358
LTC,0.460804085885975,0,0,0,0.0291930162730158,0.0104852799677386,0.0119989044079824,0,0.149946494718833,0,0.0020728947156991,0,0,0,0,0.0275833279701876
ETC,-1.08941248760091,-0.0567227566273494,-0.00000000000000000693889390390723,0.554335105942843,0,-0.0928235463186285,0.508027672204168,-0.293044074662237,-0.903743000287378,0.286873814952326,-0.0869568387898576,0,0,0,0,0
XMR,0,0.796698000666686,-0.0268317715754329,0,0.0490996133630267,0,0.48215224546433,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.044402533296939,0,0.164265574177569,0,0.0983904961431896,-0.134772438668349,0,0,0,0,-0.202599981403842
XEM,0,0.4205424036946,0.0959797237445477,0,0,0.0564128453936023,0.360313176464669,0,0,0.0236718010416215,0.175636233809376,0,0,0,0,-0.218923041851527
DOGE,0,0.180098427590373,0.176208978715566,0.216844404259879,-0.139336329551066,-0.0864630845745641,0.212046996837795,-0.148885146475981,0,0,0,0,0,0,2.61724448063335,0.150128399049116
XLM,0,-0.00490452252887436,0.527003711467067,0,-0.0865555035512532,0.0198106688028125,0.0732299594087505,-0.0574870272389259,-0.0702300038908183,0,0.116021822631889,0.245352211415922,0,0,0,0
DGB,0,0.579184061536678,0,0,-0.208543440538336,-0.0207958943587801,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0406419613860744,-0.0283677250093702,-0.149580738052801,0,0.0329750151633729,-0.0667776986472659,-0.0809249531877471,-0.13389951048827,-0.0277997825359709,0,0,0.121391646151084,0,0,0.0350696635776964
CVIX.INDEX,-0.333455678888291,0.0364475393648125,-0.0103642122875661,0,-0.0795045769205018,-0.00939261770391015,0.0866219647352179,0.0204441000311512,0,0.0611907057526788,0.0566288105631804,-0.244877358841833,0,0,0,0.124928025413458
DXY.INDEX,-0.00734934679303417,0,0.0183258825043913,0,-0.00313404203007959,0.00463115110753536,0.00818686411884698,-0.0120462338674668,0,0,-0.00523382933285414,0.16484901033164,0,0,0,-0.00259422897932103
SPX.INDEX,-0.0418443845098678,0.0158380022282651,0,0,-0.00324424666082243,-0.000988689220675993,0.0113386311087813,0,0,-0.0179712295494883,0,0,0,0,0,-0.0704026905665135
VIX.INDEX,-0.516503290360422,-0.196465390350256,0.102142497115628,0,0.0877118429398886,0.0342198047520832,0,0.0504007169397283,0.400520272956041,-0.329598232881057,0.15604854367859,0,1.35461591479101,0,-7.02801748529853,0
