,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XMR,XLM,TRX,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0964803699475963,0.00000000000000000173472347597681,0.0851085140752521,0.104441862647794,0,0.0309751975921828,0.0504583431161541,0.0719761095877163,0,0,0,0,0,0,0,0,-0.00063439858410586
ETH,0,0,0.0817811979706122,0,0,0.132206362972346,0.240122207220818,0,0,0,0,0,0.136909940322626,0,0,0,0,0,0,-0.0903952620656275
XRP,0,0,0,0.234224372657456,0.0203331246995098,0,0.03736977810189,0,0,0.0567682123157328,0,0,0.133198900702138,0,0,0,0,0,0,-0.0553296023395993
BCH,0,0.0970406993858292,0,0,0.221859935060111,0.157127217697056,0,0.0196284383448212,0,0,0.0632546567609687,0.127229608278111,0,0,0.179527002895268,0,0,0,0,0
BSV,0,0,0.307388385550682,1.39366546064218,0,0,0.771443207803064,0,-0.0419269416152083,0.0345925811490775,-0.287351444097491,-1.39798907725765,0,0.177780443953837,-0.475973921771612,0,0.746288790621777,0,0,-0.0588596314088449
LTC,0,0.153256271248847,0.069777637335823,0,0.0882565220253162,0,0.133516494799801,0,0,0,0.103902079684306,0,0.00000000000000000346944695195361,0.134729735311551,0.0656458262555269,0,0,0,0,0
EOS,0,-0.0000000000000000138777878078145,0.0972013078297929,0,0.138078877740642,0.121659184612863,0,0.202866372744373,0,0.0985032599342777,0,0,0.100166050381334,0,0.167353847460913,0,0,0,0,0
BNB,0,0.0968386537982255,0,0.190962244994256,-0.0221225234050429,0.227545150560072,0,0,0.042395345343542,0.146652825274575,0.058638202450994,0.00888830413469988,0,0,0,0,0,0,0,-0.040829679833888
XTZ,0,0.110319507494403,-0.153141301573531,0,-0.0888000963258421,0.0816901285798053,0.505866940862517,0.0138903582076676,0,-0.209974337555727,0,-0.157642570250039,0.317928446896111,0.36612727685168,0,0,-0.034331577876483,0,0,-0.105615327324571
ADA,0,0.0885760573168776,0,0,0,0,0.26535301054715,0,0,0,0.241563477539437,0,0.246021967398615,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0147668116985526,0,0,0.345368511479654,0,0,0.320725595648264,0.0499047663032504,0,0,0,0,0,0
XLM,0,0.0995314261409198,0.774989041270546,0.026695302985666,0,-0.194947698868432,0,0,0.0537374935954157,0,0,0,0,0.0836172650135378,0,0,0,0,0,0
TRX,0,0.0969723716525954,0.253961252508459,0.0552637201462304,0,0.173824890123199,0.174383589801668,0,0.034523424466474,0.191042671761048,0.00764011227821754,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0642869031754078,0.0276602432463097,0,0,0.182082115032258,0.104825646374025,0,0.0705779852824939,0,0.275643462932738,0,0.0356946274660557,0,0,0,0,-0.0816937572855511
ETC,0,0,0,0.575650505602394,0.0381242081641108,0,0,0,0.0512802640038365,0,0.229984268038064,0,0,0,0,0,0,0,0,0.228283255676483
BV010082.INDEX,0,0,0,0,0.0123811989580928,-0.0708409291122366,-0.0276780638422785,0,0,0,0,0,0,0,0.0536568980432348,0,-0.088277387724595,0,0,-0.129866138760463
CVIX.INDEX,0,0,0,0,0.0667480491974479,0,-0.113009364178929,0,-0.0000000000000000138777878078145,0.253837027877878,0.0784701035625874,0,-0.397033057963105,0,0,0,0,0,0,0.106169282938402
DXY.INDEX,0,0,0,0.00459362306283893,0.00295082691605834,-0.0271975277968396,0,0,0,0,0.00168160592671792,0.0149081011955917,0,0,0.00035805418395907,0,-0.0133902041300995,0,0,-0.0090553379026081
SPX.INDEX,0,0.0150519400903441,0,0.0147850126130585,0.00181935961857723,-0.0228671600176661,0,0.0249776844421875,0,0,-0.0211057685484817,0.0136926536672507,0,0,0,0,0,0,0,-0.0767101885873409
VIX.INDEX,0,0,0,-0.478073331553364,0.0564362656543989,0,0,0.256132997553347,0.110087221805762,0,-0.0409571837112553,-0.507856357922197,0.376192581900887,0,0.12320247276721,-0.238325972422808,0,0,-5.37077067893786,0
