,BTC,ETH,XRP,BCH,BSV,LTC,INNBCL,EOS,BNB,TAGZ5,XTZ,LEO,XMR,XLM,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.00546034140897238,0.124979973803028,0.13254434915749,0,0.174654674805069,0,0.0491670259803261,0,0,0,0,0,0,0
ETH,0,0,0,0.308290523633376,0,0.247250069436891,0.00755846406469278,0.0763921726263712,0.00367087198985847,0,0.236394076270243,0,0.103169019180596,0,0,0,0,0,0,0
XRP,0,0.0863958448434113,0,0.110515101925496,0,0.0837258278216329,0,0.148940758521181,0.037562561278191,0,0.11954730618318,0,0,0.158592996337138,0,0,0,0,0,0
BCH,0.123269649787742,0.310586426250968,0,0,0.188988812697144,0.0476684625439779,0,0.208203030069526,0.0303336687960108,0,0,0,0.0128863713479339,0,0.109927333390822,0,0,0,0,0
BSV,0,0,0,0.454501619644077,0,0,-0.00276761198532598,0.434006645366973,0.195916808947718,-0.0483192300707186,0,0,0,0,0,0,0.0812600747951374,0,0,-0.0330988537641422
LTC,0,0.352952327389992,0,0.142517628253922,0,0,0.000620088855890314,0.198922413628274,0,0,0.0175448541769056,0,0.0922786796235102,0,0,0,0.047840681933579,0,0,0
INNBCL,0,22.3619440963254,0,-1.14588923654879,0,0,0,-0.931443240287702,0,-2.84511803650005,0,0,-20.1595726977056,0,-3.5586742580546,0,-0.969272834146542,0,5.56425991143452,-0.000000000000000111022302462516
EOS,0,0,0.101526511195667,0.267176315770444,0.234122557103178,0.22907583758767,0.00266169754018621,0,0.101172415362616,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.130077643108063,0,0.269943212917803,0,0,0,0,0,0,0.164331132710978,0,0.20130113782343,0,0.0691541055554329,0,0,0,0,0
TAGZ5,0,0,0,0.427010039980885,0,0,-0.00223543243840632,0,0,0,0,0,-0.0200133198022671,0.42026398245906,0.0324948542612024,0,0,0,0,0.114927568447514
XTZ,0,0.325814889849202,0,0,0.075964172167224,0,-0.0038509456080421,0,0.551583304336217,0,0,0.141391494200678,0.00000000000000000173472347597681,0.117593901668282,0,0,0.00672115842307623,0,0,0.00706196695466678
LEO,0,0,-0.0579560918144551,0,0.0524876923842478,-0.13358768715155,0.00140331282085865,0,0.143591444024395,-0.018878406943674,0.136068828576478,0,0,0,-0.140223957215477,-0.0171671032737318,-0.0027992880450016,0,0,-0.0633620609453516
XMR,0.0571178121503109,0.18934442005094,0.0819418424368309,0,0,0,-0.00434443359558529,0.406622142308307,0.00630958535606207,0,0.144094865536762,0,0,0,0.0267765612900077,0,-0.00914483302511171,0,0,0
XLM,0,0,0,0.209548601604019,0,0,-0.00190111799325589,0.248575181965095,0.067716007762807,0,0.0846549199163497,0,0.0619483571535963,0,0,0,0,0,0,0
HT,0,0,0,0.211640158775237,0,0,-0.00140456833749568,0,0.198097066690276,0,0.282901347584324,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0.158607905244224,0.853052561892621,0,0,0.234467231201629,0.432775505475077,-0.0262565949522038,-1.49698381457863,-0.604154795884266,0.144274426978907,-0.748842608249413,0,0,1.15650124666018,0.134333980679573,0,0.0171196945075204,0,0.00454473585421173,-0.132690252308899
CVIX.INDEX,0,0,0,0,0.285342301531739,0,-0.00365228339403501,0,0,-0.462937388587198,0.39210916657856,0,-0.464815120620475,0,0,0.288870224408118,0,0,-0.178344799785543,0.369351684397787
DXY.INDEX,0,0,-0.0582662402781031,0,0.0261877237228044,0,0.000553347237952396,0,0,0,0.0289437054918314,0,0,0,0,0.0382402219371654,-0.00846560740786498,0,-0.0218682844235372,-0.00961096548502383
SPX.INDEX,0,0,0,0,-0.158274663337529,0,0.00512335160681418,0,0,0,0.129469323490021,0,0,0,0,0.103233043203911,-0.0345164112875266,0,0,-0.2556095862098
VIX.INDEX,0,0,-0.174927024089583,0,0,0,0.0213734067413744,-0.369554249112926,0,0.360213853381946,0.19197255772497,0,-0.118750652744453,0,0,0,0,0,-1.97971816353831,0
