,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0527921755016756,0.0430274175445555,0.0274122059415588,0,0,0,0.0711117313792628,0.116735575277127,0,0,0,0.0122399004249102,0.13064967479232,0.0461357376537686,0,0,0,0,0
ETH,0,0,0.313282176897122,0.0909541946722343,0.0170495360371362,0,0.0507881666832865,0,0.0818197862876433,0.0766461280636525,0,0,0,0.136809562512465,0.160503096561582,0,0,0,0,0
XRP,0,0.0654259766687665,0,0.0000000000000000138777878078145,0.0157490390737925,0,0.0892847003613449,0.126914188401228,0.0347822458249854,0,0.0971033159245203,0,0.246499772974258,0.12192465030048,0,0,0,0,0,0
BCH,0,0.0727563808110313,0.276337034002079,0,0.0179819625827325,0,0,0.0466599784550522,0.242952447197791,0,0,0,0,0.126152894339797,0.0633013290376795,0,0,0,0,0
EOS,0,-0.254274119180785,0.540815279151865,0.523019137748492,0,0,0.00000000000000000693889390390723,0,0,0.032670826973591,0.156221675592266,-0.836303230916962,0.317236832841256,0,0.409145472449515,0,0,0,0,0
LTC,0,0,0.254233101649362,0.0585746775670439,0,0,0.0744566921903898,0,0.0387426009865278,0,0.119349760682046,0.0231277420809618,0.0567996845731411,0.0656092052977047,0,0,0,0,0,-0.00404922881613142
ADA,0,0,0,0.0300407608443477,0.0862176357159346,0,0,0,0.225756203958256,0.0898713429068412,0.207981428277921,0,0.166491636806242,0,0,0,0,0,0,0
XLM,0,0.096396152144099,0,0.0783815178471798,0.159360937421805,0,0.171430857079097,0,0.0664016624929115,0.0557461742176905,0.131647036332316,0,0,0,0,0,0,0,0,-0.0126298292827918
MIOTA,0,0,0.365040762489413,0,0,0,0.24549445184043,0.328297735039774,0,0,0.103314744423063,0,0,0,0,0,0,0,0,0.0251279104715828
TRX,0,0,0,0.348404981151191,0,0,0,0.413449929733553,-0.0671187761441797,0,0,0,0.350693002062289,0,0,0,0,0,0,0.0611336787435999
NEO,0,0,0,0.0428583172537662,0,0,0.0122765015738492,0.284185933486424,0.199609248082894,0.0148945840597137,0,0.0892386504897479,0.116173305057036,0,0,0,0,0,0,0
DASH,0,0,0.22904094715743,0.0228793060534876,0,0,0,0,0.105301729158622,0,0.162686485341184,0,0,0.15626764764106,0,0,0,0,0,-0.0570252059212177
XMR,0,0,0.387035944587849,0,0,0,0.136560446361226,0.00753199633568382,0.0584193209964976,0.0747687957054597,0,0.0400761234608648,0,0.0536018796182888,0,0,0,0,0,0
XEM,0,0.0454476724491301,0.171209165030106,0.119538274343528,-0.00000000000000000173472347597681,0,0.0709936172184678,0.321390467413979,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.292052757345746,0.0997026477370271,0,0.00316735779469026,0.291329662022622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0612131687879918,0,0,-0.0556233428792466,0.0899080377201504,0.00691998543255622,0,0,0.0290617255829284,0,-0.024616175419486,0,0,0,0,-0.290643346067079
CVIX.INDEX,0,0,0,-0.000000000000000000216840434497101,0.00998161780346019,0.124993000190432,-0.144383753836279,-0.111777032162657,0.0241402451854397,0.0343932632567907,0.0912241283818271,0,0,0.10177213776172,0,0,0,0,0,0.0785201772053354
DXY.INDEX,0,0,0.00309052130090982,0.00356174607547885,0,0,0,0,-0.0125924630892322,0.00820124512924992,0,0,0.013752789444036,0.0118511364447547,0,0,0,0,0,0.0239823942049571
SPX.INDEX,0,0,0.0159726822116661,0,-0.00189583165181285,0,-0.0214841695568524,0.0173572429213241,-0.0121829529258668,0,0,0,0,0,0.00816415959771057,0,0,0,0,-0.0881976860732421
VIX.INDEX,0,0,0.255589569240401,-0.0143400907949844,-0.288848544352748,0,0.116614126740118,-0.20744021488885,0,0,0.254578502308368,0,-0.125758085870295,0,-0.0700415639313274,-1.36390248044199,-0.32831042715515,0,0,0
