,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,TRX,ADA,XLM,XMR,LEO,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0161528233691259,0,0.50076270672487,-0.0894244511980505,0,0,-0.0150936982537001,0,0,0,0.253130977310023,0,0.19123262114399,0,-0.318751302821727,0,0,0,0.0107889193223179
ETH,0.314975276124363,0,0.192198772206268,0.0990199152669187,0.0389702175914279,0,0,0.00830977861944705,0,0.140349811426726,0,0,0,0,0.0641257475016848,0,0,0,0,0
XRP,0.23920770521855,0,0,0,0.134904326067203,0.128534689323824,0,0.0334634402314801,0.147322378753968,0,0,0.120296663544388,0,0,0.0736812481339223,0,0,0,0,0.0118602253667341
BCH,0.438937721510862,0,0,0,0.153350400406112,0.139942589449598,0,0.0372753068094005,0,0,0,0.0741577319732117,0,0,0.0348146061035919,0,0,0,0,0
LTC,0,0,0.0576116004174684,0.0527429624494632,0,0.182686623754346,0,0.0521436639459994,0.186861274679976,0.072662933244222,0,0,0,0,0.022013291190536,0,0,0,0,0
EOS,0,0,0,0.375271993467171,0.294420457362802,0,0,0.00657396605987077,0.136336528840811,0,0,0,0,0.0549750656222939,0.0978872654618397,0,0,0,0,-0.0618508451969232
BNB,0,0,0,0,0,-0.0416797163162621,0,-0.0143660563250309,0,0,0,0.401215898911572,0,0.1233095584391,-0.0296239800806688,0,0,0,0,-0.234339544605394
BSV,0,-0.105423366162105,0,0,0,0.0507837292017929,0,0,0.340927768383564,0,0,0.05555159869548,-0.0196351662577546,0.36188898242784,0,0.149506369504643,-0.53385218457854,0,0,0
TRX,0.000000000000000000867361737988404,0,0.153398177469999,0,0,0.304984831112866,0.0447325167339918,-0.0394835918953432,0,0.0528051666258594,0,0.276761028043468,0,0,0.166413323951487,0,0,0,0,0.147915359792118
ADA,0,0.130745412081958,0,0,0.189227859969384,0.0198441013563207,0,0,0.123682071165509,0,0.0496705890131862,0.129435478500541,0,0,0.187734062508121,0,0,0,0,0
XLM,-0.00000000000000000693889390390723,0,0.297254891609739,0.171845661756399,0,0,0,0,0,0.383920881895761,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.156571648884247,0.20517062027165,0.0494408037103971,0.233980704083204,0.156256836849165,0,0,0,0.0947779847330922,0,0,0,0,0,0
LEO,0,0,0,0.0895780558807059,0,-0.168395104118511,0,0.0848343613494411,-0.233610451385708,0,0,0.209271590555858,0,0,0.277907935851097,0,0,0,0,0
DASH,0.152718047385602,0,0,0.0895555603105879,0,0,0.122371839307705,0.00113049550592045,0,0.0129596565491017,0.121442820158623,0.150543821075827,0,0,0.198508432674052,0,0,0,0,0
NEO,0,0,0.0347258416448607,0,0.0923680938448278,0.104406383811156,0.0654802564911649,0,0,0.511921267680854,0,0,0,0.136929036292289,0,0,0,0,0,0
BV010082.INDEX,-0.092274362763148,-0.255105655829177,0.215502979168034,-0.204443852059109,0,0.187933784691914,0.145172238771436,0.0631704354190204,-0.280895624585708,0.116379141321727,0,-0.257428926368411,-0.205648621097785,0.480243374343865,0,0,0,0,0,-0.233386621059463
CVIX.INDEX,0,0,0.0824850472697728,0,0.0118063412939308,0,0,-0.00899857533184353,0.0324001249323006,-0.0472022541990272,0,0,0.11194259934328,0.154921679369229,-0.260236947459747,0,0,0,0,0.18518807712218
DXY.INDEX,0.000000000000000000867361737988404,0,0.0123501733926919,0,0,0,-0.000685846735154792,0.00226916027500639,0,0,0,0,-0.0201293068391751,0.0114289631365254,-0.0199955411199636,0.0489977898658757,0,0,0,-0.00540868179657542
SPX.INDEX,0,-0.00318472056428832,0,0,0,0.0154328128191449,-0.0110345521053606,-0.00171208890007447,0,-0.0299699253485044,0,0,0.0201555881259184,0,0,0.0147360310110538,0,0,0,-0.067324253869721
VIX.INDEX,0,-0.257114570474287,0.794163963168477,0,-0.531288834724157,0,-0.26124881565256,0.0548213042818981,0.144212837199669,0,-0.298495177424946,0,0,0,0.0305017074125468,-0.0381121584276788,0.76189977732434,0,-2.72247571604311,0
