,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0970650878651335,0,-0.0725120126939769,0,0,0.0978121950573379,0.0909432024798471,0.114820576442359,-0.0108504093088451,0,0,0.261737935088259,-0.042728002317907,0,0,0,0,0,0
ETH,0,0,0,0,0.0195218845409271,0.285148318587234,0,0.119959288440082,0,-0.0258527739774905,0,0.0927308329733562,0,0.0104325517632516,0.268272407782588,0,0,0,0,0
XRP,-0.323421424030518,0,0,0.0613716537855188,-0.105848209113006,0,0.397790028444104,0,0.341265101817946,0.183092320005884,-0.0876825643451182,0.173875488197068,0,0.121591248031136,0,0,0,0,0,0
BCH,0,0,-0.0192289079542529,0,0,0.21083080343576,0,0.231471954840005,0.107196515026981,0,0,0.164881252573566,0.116094209867824,0,0.115955910209473,0,0,0,0,0
ADA,0,0,0.132944587022959,0,0,0,0.0912448157498645,0.0934178582652027,0.00283306481417589,0.147655717389512,0,0,0,0.0258256366783963,0,0,0,0,0,0
LTC,0.148290883912229,0.0859580031155758,0,0,-0.00242737760143643,0,0,0,0,0,0.132261407432423,0,0,0.0458980516528609,0.146092680292335,0,0,0,0,0
XLM,0,0,0.232461905135301,0,0.238626409962321,0,0,0.203740754535995,0,0.00755223847613705,0.116425463860324,0,0,-0.0520079487635365,0.0729754370772036,0,0,0,0,0
NEO,0,0,0,0,0.0826845970119074,0.106179159208908,-0.000000000000000000867361737988404,0,0,0.00806878902238184,0,0,0,0,0.450828859734215,0,0,0,0,0
EOS,0,0,0,0.159675628776395,0,0,0.107763919903573,0,0,0.0863827345991613,0.190074227554217,0,0,0.179679050163134,0.104370461004668,0,0,0,0,0
XEM,0,0,0.274190438612789,0.178942224685474,0.0408818885699913,0,0,0,0.0634611247146799,0,0.0710299962681004,0,0,0,0.0361726373943993,0,0,0,0,0
MIOTA,0,0,-0.0480683356084573,0,-0.0379223744743021,0.162032783912059,0.0478565796002938,0,0,0.199032382304383,0,0,0,-0.0377072978204682,0.392770082983331,0,0,0,0,0
DASH,0,0.0143540625951796,0.0362939228684322,0.119992730286411,0.0376188883579183,0.241744458869965,0,0,0.0123007111874019,-0.0208589911678392,0.00535229894388334,0,0.106450343781958,0,0.253232521514855,0,0,0,0,0
XMR,0.046378017820812,0,0,0.213897342311508,0,0,0.0713416938474066,0.0641843589703296,0,0,0,0,0,0.0720326077474478,0.18223694918337,0,0,0,0,0
TRX,0.806646714958343,0,0.187253237271846,0,0,0,0,-0.108804853067432,0.201773892928772,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.0679957858692111,0.122607703213837,0.128392861533225,0,0,0,0.105504023938847,0.0471316691145211,0.0348089875171195,0.163034481561577,0.179052779708875,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0101691850490877,0,-0.0283127412208164,0,0,0,0.0107780305490861,0,0.00863557207496763,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0.0382848397567317,0,0,0,0,0.0171904810562672,0,-0.000291233499795478,0,-0.0106395533344746,-0.0478034280866949,0,0,0,0,0
DXY.INDEX,0,0,0.0017699041110642,0.00626905345926378,0,0.00588627051116179,-0.004129420452542,0,-0.00436448246308258,-0.00537581888822788,0.0093688769217236,0,0,0.00490460497728673,-0.0221891917349763,0,0,0,0,-0.0277684117603833
SPX.INDEX,-0.00553846890245816,0,0.00213462142709504,0.0018872421149391,-0.00000000000000000010842021724855,0,-0.00554632753218124,0.013615528480977,0.00472548354510676,0,-0.0117484545590396,0,0,0.00344733740264329,0,0,0,0,0,-0.0726592795053654
VIX.INDEX,-0.0317147861685625,-0.202997944371751,0.0645115968742864,0.173003233396166,-0.0171695692707962,-0.0968568493934936,-0.0902844544884558,0,-0.157007453685396,-0.0684779272263553,0.222617142692369,0,0.0698810838710479,-0.0188436825808419,0,0,0.304065746824746,0,0,0
