,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.19142327635882,-0.00000000000000000010842021724855,0,-0.00000000000000000010842021724855,0,0.152573201162494,0.0872143158308998,0.0157679453090357,0.0502716020311407,0,0.0736977363251206,0,0,0,0,0,0.0122419054714908
ETH,0,0,0.0988120234841609,0.237407043172976,0.288239418909004,0,0.0712234232313495,0,0.0264281641930996,0,0,0.0538926887114872,0,0.0157997549904195,0,0,0,0,0,0
XRP,0,0,0,0.0822503406538315,0.099470018532871,0,0,0.111554649458324,0.0770555136220353,0.137758667084634,0,0.0509333585496599,0,0,0.09146068897238,0,0,0,0,0
BCH,0,0.355914776901997,0.0820860653598847,0,0.159923303308851,0.04373002208099,0,0.161050525979916,0,0.034135592132451,0,0,0.0125615536996639,0.0824334266069645,0.0238996517855312,0,0,0,0,0
LTC,0,0.148002501710739,0,0.273662868114828,0,0,0.0764378916776822,0,0.177659141250118,0.0618980956273195,0,0.0780172245106418,0,0,0,0,0,0,0,0
EOS,0,0,0.243176417737298,0,0,0,0,-0.0860033724532673,0,0,0.105797343862737,0,0.0820822995292167,0,0.253356731257922,0,0,0,0,0
ADA,0,0.395202570137855,0,0,0,0.10535048531609,0,0.0548737666340296,0.136151470993913,0.261137848895242,0.0954992150725836,0.142309252331313,0,-0.041758903351455,0.00912930067555484,0,0,0,0,-0.0422430257598889
XLM,0,0,0,0.144861019253343,0,0,0.174779134001478,0,0.244780301837334,0.0223839871441045,0,0.2025782219839,0.155153309922997,0.0375241781646457,0,0,0,0,0,-0.0124150576046522
MIOTA,0,0,0.245001156385539,0,0,0.0106573277681077,0.103444348496521,0.00472087230998356,0,0.293305485092709,0,0.053118622824406,0.112590827869122,0.0906014015209757,0,0,0,0,0,0
NEO,0,0.305803580564105,0,0,0,0,0.0552297908861045,0.0862802473428419,0.0634173379684524,0,0.139477847518501,0,0,0.0344188026735715,0.201333723871756,0,0,0,0,0
XMR,0.579228256992772,0.0517763120769118,0,0.00000000000000000010842021724855,0.166270048822131,0,0,0.168803714295312,0.0775609521441667,0.035737821058083,0,-0.0768278146330833,0.00000000000000000693889390390723,0,0,0,0,0,0,0.0796914372976029
XEM,0,0.336896010323838,-0.0388652327570498,0,0,-0.111925982777571,0.296175450917485,0.142663840775359,-0.182539642193448,0.386259548188264,0,0,0,0.220170948414215,0,0,0,0,0,-0.0174174742237006
DASH,0.168948240052781,0.0727020404255505,0,0.0427721437769376,0,0,0.0812381206172292,0,0.106840549651876,0.162531304797294,0,0.0626268747169258,0,0.0720788976495354,0,0,0,0,0,0.0581134029969021
TRX,0,0,0,0.370783178495045,0,0,-0.0643713575237855,-0.340804450775384,0.291015789204475,0,0,0.0239621355217407,0.631947389162501,0,0,0,0,0,0,0.0149457900959953
ETC,0,0,0.468125931859494,0.0931309571357907,0,0.119429332713276,0.0403527407660037,0.0599475576814313,0.0519759315172754,0.0787491192637832,-0.10529711134495,0.0827308748436795,0,0.110508369507469,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00970469098788633,0,0.033941919242387,0,0,0,0,0.0811184314371344,-0.0306502514275323,-0.0164360314158303,0,0,0,0,-0.0705756468238148
CVIX.INDEX,0,-0.0802745972591276,0,-0.0865061901778307,0,-0.0818834360917263,0.103271188332583,0.152353851272669,0,-0.0576358713269467,-0.0959800490264759,-0.252864562977382,0.277009328458391,0.054186032361847,0,0,0,0,0,-0.0114459020809465
DXY.INDEX,0,0,0.00862769648050296,-0.0124954300324921,0,-0.00363828233778605,0,-0.031305619467874,0.00540032263584591,0,0,-0.000000000000000000433680868994202,0.0410991152468503,-0.0126912562884901,0.00725124408760708,0,0,0,0,0
SPX.INDEX,0,-0.0300876536066663,0,0,0.0258541624478908,0.0175882895652513,0,-0.0278420557514028,0,0,0,0,0,-0.0269428495534326,0.0199921018463118,0,0,0,0,-0.104430232759737
VIX.INDEX,0,-0.152410047564247,0,0,-0.0214293177797138,0.0282549156615262,0,-0.206794637204852,-0.100644391284903,0.117555977731612,0,0.00598894664443855,0.218795706734624,0.145277349754789,0,0,0,0,-4.23950627999332,0
