,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0193405629354152,-0.0386327628775855,0.058555743095889,0.0922008684694599,0.145325264095562,0,0,0,0.0380215169698826,0,0,-0.177458124448364,0,0,0
ETH,0,0,0,0,0.119074888832707,0,0,0.0583761798639418,0,0.0333065707176922,0,0.00384215021257275,0.0510049888035916,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.407212266447719,0,0,-0.0529732289567582,0,0,0,0,0,0
XEM,0,0,-0.0815147824231578,0,-0.307313801822391,0.107829293557091,0,0.0447020589803564,0.0548591125754892,0,0.2196380041492,-0.00793001986785372,0.258599858633699,0,0,0,0,0
ETC,0,0.209570335755571,-0.0338874641161385,0.0884696360656947,0,0.179278768208129,0.114031828524964,0,0,0,0.0973211180981399,-0.0329972276919385,0.0110200188769779,0,0,0,0,0.0433575983011541
LTC,0.505470562159035,-0.0261935359251626,0,0.142917487225665,0,0,0.153402710969868,0.175042510191487,0,0.122889145214026,-0.0958228222450117,0,0.231297375632901,0,0,0,0,0.0441479861022187
DASH,0,0.162175563901648,-0.0403920686117147,0.173813643249606,0,0,0,0.287942179543232,0,-0.0402264637554188,0.419012468172212,0.0635728581428379,0.0297694410916451,0,0,0,0,0
XMR,0,0,0.00161597664485686,0.213916813804258,-0.182165870252349,0,0.400651162175447,0,0.0822973992129172,0,0.0862706629397605,0,-0.114172327043891,0,0,0,0,0
XLM,0,0.142613670940811,0.329868161138824,0,0.230739796347983,0,0.138225357168499,0.270479644176885,0,0.162846784253963,-0.210263906313769,0.152262415682391,0,0,0,0,0,0.00195786272160515
DOGE,0,0,0,0.028896259768599,0.0375464831800124,0.265525292151165,0,0,0.253321519564355,0,0.257378413229516,0.0150374123981905,0.11642714364726,0,0,0,0,0.37517363849217
ZEC,0,0.0618382723658812,0,0.0341803081667246,0.0588905932423446,-0.00364952276797752,0.259924412493331,0,-0.0434349783798334,0.179533936074399,0,0.0475641468555072,0,0,0,0,0,0
DGB,0,0,0.0111635333688645,-0.214952628393768,-0.236878646119036,0,-0.147138665531129,0.616033425796492,0,0.21506637092631,-0.182746994428263,0,0.311557242474216,0,0,0,0,0
NEO,0.470808534416934,0.342191210779641,0,0.0469582812860946,0,0.278954376283029,0.247003364450663,0.260537304053596,-0.0414192941438509,-0.0376444282590622,0.19545955652279,0.149750904726695,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0310755539276404,-0.0160523557049337,0,0.0174816372831086,0,0,0.00923647188655239,0.0114894673637328,0,0,0,0,-0.0413620383658124
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0237138241083731,0,0,0,0,0,0
DXY.INDEX,0,0,0.0016188602380961,-0.0146407452758471,0.0201438493327894,0,0,0,0.00646516370501876,-0.0060029508878778,0,-0.00269995390959872,-0.00567284209624199,0,-0.00480404876186074,0,0,0.0119836391890131
SPX.INDEX,0,0,0,-0.00275899842944106,0,0,0,0,0.00328928559061992,0,-0.00282132406171486,0.00170225435663215,0,0,0,0,0,-0.0377898937518423
VIX.INDEX,-0.262414258024238,0,0.0492143533267503,0,0.0484565945703041,0,0.0815409098794601,-0.110678307411132,0.0611954528028127,0,0.0994443560369442,-0.15364509912645,0,-0.0988375119952288,0,0,0,0
