,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0646134664310004,0,0,0.226031301143859,0,0,0.163876617708034,0,0,0,0.0697606063094036,0,0,0,0,0
ETH,0,0,0.215015642757808,0,0.131378106444317,0,0.0248842014850817,0.0921416936342194,0.144802667976916,0.168454781415934,0.0628139231901988,0,0,0,0.00396095253538611,0,0,0,0,0
XRP,-0.199175311557595,0.488395127650997,0,0,0,0,0.00926636625703081,0,0.25402707258351,0.0837504857493123,0,-0.011837237672551,0,-0.00854200121760975,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0807691624515935,0.0000000000000000138777878078145,0.453750924340437,0,0.26096494290921,0,0,0.0419835485071605,0.0226304213771468,0,0.165630310455859,0,0,0
LTC,0.140710625585689,0,0.236319139722813,0,0,0,0,0.146421651089139,0.00945542123599434,0,0.567451078049269,-0.0397550363159673,0,-0.00809044222018955,0,0,0,0,0,0
DASH,0,0,0.0254977147964328,0,0.223741460174249,0,0,0.117038544367531,0.137246475697541,0.117260458545442,0.000000000000000000433680868994202,0,0,0,0.0483416794490007,0,0,0,0,0
NEO,0,0.425689954221452,0,0.0636856976347768,0.0507113469346577,0,0,0,0.339485524145269,0,0,0,0,0.175617618831724,0.168308443140226,0,0,0,0,-0.292527437849246
XEM,0,0,0,0.123049692937781,0.161524326315638,0,0.0677814312038577,0,0.118064306527839,0.145146934772956,0,0,0,0.05480778435597,0,0,0,0,0,0
XMR,0,0,0.0427926554012966,0,0.153639981026748,0.195477054746099,0.0781411330683235,0.280618168821359,0,0,0,0,0.101113115148593,0,0.0281463999346885,0,0,0,0,0
MIOTA,0,0.405698885060558,0,0,-0.133304990366607,0,-0.171780122627027,0.210808283232856,0,0,0.122870963732571,0,0.123610862997292,0,0.376490260960682,0,0,0,0,0.189558868919162
ETC,0,0.28797037033965,0,0.00000000000000000173472347597681,0.571541517648136,0,0,0.0246064497461054,0,0.102708828077155,0,0,0,0.0520559796101916,0,0,0,0,0,0
ADA,0.355811904402147,-0.196918945468593,0,0.0842298041559746,0,0,0.0414050410874657,0,0,0.188812720770288,0,0,0,-0.194428617895868,0.135573662440267,0,0.742132100620537,0,0,0
ZEC,0,0,0,0.0139243352512058,0,0.156603961889935,0,0.156171511207745,0,0.202909352715003,0.0403983257038099,0,0,0.0514567402593501,0.2014017776286,0,0,0,0,0
XLM,0,0,0.181297130864739,0.0373893643929486,0,0,0.179810021133997,0,0,0.817784054001446,0,-0.138620389016827,0,0,-0.0612918386520416,0,0,0,0,0
EOS,0,0,0,0.000000000000000000867361737988404,0.197137652209359,0,0.226953200085928,0,0,0.212557890409186,0,-0.0109855997765726,0.471698362403891,0.0452147771371061,0,0,0,0,0,0
BV010082.INDEX,0,0.0449299438160899,0,-0.0399024333204987,-0.0132412721528023,-0.0570513527587456,0.0303261617261666,0,-0.0745334610804158,0.00320900439409337,0.029352371771371,-0.0079287751581339,0,0.00608724607893272,0.0459079757184615,0,0,0,0,-0.0675982841676924
CVIX.INDEX,0,0,0.0386533682849015,0.0876494522841536,-0.0106870258168053,-0.133918755469267,-0.0218057011977323,0.135259135948532,0,0,-0.0895088469232884,0.00463134520871393,-0.015153231248785,0.00541342003844066,-0.022979746758458,0,0,0,0,0.0805965615979163
DXY.INDEX,0,0,0,0.00885647497717858,0,-0.0363547587623046,0.00612051549786817,0,0,0.00698097398016223,0.0000000000000000000542101086242752,-0.0068181430503212,0.00914391665971106,0.00128101916032951,0,0.0351940268146443,0,0,0,-0.0113515719385382
SPX.INDEX,0,0,0,0,0,-0.000021190102815902,0.00143345571491445,0,0,0.00430181370861935,0,-0.00242968208948161,-0.00975455473037447,0.000663636600473767,0,0,0,0,0,-0.0364051922946352
VIX.INDEX,0,0,0,-0.0115508400774569,0,0,0.000803158655736567,-0.0513950295142957,0,0.184819419272435,-0.135095324324772,0.056632349941655,0.220789719206234,0.0414865438111279,-0.117320205098044,0,0.209993139365787,0,0,0
