,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0584119550926794,0,0.122872442637269,0.0361538610309184,0.0706620542976792,0,0.00582759559781364,0,0,-0.00000000000000000346944695195361,0.24766860747337,0,0,-0.0127594821417244,0,0,0,0,0.0493903129061891
ETH,0.322539916235051,0,0.310140421237004,0.033210721739719,0,0,0,0.0283314106545154,0,0.0229569536365186,0,0.141686722464099,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.269499540018304,0.00071191986224611,0,0.00972603431009399,0,0,0.126438707666786,0.182857772354115,0,0.196889733055374,0,0,0,0,0,0
BCH,0.371938544385341,0,0,0,0.163991046115705,0.193943767165278,0,0.0773748618242203,0,0.097295110690783,0,0,0,-0.0294406529760454,0.0046405111172704,0,-0.0388083958089514,0,0,0
EOS,0.0233956494153853,0.325507659553095,0,0.188867353983529,0,0.144812237809171,0,0.00721175321286989,0,0,0.128279366051114,0,0,0,0,0,0,0,0,0
LTC,0.129066345219919,0,0,0.169252078399599,0.236928472091466,0,0.0212673791633526,0.034397702414982,0,0.219147233884659,0,0.174816837178002,0,-0.00184216587305394,0,0,0,0,0,0
BNB,-0.346144109611988,0,0,0,-0.0181639148975317,0,0,0.114635989999361,0,0.0876049695858945,-0.164564085656446,0.451545229145667,0.284723243025242,0,0.0159902421626432,0,0,0,0,0
BSV,0,0,-0.189752379072322,0,0,0.13635063378259,0,0,-0.545787165198542,0.251766274665329,0.256499899277136,-0.00704944830392832,0.545726530602702,0.346350510326588,0.0441331692053284,0,-0.280229028758807,0,0,0.0255608581418895
XLM,0,0.0977385389543433,0.415168963996773,0.058626303186959,0.0122819735969416,0,0,0.00841782762585112,0,0.146395026852779,0.000000000000000000867361737988404,0,0.100320784391336,0,0.0287280961479034,0,0,0,0,0
ADA,0,0.0677227473185157,0.109389717362747,0.279612767387691,0,0.246225766904442,0,0,0.0903833391575942,0,0.0904231586243703,0,0,0.0544294004588147,0.00112081851706253,0,0,0,0,-0.00586242165132594
TRX,0,0,0.492322345615294,0,0.0551804596610877,0.0589901861902076,0.151601272225392,0,0,0.0803898599984021,0,0.0933223920275196,0,0,0,0,0,0,0,0
XMR,0.455096818097629,0.0155105027580615,0.0678709834171444,0,0,0,0.074475120532576,0.0124044928096621,0,0,0.304974630654576,0,0,0.0921199744941964,0,0,0,0,0,0
DASH,0,0.0488969528251729,0,0.110691800838075,0,0,0,0.0151984159988001,0.2953556297699,0,0,0.0192237189083581,0,0.164356213903678,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.206588182477612,0.0658118027703193,0,0.28192292557829,0,0.269246642507382,0,0,0,0,0,0,0,0
ATOM,-0.330837214510759,-0.0775113298699116,0,0,0,-0.12684989266206,0.249761195599926,0.130748768078693,1.04649585008671,-0.153012417925539,-0.00000000000000000010842021724855,0.359115539854344,0.359112329955274,-0.62061155231924,0,0,0,0,0,0.0552629833751696
BV010082.INDEX,0.0580422618054226,-0.0614211486789379,0.00678656253115308,0,0,-0.178152903451658,0.0692290511509342,0.0133336136513426,-0.0751084319261714,0,0.234478708381831,0,0,0,0,0,-0.00969844218065958,0,0,-0.143011382795416
CVIX.INDEX,0,0,0,0,0.00000000000000000010842021724855,0,0,-0.00917547496819575,0,0,0,-0.243531487791572,0,0,0.0674141215448632,0,0,0,0,0.18219172797525
DXY.INDEX,0,0.0228626876463386,0,0,0.0187911769880458,-0.010562143837288,0,0.00128123781250352,0,0,0,-0.00823764699789908,-0.0267797175461538,0.00515149602438453,0.00696566557053425,0,-0.00347721404255235,0,0,0.00142578347174955
SPX.INDEX,0,0,-0.0210369971481551,0,0,0,0,-0.00465609779263897,-0.00629770564633832,-0.0117854874983511,0.017449019639778,0,0,0,-0.0140383301236783,0,0,0,0,-0.0633265322191151
VIX.INDEX,0,0,0.033449121306215,0.00000000000000000346944695195361,-0.126435534599028,0,0,0.095914022235262,-0.842245611146951,-0.133694950324804,0.722981340625619,-0.236788131508778,0.515483974521675,0,0,-0.715895558981645,0.281846762621266,0,-2.43500534247319,0
