,BTC,LTC,XRP,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.092301640122997,0.0510141057183123,0.0212231879570118,0.0235508443594268,-0.00953081339630243,0.0490732314125291,0.0389302789696196,0.0614476060258486,0,0.0838592044582428,0,0,0
LTC,2.11424144186269,0,-0.0000000000000000277555756156289,0.0458754684993136,0.371396585255258,-0.266915236583576,-0.0176708158165892,0.160054109796826,-0.108856709997702,0.269424318470988,0,-0.379878655227583,0,0.161054154372385
XRP,0,-0.0823398284779113,0,0.150486942693552,0,0.624397160534843,0.0268297169820394,0,0.137074221079275,0,0.331244596801817,0,0,-0.0441131069848375
DOGE,0.670069399756605,0,-0.132893094686421,0,-0.206997353143869,0.548140583781091,0.152978801779143,0,0.349983685317649,0,-0.0950547313434712,0.175082695126167,0,-0.144242254953024
DASH,0.188155850736603,0.133320362303617,0.210060710445301,-0.0975755537225108,0,0,0.0219662326461172,-0.0218288720004132,0.026542423678983,0,0.104132501805406,0,0,0
XLM,1.78944420139842,0.0483285343340109,0.580208860988152,0.0929322706599333,-0.561447758381301,0,-0.0792392269684791,0.165720104691028,-0.106588839769342,-0.419652930791603,0.0794864689805723,0.751900193437797,0,-0.226597873850753
XMR,0,0.150246849929617,0.111193186613374,0,0,0,0,0.0895815510715466,-0.160916594715068,0,0,0,0,-0.150170311922896
XEM,0,0,0,0.816328570121248,0.292602191186342,0.103296111434963,0,0,0,0,0,0,0,-0.306627443437114
DGB,0,0.0445882249781311,0.319779509977975,0.0823051162418469,-0.255068995159961,0.177649817460599,0.5320212209445,0.125250975887568,0,0.540987556253844,0.274810563841933,0,0,0.0883994906972511
BV010082.INDEX,-0.552650262954152,0.0586330963576077,0.0315637622317765,0,0.0758557141444234,0.00892207190660128,-0.00000000000000000173472347597681,-0.0170236638168439,0.12109397141387,0,0.0787035052457158,0.9007876736783,0,-0.0254625260062708
CVIX.INDEX,0,0.0102841630607561,-0.0773857864189783,0.00895056773283211,-0.0898929338969353,0.122352667440685,-0.139390632689457,-0.0776303076037784,-0.151828313424877,0.808598110030014,0,0,0,0.112213074437573
DXY.INDEX,0,0.00740104879949952,-0.00529579429753445,0.019210842494491,-0.0339073592696151,0.0371720272905697,0.0347560872546168,-0.00390960574588728,-0.0269897050425557,0.22844447346322,0.0765400933998673,0,0,0
SPX.INDEX,0,-0.00467230786024629,0.00845183731757505,0.019994150474139,0.00415208055045085,0,0,-0.00424516341497105,0.00401688424883172,-0.0299640204379554,0,0,0,-0.0735603606139134
VIX.INDEX,0,-0.0292828998616353,0.0621165089766236,0.139913718592834,-0.367168183364854,0,-0.25554651346125,0,0.53465698399326,0,0.255344762450641,0,-4.96511807914208,0
