,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0696497694540414,0,0,0,0.012580944738341,0.0820005636520127,0.12240418796237,0.0451569825830499,0,0,0,0.11463153856476,0.0703519832144239,0,0,0,0,0.00728085634559036
ETH,0,0,0.298660931727174,0.0853093961415556,0.0142294284275372,0,0.0508864247558213,0,0.10956747678794,0.0859386881580175,0.0279504382037188,0,0,0.103766412497223,0.146373638391668,0,0,0,0,0
XRP,0,0.378944942313267,0,0,0,0,0.147903836625164,0.0899667659040588,0,0,0.125463119228148,0.166983034970809,0.0203407145003556,0.00334551398492075,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.207222776046587,0,0.201854446729681,0,0,0,0,0.242337945640743,0,0,0,0,0,0
EOS,0,-0.448362910058691,0,0.227220909139148,0,0,0.0795453084857167,0,-0.0291179021001593,0.00582461323263851,0.573363240008557,0.0768540743758271,0,-0.121767581799253,0.446706737348157,0,0,0,0,0
LTC,0,0,0.170606312989402,0.0483581316540793,0,0,0.0860061353203922,0,0.055127233787363,0.0227482282378141,0.125245286452264,0.0988786040815335,0.0139289024882147,0.0714551898015831,0,0,0,0,0,0
ADA,0,0,0.158929975319618,0.0978051019927858,0.0689085755946505,0,0,0.0783907824146315,0.113586238615465,0,0.197292859515851,0.160187593124327,0,0,0,0,0,0,0,0.139006812855693
XLM,0,0,0.212897576306139,0,0.0179202721283643,0,0.23100600697337,0,0.0333048933527245,0,0.0549659267296452,0.0572376234598552,0.212065820158242,0,0.138782047797999,0,0,0,0,0
MIOTA,0,0,0.401523385183413,0.0269898916678339,0,0,0.0396066886819227,0.197201153876866,0,0,0.187549810118006,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.315760486322569,0,0,0,0.281463328440684,-0.0632331369694022,0,0,0.239244310345306,0.0713324757010416,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0330029126786215,0.0534898429495313,0.009879132814161,0.271740289613022,0.194586305310741,0.0412010075331211,0,0.105629910906287,0.105266042350035,0,0,0,0,0,0,0
XMR,0,0,0.356299086061716,0,0,0,0.133366249369754,0,-0.00000000000000000693889390390723,0.0203834143075502,0,0,0.231451984095379,0,0.0398933071058766,0,0,0,0,0
DASH,0,0,0,0.209201216520568,0,0,0,0.195186030929176,0.0692625788726584,0.0633322120726084,0.0846934679493538,0.218137780534897,0,0,0,0,0,0,0,0
XEM,0,0,0.182919610257763,0.0589075813630138,0,0,0.0180237273252373,0.366464439759052,0,0.126245498443811,0.0519621010006157,0,0,0,0,0,0,0,0,0
BNB,0,0.296116339555658,0.125916644495503,0,0.0739313862999208,0.130829361434453,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114456194922077
BV010082.INDEX,0.0614108620123757,0,0,0,-0.0166182898437102,-0.0890719349635107,0,0,0,-0.000411383267066745,0,0,0.0649849817547322,0,-0.00845333277651807,0,0,0,0,-0.0910826806756791
CVIX.INDEX,0.107755150549972,-0.0281621019769394,0,0.11725885841726,-0.00341897912900077,0,-0.0836813462647295,-0.0910543370775173,0.0522467515999878,-0.00562172283054709,0.131074713957212,0,-0.254014278489177,0.0396997446448771,0,0.352404898906154,0,0,0,0.02644391615277
DXY.INDEX,0,-0.0195741699968542,0.03300964691754,0,-0.00326790941382026,0,0.00627269913002446,-0.0298613703406826,-0.00893295384542062,0.00765128972173227,0,0.0059947708234051,0,0.0186363386431913,-0.00221812798674811,-0.0529761743298696,0.0729375087096889,0,0,-0.00587886596224151
SPX.INDEX,0,0,0,0,0,0,-0.00590607262494529,0,-0.00858572169486504,0,0,0,0,0,0,0,0,0,0,-0.12524822161366
VIX.INDEX,0.568276553280843,0,0,0,-0.150984041926591,0,0,-0.093706652906839,-0.0207101385185434,0.0977220773203599,0,0,0,0,-0.023485912675879,-1.11119760975848,0,0,0,0
