,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,LEO,XMR,DASH,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.151654789578386,0.0787630695448342,0.00000000000000000346944695195361,-0.00399559040482004,-0.0934567973022413,0,-0.04981269564833,0.113299675697622,0.456080986604154,0.130747184477233,-0.0245917160070494,0,0,0,0,0.0615616374508579
ETH,0.235752961548394,0,0.151716653124904,0.0494308783789787,0.125722005614334,0,0,0.0178534331664302,0,0.141059767334181,0,0,0.157768110221675,0,0,0,0,0,0,0
XRP,0.217174865812534,0,0,0.0691328154649669,0,0.191975502820832,0,0.0274974336735741,0.0243399649120226,0.0189758243931168,0.16253045837688,0,0.152946020489384,0,0,0,0,0,0,0.0197469463802308
LTC,0,0,0,0,0.0971934268406801,0.129996174814637,0,0.00626233721809309,0,0.135514276344047,0.0612175841420031,0,0.289181336948272,0,0,0,0,0,0,0.0358995963883406
BCH,0.613625754569352,0,0,0.198748880973306,0,-0.000000000000000000433680868994202,0,0.0127031585013789,0,0.0940498878637968,0,0,0.00722073092755602,0,0,0,0,0,0,0
EOS,0,0.2914924161069,0,0.111402038343738,0.449068238478303,0,0,-0.00873942720903074,0.0116354702164631,0,0,0.089889019309013,0,0,0,0.24391745933417,0,0,0,0
BNB,-0.575103292751513,0,0,0,0.338046821252392,0,0,0,0.223619915426826,0.0360716775121143,0.00331053403453794,0,0.0447857962186117,0.254864281304075,0.0529660389574625,0,0,0,0,-0.0766346053505641
BSV,0.613821466484707,-0.174189329828137,-0.10772741616638,0,0.00000000000000000346944695195361,0,0,0,0,0,0.185855668059837,0,0,0.357496109739898,-0.0385087334813213,0.238906124230027,-0.40181759508855,0,0,0.149680320414152
XLM,0,0,0.433195149854936,0,0.04170202728049,0,0,0,0,0.231128396930368,0,0,0,0.00699233467656336,0.03749385585528,0,0,0,0,0
ADA,0,0.140377811231539,0.187913200912304,0.224613844476659,0.144755822247485,-0.000000000000000000867361737988404,0,0,0.0662429481670473,0,0.152650548355956,0,0,0.0287746726735516,0.0113920153859379,0,0,0,0,-0.0200145043112224
TRX,0,0,0.0064741422169428,0,0,0.27230265442424,0,-0.0165237317138596,0,0.369340844096767,0,0,0.221207025332219,0,0,0,0,0,0,0.198494479740687
LEO,0.0275269486014524,0.170322992420328,0.170337555889815,0,0.00380828874439539,0,0.113969819227039,0.0283933261219334,0,0,-0.291164602613982,0,0,0,-0.118127197098629,0,0,0,0,0
XMR,0.254246215701879,0,0,0.0838034166998114,0,0,0.095050508617736,0.0110052537949431,0,0.335978470672338,0,0,0,0.018702353778824,0.0204738813926172,0,0,0,0,0
DASH,0.0582911958507667,0.136042625952818,0,0,0.11156767487464,0.0964534332424286,0.0551659201505085,0,0.11014149621825,0.115038174575432,0,-0.0606790425083837,0.112327907824436,0,0.104066658635736,0,0,0,0,0.0681150398358916
ATOM,0,0,0.115146932749053,0,0.100523737533532,0.0228283000548047,0.376084445680594,0.0673015629705354,0.639083688835692,-0.225854632582163,0,0.0865858370750082,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0288375732330998,-0.123590185041601,-0.0959230201936912,0.171213110473009,0.131215714624379,0.048159199175197,0,0,-0.185202583252326,0,0,0.224718402772967,0.0729332009593769,0,0,0,0,-0.133136705327739
CVIX.INDEX,0,0,0.254579981375897,0,-0.0561046061386453,-0.0318767648346459,0.0334180049419581,-0.00975555363303965,0,-0.282256592825664,0.100698013830511,0,-0.0600784428736774,0.100071046690385,-0.00751608468083009,0,0,0,0,0.0611532886816259
DXY.INDEX,0,0,0.00364426824687681,0,-0.00605758866299589,0,0,0.000452552825471788,0,0,0,-0.012103957769135,0,0,0,0.0563471944437897,0,0,0,0.0130733754082509
SPX.INDEX,0,0,-0.0117058716987657,0,0,0,0,-0.00285917007930338,0,-0.00230181434473633,-0.0225475266946334,0.00915713397539342,0,0,-0.00710357580467172,0,0,0,0,-0.0611780800634988
VIX.INDEX,0,0,0.631641294265256,0,-0.503103198394121,0,0,0.0444091967786954,-0.769347902574545,0,0.00678583205321118,-0.139506873247306,-0.228443813535247,0.754972012177848,0,-0.536971306703925,0.210353450495771,0,-3.2294191740827,0
