,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0363425789156979,0,0.32573546212098,0,0.0149404141014082,0,0,0,0.0985463165572838,0.0809897428634324,0.0476145949351726,0,0.0361033149661276,0,0,0,0,0,0
ETH,0,0,0,0,0.138327020069936,0,0.181448774621714,0,0.100785537701875,0.0274818137127229,0.104460060176714,0.0758020465831108,0,0.109138764682018,0.043121286776721,0,0,0,0,0.012417929415123
XRP,0,0,0,0,0.150715881446835,0,0.157296241621307,0,0.227894137682359,0.0501626359332462,0,0.0963744892875402,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.19788906824078,0,0,0.0718039688078778,0.0178868765464863,0.275869748376716,0.189288411210176,0.0461541329327718,0,0.0487872939112884,0,0,0,0,0,0
EOS,0,0,0,0.255183381740113,0,0.224375937910078,0.409783124965447,0,0.0694331712651278,0.19047781179557,0,0,0,0,0.219450199384893,0,0,0,0,0.0565771412628382
XLM,0,0,0,0,0,0,0,0.270252608141194,0.0586904320149212,0.156781461585436,0.252070202145437,0,0.140257509000262,0.180851505703226,0,0,0,0,0,0
LTC,0,0,0.209631889632651,0.302891641435585,0.0260916837910108,0,0,0,0.117202336306903,0,0,0.134713644892051,0.161551032856159,0,0,0,0,0,0,0.00380699777462959
ADA,0,0,0,0.0506192549166476,0,0.347923487799308,0,0,0,0.168765827111337,0,0.0379242671919997,0.107189142821569,0.075088323182861,0,0,0,0,0,-0.0339114534165147
MIOTA,0,0,0,0,0,0,0.216146159382875,0,0,0.30759402431677,0.0408428945935849,0,0,0.555642105046428,0,0,0,0,0,0.0435349194803689
TRX,0,0,0,0.0412517370546848,0.469452907065419,0.0667157836496999,0,0.0713012332782005,0,0,0,0,0,0.0977112840319354,0,0,0,0,0,0
XMR,0,0,0,0.185798299230402,0.190310235933934,0.00998789348351928,0,0.215911822814456,0,0,0,0.0538961419403477,0,0.176563808297074,0,0,0,0,0,0
ETC,0,0.648405505691901,0,0,0.030841653127873,0,0,0,0.381112555693486,0,0,0,-0.159846962296634,0,0.106693579973943,0,0,0,0,-0.0875286257175809
DASH,0,0,0,0,0,0,0,0.258190451270484,0.0240871919003756,0.00773508860888902,0.120113077214195,0.116240022054888,0,0.198000023729204,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.393251473946486,0.419735171314048,0,0,0.107158842175013,0,0.00536639234031496,0,0,0,0,0
BNB,0,0.392855662615238,0,0,0.0448815688738316,0,0,0,0.120267877637251,0,0,0.00000000000000000346944695195361,0,0.0717494902696958,0,0,-0.0941166055021575,0,0,0
BV010082.INDEX,0,0,0,0,-0.0314178628799792,0,0,0.0226201479807383,-0.00267809131310912,0,0.049914099520834,0,0,0,0,0,-0.18804507444784,0,0,-0.013110701376499
CVIX.INDEX,0,0.116742909132549,0,0,0,0.0610159859225337,0,0,-0.0743297212020815,0,0.123740184742035,0.0806929298678971,-0.424649280225695,0.174510368894206,0,-0.224787442643837,0,0.335280623816805,0,0.0922634264294875
DXY.INDEX,0,-0.0136045735783616,0,0,0,0.0196991150987049,0,-0.0170810739443848,-0.014779233638912,0,0.00928230176160447,0.0211640306949867,0,0,-0.00718303746064055,0,0.0932519474374509,0,0,-0.00600289023725621
SPX.INDEX,0,0,0,0,0,0,0,0.00574892144959254,-0.0145177103023996,0,0,0,0,0,0,0,0,0,0,-0.0624098199029305
VIX.INDEX,0.32887963771049,0,-0.445980085356815,0,0,-0.0533883860605985,0,0,-0.199788911324931,0,-0.264928596876446,0.217813507085799,0,0.417343363669055,0,0,0.0391854106173722,0,-4.82751810753419,0
