,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0243731397461533,-0.00452696579568642,0.00158809822624998,0,0.252837869847008,0,0,0,0.0204848491345808,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.313480478740337,0,0.0274443102600767,0.176500629227609,0.0897452923430218,0.0232756848216674,0.232587671293633,0,0.16934285200869,0.0551655074676422,0,0,0,0,-0.0175906966356282
XRP,0,0,0,0,0.0181076074059354,0.824486956733148,0,0.190582140408416,0,0,0.418130740423346,0,-0.392539125718987,0,0,0,0.65494956969891,0,0,-0.00000000000000000346944695195361
BCH,0,0.257761396673022,0.128273048519397,0,0,0,0,0,0,0.37011172110386,0,0,0,0,0,0,0,0,0,0
XLM,0,0.134058831767243,0.155884545228078,0,0,0,0,0.282368285638714,0,0.148435201488086,0,0,0,0,0,0,0,0,0,-0.0140596595615428
EOS,0,0.466709858474703,0,0.042535446720605,0,0,0,0.219366478514588,0,0.0466076501168554,0,0,0,0,0.0709788662365446,0,0,0,0,0
LTC,0,0.261359063222177,0,0.147791084381644,0,0,0,0.0458280473551908,0,0.0694387516913943,0.258272912346109,0,0,0,0,0,0,0,0,0
ADA,0,0.126906301935472,0,0.0618290847627027,0.233244568943092,0.0476657433507793,0,0,0,0,0.190657479640132,0,0,0.350767622210415,0,0,0,0,0,0.0100180028868797
XMR,0,0.361402160621295,-0.00963525297877027,0,0,0.290737991300448,0,0,0,-0.00000000000000000173472347597681,0.0437443455637664,0,0,0,0,0,0,0,0,0
TRX,0,0.0552249926334987,0.0283886109419243,0.0302211087281274,0,0,0,0.411422718653556,0,0,0,0,0.543297813387215,0,0.0588546470601289,0,0,0,0,-0.0505242101157426
MIOTA,0,0,0.107055001548648,0.0452189593143685,0.0530972178497995,0,0.101139514128565,0,0,0.254122019162995,0,0,0,0,0.284973874855332,0,0,0,0,-0.0906978092777791
DASH,0,0.318762214018218,0,0,0,0,0,0.15990733279551,0,0.0756864873310867,0,0,0,0,0.0493805117665826,0,0,0,0,-0.0039629682210316
BNB,0,0.292209519673665,0,0.038592665714102,0,0,0,0.0504720724353977,0,0.0648747733323427,0,0,0,0,0,0,0,0,0,-0.0226016454376522
NEO,0,0,0,0.0837654166534735,0,0,0,0.33883568977191,0,0.0467078961598969,0.299596837711513,0,0,0,0,0,0,0,0,-0.00766172857874605
XEM,0,0,0,0.136803877928837,0.299519883528696,0,0,0,0,0.19068128131798,0.083715618035489,0,0,0,0,0,0,0,0,0.00795661620399158
BV010082.INDEX,0,0,0.0481976580999458,-0.07111460740354,0,0,0,0,0.0739630952863893,0.0154911423735194,-0.0214701118020623,0,0.0340240991030019,-0.143581953114287,0.0175348565318861,0,-0.061695922288181,0,0.522395622569224,0.00000000000000000346944695195361
CVIX.INDEX,0,-0.0606122286050182,0.0699092180940323,0,-0.23022805281243,0,-0.3977404396881,0,-0.0608450378029958,0.0712438845448875,0.45294118737477,0.109709702211088,0.160398448113631,0,-0.0683989195571914,-0.0635991558516504,0,0,0,0.0434562933979166
DXY.INDEX,0,0,-0.0077146636589584,-0.0111998120528901,0,0,-0.00373840941753479,0,0,-0.0345921108898347,0.0345776158529515,0.0216400377504932,0,0,0,0.03134963561753,0.0488424465190559,0,0,0.00420273985165895
SPX.INDEX,0,0,-0.0402433977656402,0,0,0,0,0.0134029265229902,0,-0.00894944439967197,0,0,0,0,0.0340731099135181,0.0550319156496726,0.0307213958062246,0,0,-0.12200761153608
VIX.INDEX,0,0,-0.156020962870634,0.18357111385897,-0.21897580175671,0,0,0.19872077455366,0,-0.149504432229888,0,0,0,0,0.220655822624219,0,0.083353863347844,0,-6.71979360041048,0
