,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.00880065767190298,0,0,0.0821767137688019,0.235451545716555,0.0289793439381531,0,0,0.11042056870548,0,0.144337714878815,0.14776744498847,0,0,0,0,0,-0.0191219736689625
XRP,0,0,0.121600435055263,0.0217905205439805,0.048623945628045,0.199215359252457,0,0,-0.00274364550050659,0,0,0.0130062752695324,0.131326397668396,0.0288485741497844,0.0529462745330878,0,0,0,0,0
ETH,0,0,0,0.14671278397737,0.23634594885174,0,0,0.0219104403599096,0,0,0.135542145740455,0.0739348304402886,0.246429378652577,0.0289634449878504,0,0,0,0,0,0
BCH,0,-0.590281181919505,0,0,0.440693285167415,0,0.1988860773256,0,0.116715713883318,0.0691403542837566,0,0.0653772656990155,0,0.34695650354008,0.411882568405249,0,0,0,0,0.00443197004286806
EOS,0,0,0.0500144829000906,0,0,0,0,-0.00859609593934932,0,0.624523218446598,0.183666457045945,0,0,0.153885016017092,-0.0891550983776017,0,0,0,0,0
LTC,0,0,0.315856877280321,0,0.269763578842201,0,0,0,0.0603835814827217,0,0,0.0505794912988705,0,0.0146650755629851,0,0,0,0,0,0
XLM,0,0,0.109054254030671,0.101317898477934,0.137230239053367,0,0,0.022578395362574,-0.0245168278908071,0,0.0617251229766164,0.0118724722367918,0.307241584352447,0,0,0,0,0,0,0
TRX,0,0,0,0.117163422622032,0,0,0,0,0,0.400042833053999,0.336938957514293,0,0,0,0.0831966124451637,0,0,0,0,0
BSV,0,-0.0393795973156652,0,0.408375179663084,0,0,0.470235900724055,0.149650859893217,0,0,0.162636894658387,-0.0226488805631096,0,0,-0.423496316294844,0.592746052178499,0.207330511320344,0,0,0
ADA,0,0,0.0818315971461265,0.0971779358821634,0.307392954085223,0,0,0.178062146229092,-0.0253814854341168,0,0,0.0870650692596839,0.179945432135342,0,0,0,0,0,0,0
BNB,0,0,0,0.0721878614712693,0.293258993144063,0,0.323799275002104,0,-0.182842512581584,0.236384338777112,0,-0.0336669729395586,0,0,-0.0283518948036493,0,-0.235844564532276,0,0,0
MIOTA,0,0,0.156101080817224,0.0517597917114612,0.298472546678476,0.053635792034117,0,0,0.0767640364807798,0.0832599664534625,0,0,0.104973147169445,0.0689024098145418,0,0,0,0,0,0
XMR,0,0,0.180085920330868,0.0392674689355883,0.0493200555920037,0.0677600536644054,0.271736662025942,0,0,0.132487761151151,0,0.0303793493619571,0,0.0647671128830176,0,0,0,0,0,-0.0482196544607739
DASH,0,0,0,0,0.128869231775142,0.0958569996896798,0.594759449035578,-0.0364467644763394,-0.044532711190128,0,0,0,0.288335283215787,0,0,0,0,0,0,0.00000000000000000173472347597681
XEM,0,0.524701112569593,0.0150623091978044,0.0422577872728945,-0.0511575373893394,0,0.108707207533711,0.11511921927877,0.0887565991670361,0.00000000000000000693889390390723,0,0.0300668180194868,0.105531480561074,0,0,0.0567847168709447,0,0,0,-0.0864114747648478
BV010082.INDEX,0,0,-0.206577324556956,-0.0503116077669552,0.0296099632882264,0.0658728577461076,0,0,0.020210444875459,0,0,0,0,0.00963866242135606,0.19339197568088,0,0,0,0,-0.0574193528010684
CVIX.INDEX,0,0.0818412340111894,0.273215676551361,0.0592269758800205,-0.414642360393688,0,0.292519756039929,-0.221772017801441,0.0196499665307987,0.145660783980662,-0.0703803309081656,0.066425770307381,-0.390795230137704,0.0958227593455203,-0.00782232814448461,0,0,0,0,0
DXY.INDEX,0,0,0,-0.000826340464305096,0,0,0,-0.0467927690200205,0.0000208371615136173,0.015236084502985,-0.00413598565635892,-0.00115550136807855,0,0,0.0441486317404939,0.0427948427764177,0,0,0,0.00468136522818408
SPX.INDEX,0,0,0,0,-0.0152835655684315,0,0,0,0.00671980548110878,0,-0.00464546367228151,0,0,-0.037013483758761,0.0339167387098294,0.101081654022365,-0.0702498769659976,0,0,-0.134470025056124
VIX.INDEX,0,0,-0.110330053364246,0,0.330012638394991,-0.316655318230995,0,0.246122977847544,0,0,0,0,0,0,0,0,-0.0929985902148271,0,-2.98873079269603,0
