,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0361446629661619,0.0461492298114115,0.0310760889646738,0,0,0.0729260012093366,0,0.119473071233742,0,0,0,0.00917039037010681,0.131198259951939,0.0478789185853699,0,0,0,0,0
ETH,0,0,0.309210363557529,0.0846798487926852,0.0172445577985818,0,0,0.0474616929926019,0.0964071571353036,0.0814222787457745,0,0,0,0.132116843596965,0.158856016899281,0,0,0,0,0
XRP,0,0.296792959997985,0,0,0.0222328196115486,0.204268883240686,0.137583614425502,0.128504231580583,0,0,0.0730700233522207,0.0936308766280203,0,0,0,0,0,0,0,0
BCH,0,0,0.14521732474686,0,0,0,0,0.181755128722154,0.190118864307815,0,0,0,0,0.187401046717252,0,0,0,0,0,0
EOS,0,-0.464335556799126,0.375163470292789,0.466738375814732,0,0,0,0,0,-0.0211460614609355,0.493866378822572,0.437622362098966,-0.696258568447117,-0.140613291657647,0.332296679758157,0,0.305255173336864,0,0,0
LTC,0,0,0.239821464110292,0.111135911007221,0,0,0,0.0649706909829209,0.0343910396258329,0,0.117657531424724,0.0517797710603778,0,0.0283188974095412,0,0,0,0,0,0
XLM,0,0,0.11269800492937,0.100627193667711,0.191510512120191,0,0,0.151117715361939,0.0807381045403821,0.0260621313339053,0,0,0,0,0,0,0,0,0,0
ADA,0,0.097408483828051,0.160646118174123,0,0.10319374429951,0,0,0,0.139713728891496,0.165315046434684,0.126826621522184,0.0982077194033085,0,0,0,0,0,0,0,0
MIOTA,0,0,0.352768331568795,0,0,0,0.317634831348371,0.20995732344484,0,-0.109734612622837,0.1522973720095,0,0,0,0,0,0,0,0,0.0488056575599675
TRX,0,0,0,0.278337405329949,0.00000000000000000346944695195361,0,0.257276222121402,0,-0.0950000818391094,0,0,0.255434989436631,0,0,0,0,0,0,0,0.0198215839736927
NEO,0,0,0,0.0177992619632407,0.0623796061319439,0.156311300630748,0.226809361339076,0.0199705425858523,0.180933753051435,0.0797278579499609,0,0,0.173035745810624,0,0,0,0,0,0,0.0271832881321729
XMR,0,0,0.265153353224391,0,0,0,0,0.114299996655655,0,0,0,0,0.168747556128258,0.195466842008575,0,0,0,0,0,0
DASH,0,0,0.173149544437192,0.119593899775333,0,0,0.167993742535928,0,0.138535883128935,0,0.0863121420935054,0.0361714969475111,0,0,0,0,0,0,0,-0.0220640191620165
XEM,0,0.333976367369573,0.053945092431945,0,0,0,0.25568965542492,0,0,0.154200743107103,0.0416234013214956,0,0,0,0.0623822751517951,0,0,0,0,0
BNB,0,0.330519016727292,0,0,0.0596275557561828,0.280710304367988,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00907620338215933,-0.0424555886781048,0,-0.114400250873163,0,0.0882838556206197,0.0274323757490038,0.025525269593644,0.029504121928207,0,0,-0.0178359802556177,0,0,0,0,-0.293872335791785
CVIX.INDEX,0,0,0.073180371726723,0,0.0246671189183561,0,-0.0458095347600886,-0.149754074029039,0.11060652092653,0.0999375131067915,0.0604591719060433,0,-0.24623337883359,0.0474673219565425,0,0,0,0,0,0.0327077625428525
DXY.INDEX,0,-0.00914817456707644,0.0306243420938262,0.00470587576750051,0.000000000000000000216840434497101,0,-0.0283581352688378,0.01052423319073,-0.0120148977970824,0.0219165349651239,0,0,0,0,0,-0.0709332184949586,0.0129379832738644,0,0,-0.00774391821794888
SPX.INDEX,0,0,0.0182132439465578,0,0,0,0,-0.0173680671909367,-0.00845368734061491,0,0,0,0,0,0.00649207928481047,0,0,0,0,-0.102319715481179
VIX.INDEX,0,0,0.418082028594626,-0.0667244402837894,-0.285438531925954,0,-0.179731312302664,0.00000000000000000693889390390723,0,0,0.380430350191589,-0.207813640182714,0,-0.0398473913912181,-0.0559314695173876,-1.42017690141574,-0.320745859831681,0,0,0
