,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.23831586423002,0,0,0.127965341248969,0,0.151146829692043,0.0229558884158355,0.0225404006584693,0,0,0,0.0328983725151874,0,0,0,0,0
ETH,0,0,0,0.0127879268309729,0.0777931838251513,0.151669685050153,0.0527080176438055,0,0.196980277682143,0,0,0.220528685193726,0.0704530129532069,0,0.0566578598682977,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.199065734473972,-0.0620223936719677,0.0914989566957477,0.00726798224712178,0,0.23765370564136,0.331639575013779,0.0997266643791805,0,0,0,0,0.00817703454048645
BCH,0,0,0.0243746518026137,0,0.10516024759538,0,0.173938992007128,0,0.0214104283811821,0,0.00445613203959405,0.300139137370291,0.0796112799074592,0,0.0888222306142107,0,0,0,0,0
LTC,0.112872174036397,0,0.0170901882433222,0.157802250934128,0,0.0245215735118594,0,0,0.111846690248399,0.0264307420995748,0,0,0.00647537997676397,0.0675838792258508,0.165211992397382,0,0,0,0,0
ADA,0,0,0.413979271949353,0,0,0,0.0434469664518212,0.026395125905469,0.117048717293593,0,0,0,0.173926197796018,0,0,0,0,0,0,0
NEO,0,0.501341443884777,0,0.151508903324717,0,0.117661364474227,0,0,0,0,0.0365710289551836,0,0,0,0.141306226848192,0,0,0,0,0
XLM,0,0,0.22555464800469,0,0,0.203439710715094,0.0729971485518636,0,0.0306647390591983,0,0,0.0625574491764613,0,0.15295736743285,0.156100899553103,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.198119422783385,0,0.177537016385768,0.155293011083725,0,0,0.0544951808688497,0.195976555577301,0,0,0,0,0
XEM,0,0,0,0,0.271238654289766,0.212912191824734,0.00000000000000000693889390390723,0,0.00640043815579872,0,0,0,0.283999503597019,0.138557103965167,-0.00000000000000000173472347597681,0,0,0,0,0
XMR,0.11813180757754,0,0.0292162556703156,0.00457342412181964,0.330141787973484,0,0.214084106537979,0.0436404816211858,0.051390327243738,0,0,0,0.132138453201853,0,0,0,0,0,0,0.0424156069473493
DASH,0,0,0,0.0934483888129685,0,0,0.0429884902063228,0,0,0.0984801556772717,0,0,0.00701150135929217,0.174114107739871,0.168135632135895,0,0,0,0,0
MIOTA,0,0,0.15688871054894,0.264643263101177,0.100162492460486,0,0.0106110260671703,0,0,0.149272318522229,0.189990931088214,0,0,0,0.00573071911377346,0,0,0,0,0
TRX,0,0,0.260606217698469,0.133216882188366,0,0,0,0.094425466180727,0.0317012236854779,0.2853050884269,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0.158538451916829,0.400638286498932,0,0,0.0616681186472892,0,0.0749385288653306,0.114264866889967,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0306650925396809,0,0.0259146495851667,0,-0.00551455795796819,-0.0127126146421025,0,0.0180947028051004,0.0203016062589427,0,0,0.0533076715477881,-0.0672845027185023,0.0127283586889316,0,0,0,0,-0.0367683933158092
CVIX.INDEX,0,0,0.0540330557397142,-0.0135060258059933,0.0356676099797417,0.147102353829985,0,0,0,-0.0325709261239637,0,0,-0.0712265268317622,-0.0556215206629033,-0.0578991572754415,0,0,0,0,0.0693644558308419
DXY.INDEX,0.0170975916243741,0.0158160338498508,0.0135587668664266,0,0,0.0271617511471808,-0.0117298273460308,-0.00818700396471259,-0.0385571959320446,0.000498050321223686,-0.0108556169803353,0,0,-0.0142508775546229,0.0048225156670603,0,-0.00870432062314192,0,0,0.010914108112729
SPX.INDEX,0,0,0,-0.00525067437399141,0,0,0,0,0,0.0224102702933743,0.0129273153064116,0,0,-0.0399690800328363,-0.00241266789994376,0,0,0,0,-0.0580561655110995
VIX.INDEX,-0.476382483943599,-0.040375856577984,-0.118389652696743,-0.161849920233299,0,0,0.549989764198345,0,0.132246246900969,0.155604757082606,0,0,-0.37676790575502,0.358587980518232,0,-0.326146323131084,0,0,-4.74635886076632,0
