,BTC,ETH,XRP,XMR,LTC,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0201401539809544,0,0.227495069701088,0.303926927452998,0.186244877644091,0,0.153794325157551,0,0,0,0.0024393056141374,0.0969245015581012,0,0,0,0,0
ETH,0.240074341856147,0,0,0.0811150712757702,-0.191076821849557,0.257719927515918,-0.0267595487705627,0,0,0.0039118025894963,-0.0029607164967976,0.165300471682522,0.191688553066162,-0.0946233170047305,0,0,0,0
XRP,0.0334403736098743,0,0,-0.000000000000000000433680868994202,0,0.167148966157628,0,0.042866699137132,0.0691041491701097,0.0185684746190627,0,0.0343967027896584,-0.0361373044243543,0,0,0,0,0.0617470048619438
XMR,0.521837955047902,0.0937328447936096,-0.380654813074192,0,0.264176133450344,0.0369715190339559,-0.0867055931013294,0,0,0,0.11812613290948,0,-0.100316452502399,0,0.305716503196087,0,0,0
LTC,0.666222259402022,0,0,0.0155286789324485,0,-0.159356891274985,0.118570025629695,0.116677667238672,0,0.0798943700137926,0.115640721860035,0,0,0,0,0,0,0.00853280134874223
DASH,0.28175861548607,0,0,0.192682555735772,0,0,0.297350718046683,0.149515812589609,0,0,0.0511538456746714,0,0,0,0,0,0,0.0544367318890139
ETC,0.35935775197536,0.358760066713084,0,0,0,0,0,0,0,0.0214411835926184,0.268993948062404,0.0414330239424166,0.113699277470737,0,0,0,0,0
XEM,0,-0.342465407255894,0.187127226191037,-0.295106449349132,0.0360908171817202,0.531127750581522,0.0279651608462307,0,0,0.302465583649024,0.0560331288277847,0,0,0,0,0,0,0.111242631898684
DOGE,0.245701192152584,0.0715483196795268,0,-0.0445408551126974,0.0259598462746003,0.0329234941668353,0.0929511474179485,-0.0808234184684518,0,0,0.0711329045290565,0.056000705240928,0.0181594548693057,0,0,0,0,-0.090219777623182
ZEC,0.268567691317355,0.0484512538728081,0.112819235589997,0.104933398038606,0.100965343080116,0.0595474998747101,0,0,0,0,-0.0097589904660389,0,0.307605952243791,-0.482445200255295,0,0,0,0
XLM,0,0,0,0,0,0,0.21836733277613,0.0916747621936526,0,0.10742176169231,0,0.103374600276943,0.00656312280500606,0,0,0,0,0
NEO,0.259969843550582,0.162175997297203,1.164111624077,0.274809955316665,-0.289565476772143,-0.35123612249105,0,0.179990135287146,0.155070855018967,-0.0747233348977038,0.054868926122886,0,0,-0.272426418926773,0,0,0,-0.186753139509928
DGB,1.30590813374385,-0.0972222737425731,-0.0176537704165571,-0.236924441082803,-0.809394889829471,0,0.114137763459301,0.172583996349292,0,-0.0446393058973415,0,0.198759830788311,0,0.391842490918927,0,0,0,0
BV010082.INDEX,0,0,0,0.0639481740038553,0,0,-0.019480681472947,-0.0485984498387959,0,-0.000992881432931051,0,-0.0488798513578955,0,0,-0.0805570538862839,0,0,0
CVIX.INDEX,0,0.108616009550921,0,0.0464308612763999,0.0511929795905956,0,0.0297055874743891,-0.0629725020059871,0,-0.0266981263940422,0,0,0,0,0,0,0,0.0675304785610067
DXY.INDEX,0,0.00205814802488792,-0.0192046349438904,0,0.0197069695749853,0.0137385133323281,0,-0.0094156837898982,0,0,0.00000000000000000010842021724855,-0.00444356689133968,-0.011520422730838,0.104601010016299,0.017117316937095,0,0,-0.0215459553836629
SPX.INDEX,0,0,0,0.00436858067941114,0,0.00605528648013806,-0.0115374776137188,0.0114699504397205,0,0,-0.00430932960770003,0.0164902958242934,0.0120061689633522,0,0,0,0,-0.0554785156882278
VIX.INDEX,0,0,0.384324785890249,0.202628171293989,0.142059436494951,0,-0.406134739782854,-0.192616176734656,-0.110435562247015,-0.0819874298241333,0.177630375542731,0.0798577566497496,0.0461614557949571,0.347636282888111,0.170349904201851,0,-2.83617781461437,0
