,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.615358598205714,-0.00780053272850792,0.0834303338395135,0,0.0793093704615872,0.0248184958780171,0.0293014167932498,0,0,0,0,0
XRP,0,0,0.130939753656473,0,0,0.0494395106155669,0.371443850502237,-0.0901682101393178,0.0533110919944702,0,-0.208083473713182,0,0,0,0
ETH,0.0674499702112124,-0.0465821667637125,0,0,-0.159918874387692,0.0737716817650332,-0.0316397134918538,0,0,0.0733162210030226,0,0,0,0,0.144425613502527
LTC,0.705688265728619,0,0.029074293847171,0,0.0649721000340127,0,0,0.000000000000000000867361737988404,0.0240969680586985,-0.0310173595778813,0,0,0,0,-0.030806481762021
DOGE,0,0,0,1.2095538967563,0,0.0310257397610337,0.397840186260581,0.161674077119402,-0.0272292688060941,-0.275972820229811,0,0.519281593322778,0,0,0.0132706821950812
DASH,0.368059202221919,0.279250744346489,-0.391573871011745,0,0,0,-0.317495847782032,-0.360373753962227,-0.0975448963245404,0.053381853952189,0,0,0,0,-0.0227348979921705
XLM,0,-0.113091332303221,0,-0.174992111558834,0.299610022884485,-0.142677966270531,0,-0.0160689171397022,0.120956098146496,0.180537699020963,-0.259834584568954,0,0,0,-0.0612726740969802
XMR,0.472472526490894,-0.0420415659825444,-0.155796927079193,0,0.0726272375526304,-0.0726112975659938,0,0,-0.0752703994991749,0.10629590055944,0,0,0,0,0
XEM,0,0,0,0.0408648606587004,0,-0.242417948833019,0.196215537453715,0,0,0.0830660765046968,1.11881295555423,-3.00518065911589,0,0,0.123481601539115
DGB,1.11653306256269,0.228672992846084,0.0366289610625558,0,-0.337084632102445,-0.0997168112935343,0.235362855617596,-0.149499176888004,0.123983037317673,0,-2.44329602611471,0,0,0,0.0954454041233907
BV010082.INDEX,0.0876036557851665,0,0,0,0.0249671616362667,0.0100574764652303,0.0441934023653282,-0.0342046804964036,0.00294498601094282,-0.052409016566637,0,-0.343092252223468,0,0,-0.025370445035853
CVIX.INDEX,0.038332036068808,-0.0873590513137359,0,0,0.0115046033444733,-0.0343505446704246,0,0,-0.0388582452863265,-0.0271626905327288,0,0,0,0,0.122748666597705
DXY.INDEX,0,0.00426378238523462,0.00482155402131393,-0.0110449875641454,0,0,-0.0420497991110249,0.0321747316829474,0.00244605414458127,-0.000507874199839371,0,0.0808329887500916,0,0,-0.0337666610108257
SPX.INDEX,0,0.0253126420025667,0,0,-0.00577752112806507,0,0.0122087174453041,0,0.00122052033388331,0,0.0231721008611197,0,0,0,-0.121689071391683
VIX.INDEX,0,0,0.011861096054033,0,-0.034658476931557,0,0,-0.23158807809208,-0.112765334164348,0.269026525058798,0,0.126136515477226,0,-3.71578796686771,0
