,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.055636404960568,0.168966137067076,0,0.046134723094106,0,0.0836718302064644,0.0334512681106049,0,0,0.104693055827562,0,0,0,0,0,0
ETH,0,0,0.0209896082619441,0,0.0850022746468948,0.141705615392905,0.0106888894038579,0.0593620205762585,0.0452342387709888,0,0.0106474998630077,0,0.0804052178064024,0.0963352012933271,0.100531869399357,0,0,0,0,0
BCH,0,0,0,0.247248346193732,0,0,0.779981105266288,0,0.0399700858078023,0.121976056183008,-0.119272284911753,0.406070452519782,0.0560495154580474,0,-0.745147220329446,0,0,0,0,-0.182995798867877
XRP,0,0.0803999794165673,0.0605060323558814,0,0,0.0504173357788503,0.000849500462744495,0.0812059357921062,0,0,0,0,0,0,0.266466025486148,0,0,0,0,0.0168598954954607
DASH,0.110357021813465,0,0.0566989593175585,0,0,0,0.0758738283714021,0,0,0.0418442384702895,0.00000000000000000173472347597681,0.310688487637282,0.0662775756908792,0.0995339166426063,0,0,0,0,0,0
LTC,0.118380619469014,0.0321510494429753,0,0.0401611021932995,0,0,0,0,0,0.736864319757567,0,0,0,0,0,0,0,0,0,0
XEM,0,0.189767909969246,0.0553171677626745,0,0.231365000669235,0.16405331045056,0,-0.000000000000000000867361737988404,0,0,0.11179391829121,0,0,0,0.0756863503717545,0,0,0,0,0
MIOTA,0,0.0777962967604486,-0.103707997528009,0,0.0423012879796044,0,0,0,0.0570624858134227,0,0,0.409173838409125,0.313412070272038,0,0,0,0,0,0,0
XMR,0,0,0.0915368120152432,0.0841675431776168,0.163976711068272,0.0592275795759245,0.0930034617976734,0,0,0,0.0728729664916197,0.308131469028511,0,0,0.0794766931011348,0,0,0,0,-0.0284631831927243
ETC,0,0,0.00486818704544928,0.0496858285710287,0.131996777856684,0.615655519226558,0.102039201410976,0.0734610716269292,0,0,0,0,0,0.00210262194388118,0,0,0,0,0,0
NEO,0,0,0,0,0,0.039546655035293,0.297728466253992,0.23297981532873,0.103956586315285,0,0,0,0.329696805371697,0,0,0,0,0,0,-0.0781607105439159
ZEC,0,0.0702711078887907,0.0288095807168315,0,0.0170745914736062,0,0.048381466865219,0.219260328415533,0,0,0,0,0,0.00376454173770492,0.193714550288143,0,0,0,0,0
EOS,0,0,0.0202182484116872,0,0,0.24844057865713,0,0.140345795882453,0.0830539457570731,0,0.154266414680073,0.0943190670703979,0,0.0470725642932863,0.261716524838275,0,0,0,0,0
BAT,0,0,-0.0347274613739547,0,0,0,0.0777436000301146,0.0372934985748572,0,0,0.183560998761185,0.239990899419776,0,0,0.349551104936951,0,0,0,0,-0.125050116009074
XLM,0,0.430490200257171,0,0,0,0,0.00691524640037789,0,0.309190785143266,0.00612087150937512,0,0,-0.00000000000000000346944695195361,0.192885696377553,0,0,0,0,0,0
BV010082.INDEX,0,0.0690802169671642,-0.0236437578584874,0,0,0,0,-0.00000000000000000173472347597681,0,0.00342338459054158,-0.0239656073414662,0.044493040878909,0,0.0463096789963885,-0.0349473850207962,0,0,0,0,-0.105474559485641
CVIX.INDEX,0.0316108896446938,0,-0.000000000000000000433680868994202,0.0159587886264721,0.0157240743725141,0.0724642311490762,0,0.0635431947222462,0.0368528217331785,0,0.0101848848471773,-0.127129510161224,-0.106544766147129,0.00752065525046563,0,0,0,0,0,0.053957185727558
DXY.INDEX,0.0027201458695951,-0.0183679874038583,0.000805014587057842,0.0035080244461011,-0.0158930420623373,0.0152722603350412,0.000000000000000000216840434497101,0.00599657161861566,0,-0.00160760711844374,0.00438400280964437,0,0,-0.00711718233046083,0,0.112049153771789,-0.0156752208315294,0,0,0.00435895586031827
SPX.INDEX,0,0,-0.000947736498032226,0,-0.004018427865891,0,0,0.000571734420403407,-0.00456779159321525,0.00292308354129621,0,-0.0103768748296276,0,0.00579883093112908,0,0,0,0,0,-0.0464358603906696
VIX.INDEX,0,0.286270703718905,0,-0.163020980306886,-0.209921124803709,0,0.160999758515074,0,0,-0.0679007430542099,-0.00542241555666009,0,-0.234585135093916,0.0566762050823739,0.114445040116831,0,0.876527459013014,0,0,0
