,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0115210369933814,0.00292634492103787,0,0,0.12738660756465,0,0,0.039250007591148,0.051882389202429,0,0.113379492377304,0.0908741941043014,0.00704166912464694,0,0,0,0,0,0
XRP,0,0,0,0,0.0684520109117857,0.909730201344124,0,0.0852069275117824,0,0,0.472487390894033,0,0,0,0,0,0,0,0,0
ETH,0,-0.0000000000000000000542101086242752,0,0,0,0.35898329031497,0,0.0224745850675644,0.0667742494210091,0.0714349697757105,0.119362299619547,0.246084575907993,0,0.0347961535279746,0.169574507886821,0,0,0,0,0
BCH,0,0.0257797731408723,0,0,0,0,0.150602220553375,0.174333130296998,0,0.244301480273259,0.163864175823595,0,0.139252673015542,0,0.130789386141713,0,0,0,0,0.0705390793632224
XLM,0,0.158751802404868,0.141816802429656,0,0,0,0,0.264505138381829,0,0.149803627690041,0,0,0,0,0,0,0,0,0,-0.0109070794678727
EOS,0,-0.0245345193661574,0.576123691063693,0.00135115888222874,0,0,0.0838257905877197,0.135459681812671,0,0.0405584680236432,0,0,0,0.0510743346450123,0.0193821670162334,0,0,0,0,-0.0240465934329868
LTC,0,-0.0130175777768147,0.207852689268926,0.151216574871496,0.0263074499379137,0,0,0,0.100208693309258,0.0908305928402446,0.185231269349969,0.137811164938711,0,0.00000000000000000173472347597681,0,0,0,0,0,0.00895233581017665
ADA,0,0,0.244512836791837,0.0538153438888285,0.211558110415246,0.06094197186733,0,0,0,0.0373629240210008,0.150044081750363,0,0,0,0.216521403321429,0,0,0,0,0
XMR,0.0618441192322047,0,0.074924039240054,0.0238612247979856,0,0.239006807460984,0.195667076802774,0,0,0,0.202494069816523,0,0,0,0.0222158971063226,0,0,0,0,0
TRX,0,0,0.157290370224315,0.00000000000000000346944695195361,0,0.366201266579197,0,0.274305186797676,0,0,0,0,0.190877338234131,0.0441139841635282,0,0,0,0,0,-0.0577071915334321
MIOTA,0,0.0862414894844409,0.0272963533248446,0.0257906983047173,0,0,0.213217885556898,0.0900830257494745,0,0.214477066934337,0,0,0,0.245387936634677,0,0,0,0,0,-0.0810456296198319
DASH,0,0,0.383878557363109,0.00765924095293698,0,0,0,0.199622351916247,0.0821256562388195,0,0,0,0.0708347111689146,0,0,0,0,0,0,0.00806119793802215
BNB,0.174618239775212,0,0,0.0379576843139396,0,0.0915766878133827,0.0133186178858878,0.118823630775444,0,0.0256623219480051,0.0585759304603494,0,0,0.0433782100731287,0.105613373532765,0,0,0,0,0
XEM,0,0,0,0.147530925333233,0.196587580746128,0,0,0,0,0.227877166791994,0.115085611907565,0,0,0,0,0,0,0,0,0.00628293680158475
NEO,0,-0.00174849196684019,0,0.123123682634423,0,0,0,0.314087253235738,0,0.0171767629379139,0.360027723708242,0,0.0584764115169362,0,0,0,0,0,0,0.00508743496328768
BV010082.INDEX,0,-0.0285685847728563,0,-0.084812179671815,-0.135456055240579,0,0,0.160406154622879,0,0.00484691792687001,0,0,0.138317607459957,0.016405005427163,0,0,0,0,0.738195429401642,0.0196538637546974
CVIX.INDEX,0,0.0330876728737829,0.213708696308601,-0.167557422182511,-0.147240183818795,0,-0.374430331308132,0,0,0.0327161793993927,0.171606592761821,0,0.126934032839466,0,0.243922518679384,0,0,0,0,0.0606724068593943
DXY.INDEX,0,-0.000962454740565891,0,0,-0.0115559461281628,0,-0.011931782884854,0,0,-0.0390137849218321,0.0143873449034113,0,0.0676779844913267,0,0,0.0326622883494356,0,0,0,0.000354861746044145
SPX.INDEX,0,-0.0426863804581984,0,0,0,0,0,0,0,-0.00521407586935562,0,0,0,0.0328035712651362,0,0.0359508659480197,0,0,0,-0.116572509644901
VIX.INDEX,0,-0.127122051236157,0,0.168915942679775,-0.0555704760543425,0,0,0,0,-0.0882487805668982,0,-0.227643533138565,0,0.278315983172583,0,0.142911640386563,1.33497778043175,0,-5.83995394037861,0
