,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.160867137490853,0,0.053632276658314,0.0851008240723087,0.040511217655621,0.00810066213742187,0.0469661781420532,0,0,0,0,0,0.0142747998540246,0,0,0,0,0,0
ETH,0,0,0.0803185702771523,0,0,0.303320121484789,0,0,0,0.0673354846476386,0.0447950000005244,0.0149912638237366,0.132153198367605,0.0256891187726595,0,0,0,0,0,0
XRP,0,0.125510891976359,0,0,0,0.104233281289167,0,0.131908245793667,0,0,0,0,0.185183173816228,0.116179804199308,0,0,0,0,0,0
LTC,0,0,0,0,0.354805685848876,0.225708013121289,0,0,0.183743601995972,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.110048062053255,0,0.332436250288489,-0.0725840361346323,0.154095389981243,0.186950737919383,0,0.220915428565039,0,0,0.0294311186927287,0,0,0,0,0,-0.00471704048617351
EOS,0,0.247633758725316,0,0.207195144234362,0.190030573799188,0,0,0,0,0,-0.183211775756402,0.186188590480911,0.170428938083914,0.102627421686146,0.24020893265645,0,0,0,0,0
BNB,0,0,0,0.385151222480428,-0.263710217742943,0.0628014710067612,0,0.115930865973214,0,0,-0.00000000000000000346944695195361,0,0.0588519442821692,0,0,0.0240917079651503,-0.377273062536696,0,0,-0.181449591410709
XLM,0,0.0830831593536105,0,0.17601151488567,0.0318699313534843,0,0,0,0.000000000000000000433680868994202,0.129002655135556,0,0.245525330280743,0,0.16069524818298,0,0,0,0,0,-0.0270215302416753
ADA,0,0,0.133602803842549,0.26344754206805,0.263136405365857,0,0,0.0560990725228714,0,0,0,0,0,0.169875565087619,0,0,0,0,0,0
TRX,0,0.121171484307366,0.430355387328017,0,0,0.0320125407064083,-0.0856832837757236,0.0352630114145566,0,0,0,0,0.0543582944803857,0.125563216498325,0,0,0,0,0,0.0288703536333844
BSV,0,0,0,0.0845216184241274,0.203934817591127,0,0,0,0.0587927458779916,0,0,0.143795225016256,0.000000000000000000216840434497101,0.182766241683636,0.0714674103373384,0,0,0,0,0
DASH,0,0.153824914020775,0,0.104520543370943,0,0.109506033993984,0,0.130266687973497,0.0784531959728183,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.33370992601961,0,0,-0.0846639783685323,0,0,0.188578116965478,0.00768077841806526,0.219627248931575,0,0.113213385003757,0,0,0,0,0,0,0,0
MIOTA,0,0.3092915078892,0.248756363551465,0.0214602035329683,-0.0324243766679899,0,0.0120674519789682,0,0.130467570761032,0,0,0,0.104619928882709,0,0,0,-0.0186421996255093,0,0,0
NEO,0,0,0,0,0,0.148945736323749,0.101119999119952,0,0.336730208503558,0,0,0.161139291543133,0.0113052106422833,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.0571887630051056,0,0,0,0.0187544109105172,0,0.109397557611289,-0.197166564417082,0,0,0,0,0,-0.111459177167548
CVIX.INDEX,0,0,-0.587185272525502,0.297473633737684,-0.175315759268073,-0.0405174602171098,-0.157073664050123,0.262491289499791,0,0,0.0229973173204325,-0.0785218684244151,0,0,0.0792327212187823,-0.566405696432353,0,0,0,-0.100185830052848
DXY.INDEX,0,0.00628523268243092,0,0.00180471788562747,0,0,0,0.0130945455520327,0,0,0.015528986712522,0.0221085644843445,0.00801732053568029,-0.0638586779715884,-0.00931729363062403,0,0.010268637350347,0,0,0
SPX.INDEX,0,0,0,-0.0162969529715346,0,0,0,0,-0.0273517026478091,0,0,0,0.0221034421404956,-0.00254297869924584,0.0322827628863638,0,-0.0254153411054791,0,0,-0.0776957106602535
VIX.INDEX,0,0,0.113323240205563,0,0.0453284642239511,-0.308590199258328,0.202843878735105,0,0,0.00878802305205933,0.0328619566270114,-0.388786091594393,0,0,0.171880089282745,-0.0993013590242457,0,0,-3.26951195709147,0
