,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0207406054149301,-0.0412794650127053,0.793698417366636,0.054008588817467,-0.0392075090745565,0.0247825912074836,0.0263647312214986,0,0.00166111461417384,0,0,0,0,0.0124903388093335
ETH,-0.734378929525001,0,0.332868671687468,0,-0.127541498370263,0.0592803333126514,0.358863057083028,-0.806875417437335,0.238665449360041,0,0,1.51587674425852,0,0,0.378417901736143
XRP,0.192199246059093,0.0214396374140721,0,0,0.0600633362750933,0.0446657974956479,0.0526804195507248,0,0,0.0317524440003715,0,0.0774605349758624,0,0,0
LTC,0.422432544603212,0.00270364429979688,0,0,-0.0438854226722581,0.033574364607608,0.0364329126260001,0.0516172278223318,0.025619225604984,0.000177309789603932,0,0,0,0,-0.0114322742287044
DASH,0.654114044415222,-0.238967514647458,0,0,0,0.259076483332533,0.18161896278955,-0.652955993763302,0.0530951307870199,0.0717538873653099,0.510030687694699,-0.32772851548272,0,0,0.640648225400366
DOGE,0,0.230286550724402,0,0.822642862372332,0.0900480498138529,0,0.0791884993413887,0.449622535874669,0.0409929258651839,-0.0182089771732312,0,-0.225358284187896,0,0,0
XMR,0,0.289473595310353,0,0,0.158684321362729,-0.151818812747675,0,0.855480683744638,-0.327760246921344,0.166848125120128,0,0,0,0,-0.195734139297108
XLM,0,-0.067170705040189,0.252261779531551,0,-0.581271555441703,0.270923816165983,0.200059682758746,0,0.207257357978245,0.0486854100093421,0,0,0,0,0.457173701804606
XEM,-1.76518660768251,0.0737425587699122,0,2.25620197954531,0.197299173369925,-0.0671287201499864,0,0.0763021958309998,0,0.0830753635098937,1.6138256017787,0.419541306034018,0,0,-0.280966957143329
DGB,0,0,0,0.754136109291626,0.683856125666415,0,-0.319504740748283,0.572799277987347,0,0,-3.44539784233193,-0.710878798833231,0,0,-0.191704572136276
BV010082.INDEX,0,0,0,0,0.0814258774702677,0.035998897706728,-0.00700040680548255,0,0.00696223786543864,-0.138000823798401,0,0,0,0,-0.10486879896394
CVIX.INDEX,0,0.0313972867504151,-0.211153096340873,0,0.0335698546800865,0,0.0401114506700397,0.0645622975921569,-0.0225466288258819,0,0.126803569027196,0,0,0,0.126713876556909
DXY.INDEX,-0.167148794666084,0,-0.0577765944679943,0.151443333444794,-0.0319150614227317,0.0125898146840969,0.017406160433342,-0.0235268398300831,0.0126065362283524,0.0146271738787912,0.0937904179033839,-0.00400468300771899,0,0,0.0326361243651188
SPX.INDEX,0,0.00739473569676611,-0.0458880363357657,0,0,-0.000000000000000000216840434497101,0,0.0299439110671768,0,-0.00577311059625693,0,0,0,0,-0.129168176532461
VIX.INDEX,0,0,0,-0.160717819227351,0.235552321431721,0,-0.121544212884096,0.1309852290269,-0.068716560720611,-0.0410396750842151,0,0,0,-4.79125235581123,0
