,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0450298128546436,0,0.031860015271783,0.0689942131477758,0,0.25031487339048,0,0.157704390304459,0,0,0.032461987581024,0,0,0,0,0,0,0
INNBCL,0,0,2.0272962980857,0,0,-0.540712804975862,14.4970569138869,-19.3472810042667,0,0.744604213386604,3.1009745284986,13.4447639836394,0,0,-10.5492746538259,-5.80712258403784,0,0,15.7413586781745,2.1734761180415
ETH,0,0,0,0,0.216307534410681,0.0752399653029446,0,0.0678226113344088,0.104959122289791,0.285400931343513,0,0,0.0126339574075427,0,0.200971178293991,0,0,0,0,0
XRP,0,0,0.184018426856901,0,0.00786819988280559,0,0.152728048062474,0.180392501898068,0,0,0,0.182639401988496,0.027333668058593,0.0394128360335434,0,0,0,0,0,0.00661691148237525
BCH,0,0,0.380342893402078,0,0,0.280413131634342,0,0.0242056784809647,0.121069059743853,0.082026993405479,0.0121313149052186,0,0,0,0,0,0,0,0,0
BSV,0,-0.0095583688179501,0.00584198671420622,0,0.340955337281445,0,0,0,0.226644704349908,0,0,0,0,0,0.465323439787173,0.0439776083422733,0.116860201851734,0,0,-0.064202183040742
LTC,0,0.00287322777666024,0,0,0.057688632637167,0.151218574442718,0,0.0491362705820751,0.414720629968074,0.0389000851128886,0,0,0,0.164069787506141,0,0,0.0506044910508893,0,0,-0.0272254063750645
BNB,0,-0.00652384985306213,0.341256041500273,0,0.344748182973078,0.061145672303792,0,0,0,0.0876904210250035,0,0,0.0388046165352623,0,0,0,0,0,0,0
EOS,0,0,0.187489178560442,0,0.471477856902059,0.0888594078272509,0.0688672144945842,0.0597099704934998,0,0,0,0,0,0,0.00779970090424351,0,0,0,0,0
XTZ,0,-0.000869461285149875,0.197243412704147,0,0,0.203248400136197,0,0.128867662535294,0,0,0,0,0.451622421022938,0,0,0,0,0,0,0
TAGZ5,0,0,0,0,0.524712921484388,0,0,0,0,0.0784543230180223,0,0.10050092820094,0,0,0,0,0,0,0,0.0840842725993096
XLM,0,-0.00158094285774233,0.2549916153516,0,0.233818365022776,0.0248522618693039,0,0,0.106521884726181,0.0279543164560075,0,0,0,0.0711860534110908,0,0,0,0,0,0
LINK,0,-0.00160994646713811,0,0,0.0459950962225246,0.199469220570041,0,0.147043181640641,0,0.606219901246854,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.156204227743019,0,0.0922054942082669,0,0.292848284110845,0.179790125611823,0,0.123938095630091,0,0,0.0742911909761553,0,0,0,0,0,0,0
XMR,0,-0.000249972548582684,0.280291363769895,0,0,0.152164440939881,0,0.256048921777232,0,0.0977633848634616,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00594837368630874,0.142560356185838,0,0,0.299393366138701,0,-0.868962636058452,-0.296715282490642,-0.830543972658804,0.0915459087699455,1.18862263043782,0.459415753822865,0,0,0,0.112229938632869,0,0.121844010579001,0
CVIX.INDEX,0,-0.0042064184776657,0,-0.553122265930016,0,0,0.307978512752416,-0.201007609596081,0,0.408463138499033,-0.17591505731955,0,0,0,0,0.330525812012373,0,0,-0.459366154523835,0.348381188436593
DXY.INDEX,0.0523166652597455,0.00023552523681096,0,-0.115916726287002,0,0,0,0.0359449517264844,0,0.0372140245064073,-0.003943948640514,0.0209980277983074,-0.0371413281221269,0,0,0.0179373922685918,-0.0132199810512676,0,-0.0203590707241993,-0.0122449942043412
SPX.INDEX,0,0.00767198151343783,0,0,0,-0.110463418435059,0,0,0,0,0,0,0.10444940049967,0,-0.019199563718457,0.256582147378118,0,0,0,-0.254058336801879
VIX.INDEX,0,0.028835813357543,0,0,0,0,0,0,0,0,0,0,-0.169512014193162,0,0,0,0.0386084701503631,0,-1.9506155580117,0
