,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0241340523516079,0,0,0.109243721942616,0,0.141810937683826,0,0.0299640146836122,0,0.00460258948028192,0,0,0,0,0,0,0
ETH,0,0,0,0,0.177425293981035,0.0757308043302213,0,0.110916474196939,-0.0325083795854339,0.0208470952098509,-0.141572541879361,0.0399140811070819,0,0.0185683402761422,0,0,0,0,0
XRP,0,-0.221107443868271,0,0.0119148587314553,-0.290849716600525,0,0.431423921307361,0.139554808927181,0.316940995835889,0,0,0,0.215122604991829,0,0,0,0,0,0
XEM,0.374011587928202,-0.0937483135864375,0.0168874658084477,0,-0.629164285045501,0.174087463407632,0,0.0215710635707928,0.0355390389842336,-0.0245710976009693,0.176147168164176,0,0,0.448976892316514,0,0,0,0,-0.141367003630146
ETC,0,0.180245241758331,-0.176814737124254,0,0,0,0.104047831867947,0,0.0219372064999354,-0.0471812285006767,0.0286505575883347,0,0,0.239280422996925,0,0,0,0,0.0677890521238579
LTC,0.344651435491294,0,0,0.0412865307621446,0,0,-0.0000000000000000000016940658945086,0.17124048740894,0.00464002859463536,0.0250628680306299,0,0.096042127204508,0,0.261463127181751,0,0,0,0,0
DASH,0,0,0.0750648541169364,0.0523231957668741,0.14720746061156,0.0450765801746835,0,0.277158983791961,0.0884940295842779,0,0.164371110720129,0,0,0,0,0,0,0,0
XMR,0,0,0,0.106378324155424,-0.104194428000607,0,0.48027746454435,0,0.0784804004906088,0.013625322881937,0,0,0,-0.0907786012478349,0,0,0,0,0
XLM,0,-0.0811292713724976,0.494025978993757,0.0314950204463708,0.31061810435108,-0.167544124669039,0.0501697601126662,0.354180605594228,0,0.0851364543046049,-0.19028949153834,0.0975293648526164,0,0.00000000000000000346944695195361,0,0,0,0,0
DGB,0,0,0.189473887755348,-0.195059422059616,-0.244251692346368,0,-0.318658523289789,0.551922578086411,0,0,-0.142684338692332,0.341015194056792,0,0.319583859062489,0,0,0,0,0
ZEC,0,0.195706268064883,0.0932279355526226,0.0389958856175567,0,0,0,0,-0.0544761989172574,0.0210392589471761,0,0.195522447168348,0,0.0578349416914391,0,0,0,0,0
DOGE,0,0.132658336843686,-0.0921412338350235,0.175170359149437,0,0.226207828830763,0.0896956397472991,0,0.251071192065551,0.0590068962227435,0.193841451934001,0,0.0705788195353103,0.101469879679267,0,0,0,0,0.228795939549559
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0469272951208779,0.148100266475571,0.423242244010794,0.0705492975596659,0.193759393650222,-0.0551816343173101,0.134965413408646,0.329468938790748,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0330341149520876,0,-0.00518524555841396,0.0466029868111433,-0.0122252800007041,-0.00555985810447069,0,0.0147222959704712,0.00783657263324901,0,-0.00506718171702682,0,0.0091083875014499,0,0,0,0,-0.0581291699101536
CVIX.INDEX,0,0,0,0,0,-0.0290466241079395,0,0.0563615542269302,0.00220144887384095,0.0273168090418686,0.0488904780477021,-0.00000000000000000346944695195361,0,0,0,0,0,0,0.161515229211156
DXY.INDEX,0,0.019837102004706,0.00606468266529818,-0.0118751606544815,0.007755932097683,-0.00824102208762528,0,0.006742161242126,0.00496776791324138,-0.00215162903576637,0,-0.00288546447820848,0,0,0,-0.00752163701021766,0,0,0.0109477308286607
SPX.INDEX,0,0.00118394842151536,0.00296013955199617,-0.00945293016855744,0.00422419048668039,0,0,0.00680814255459936,0.00217567080541794,0.00446594399428781,-0.00184446475826272,0,0,0,0.0128980068680015,0,0,0,-0.0284594044632663
VIX.INDEX,-0.45079651448965,-0.082158559806541,0,-0.0782731730938227,0.0505615608089624,0,0.435039378330492,-0.146047372746332,0.057439012176667,-0.121624182314489,0,0,0,-0.00956644781351769,-1.47954588423835,0,0,0,0
