,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XEM,XMR,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.134848788802149,0,0.0262398065715042,0.0377172035363171,0.100067570750491,0,0.0606626375526679,0.201309485600826,0.048172348541891,0.0114259061188572,0,0.0331807740336963,0,0,0,0,0,0,0.0137235419137542
ETH,0.238350464546039,0,0.246796330944712,0.0863540195015192,-0.0307212077347073,0.379217093811943,0,0,0,0,0,0.0296200839197642,0.0368975662197023,0,-0.0421968769354291,0,0,0,0,0
XRP,0,0.313556290626643,0,0,0,0.0728882653196674,0,0.0763389355214082,0,0,0,0,0.0520336408369929,0.0546266111026997,0.178856650723152,0,0,0,0,0
BCH,0,0.0990699382859486,0,0,0.0499204603977596,0.0894387349953561,0.0367382583514203,0,0.265538392825494,0,0,0.196789856830895,0,0,0,0,0,0,0,0
EOS,0,0,0,0.429942004730395,0,0,0.192396063785621,0,-0.180398533978868,0,0,0,0,0.229828937653069,0,0,0,0,0,-0.155291948812181
LTC,0,0.205891642459681,0,0.182574356788723,0,0,0,0.204814329117785,0.0818334418590861,0,0.0501573544376905,0,0.00357492246490028,0,0,0,0,0,0,0
ADA,0,0,0.0391460898566343,0,0,0,0,0,0.102884820561505,0,0.28995384072009,0,0.31275548061591,0.214407099312316,0,0,0,0,0,0
XLM,0,0,0.171893317868554,0.0603204471089015,0.0250279920335141,0,0.0929440361804533,0,0.00223894625917309,0.00273621582373106,0.0967629047756331,0,0.216322386795988,0.153141138068497,0.12202322994446,0,0,0,0,0
MIOTA,0,0,0,0.334422261799743,0,0,0.111695166665846,0,0,0,0.148822609279748,0,0,0.102418341177993,0.245815560442875,0,0,0,0,0
TRX,0,-0.191204079427673,0,0.643808851861159,0.0886783737951391,0,0,-0.135663110232218,0,0,0,0.475271960643861,0,-0.199039134284056,0.0207483726057578,0,0,0,0,0
NEO,0,0,-0.0104980315591343,0,0.0941772017306728,0.190177270933415,0.0381579389005132,0.200485881825311,0.16294354610959,0.0303445491459194,0,0,0.0152550807368415,0.113233521912735,0.158808706847748,0,0,0,0,0.070940537156079
DASH,0.0563572637219966,0.360650354707528,0,0.102986349686273,0,0,0.0707538257268412,0,0.101456045565032,0.0880854621213221,0.0717704613323781,0,0.0380714177403832,0,0,0,0,0,0,0.0460304774498473
XEM,0,0.218416000236039,0,0,-0.0584129799936777,0,0.266604204539729,0.175986978637473,0,0.145571984659061,0.229666811040633,0,0,0,0,0,0,0,0,0
XMR,0.0533348082497566,0,0.117455602521502,0.159577112918029,-0.0132362734343822,0,0,0.237296632495102,0.0449330659751973,0.0755739349703539,0.00000000000000000346944695195361,0.152497747996267,-0.0386082715263937,0,0,0,0,0,0,0
ETC,0,0.327857898344837,0.0480358677299604,0,0.11932665376278,0,0.0796628627548148,0,0.160137264133339,0.0928666511981802,0.0231964815567288,0.0292000617146294,0.0685882929873848,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0429884439741909,0,0,0.0162749116979334,0,0,0.0252760178436187,0,-0.0301142233840141,0,0.116505434325315,-0.0348903315656548,-0.062892029875145,0,0,0,0,0,-0.0499401464230719
CVIX.INDEX,-0.0904332769713775,0,0,-0.0720675296404154,-0.0243549621598138,0,-0.0868010837651142,0.0301566928975318,0.0673463579459269,-0.0314201611610646,0.023851394199552,0.200783743550488,-0.216517211439738,-0.0992179856673739,0.259610108871612,0,0,0,0,-0.0292716270885917
DXY.INDEX,-0.01255517561964,0.00663470970958528,0.00654692521711474,0,-0.00343080485316133,0.0124993068054894,0.00583612852160164,-0.0338138700107265,0.0000000000000000000067762635780344,-0.00746330412747669,0,0.0336623750287192,0,0,0,0,0,0,0,-0.00521714722985657
SPX.INDEX,-0.0143552344008273,0,0,0.0204414167550326,0.0105783823571172,0,0,-0.00217590910801419,0,-0.0335988666679253,0,0,0,0,0,0,0,0,0,-0.112836376494239
VIX.INDEX,0,0,0,0,0,0,0.00981681752293058,-0.152797494209234,0.00000000000000000693889390390723,0.105056040431778,0,0.157655146013047,0,0,0,0,0,0,-3.86889094727531,0
