,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.342861837238237,0.17364341727166,0.270534183946186,0,0.109676107742469,0,0,0,0.00899687859894061,0.0651576593713852,0,0,0,0,0
ETH,0,0,0,0,0.137530923706086,0.240285760174589,-0.0321747365268618,0.0483743568111099,0,0,0,0.245871851135046,0,0,0,0,0,0
XRP,0.0127414343868026,0.0558408678963684,0,0,0.0345824486015408,0.0800477653525531,0,0.0620586894694163,0,0.0258124074908632,0.0670512068133353,0,0,0,0,0,0,0.0534142512559207
LTC,0.485441830276485,0,0,0,0,0,0,0.162836539888011,0,0.150093887803449,0.10741886574543,0.0668197384046958,0.0610205135641085,0,0,0,0,0.0449236414459174
XMR,0.500323257173791,0.00681543618713092,-0.376060112053158,0.315807724335777,0,0,-0.0602790303346685,0,0,0,0.0289578884834788,0.0174050927775603,-0.0689532688708388,0,0.401625902281307,0,0,0.0657114368142702
DASH,0.500548118924875,0,0,0,0.193885596713174,0,0.303899647097526,0.0946054074727838,0,0,0.12845949406964,-0.0122088543476514,-0.0644330643669851,0,0,0,0,0
ETC,0,0,0,0.0176441091428622,0.111391235481138,0.347676581306332,0,0.103247754078867,0,0.100237170338293,0,0.197926620636523,0.154685372960761,0,0,0,0,0.00699612874500831
XEM,-0.173924928282456,0,0.0944609017032274,0.158499450574623,-0.123569191734529,0.324607763273524,0.0903189735379575,0,0,0.134404501458512,0,-0.0301776295892185,-0.00936957431443285,0,0,0,0,0
DOGE,0.454578882659785,0,0,0,-0.056799550079579,0.00000000000000000693889390390723,0.00509734250152217,0,0,0,-0.00417561958782893,0.0834814771728416,0,0,0,0,0,-0.0551318463095755
ZEC,0,0,0.305556546051782,0.408023604389404,-0.0454781996627954,0.366720212008333,-0.236171105524183,0,0,0,0,0.191572360482697,0.376241765622077,-0.0809102394861126,0.0524078332106411,0,0,0
XLM,-0.487504889413748,0.349412812146308,0,-0.0142536878538595,0.15432724694272,0.282325363613364,0,0.127130055570188,0,0.199952647431337,0,0.187122274762392,0.0428042435296252,-0.491844590251782,0,0,0,0
NEO,0.407733834450481,0.0729427620536345,0.764131789746538,-0.296663582571204,0.182649121997535,-0.153107484911252,0,0.120323075093549,0,-0.0789662460924895,0,0,0,-0.240572152660488,0,0,0,-0.0611713118395258
DGB,1.35216979505997,-0.0413120970893691,0,-0.934474760488326,-0.313693710396231,0,0.162201110375179,0.150556582409837,0,0,0.0511697878417449,0.184358267587619,0,0.174758016054029,0,0,0,0.0858110460419269
BV010082.INDEX,0,-0.0809340903297493,0.017467011404119,0,0.088137997006462,0,-0.00630574337019401,-0.0037938996791167,0.136320749583838,-0.0508154558442062,0.0325484222487083,0,0,0,-0.0778747833640284,0,0,0.0232379153032976
CVIX.INDEX,0,0.0690691294772538,0,0.0662261375840882,0.0531640446323983,0,0.0880670338536819,-0.0912323123018082,0.0737987103656722,-0.0456679330954779,-0.0407027469182926,0,-0.0774040698848568,0,0,0,0,0.0823393941253621
DXY.INDEX,0,0,-0.0434771320313031,0.00543662421175089,0.00713041181432243,0.0190622262056771,-0.00868481920745635,0,0.0300407246640639,0.00253806677176835,-0.00880589107173829,0,-0.00259461805953475,0.0795751630689589,0.0345269117491652,0,0,-0.0214791221258186
SPX.INDEX,0,0,0,0,0.00398217196673692,0.00718212099397453,-0.0126651930303059,0.0123314705286756,0,0,-0.00406886481485716,0.0166091166221085,0.012742055668704,0,0,0,0,-0.0554237330168823
VIX.INDEX,0,-0.54513063822624,0.677118820039769,0,0.164933287594728,0.154965149404294,-0.0961935078750965,-0.14836417192336,-0.0252641747606795,0,-0.0596787852431483,0.124988024258465,0.156281141980584,0,0.135805767819926,0,-3.27729105491363,0
