,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0440143187959135,0,-0.148837626081457,0.215024902350515,0.213924591078546,0.0469538924175677,0,0,0.0851206327408863,0.0521916653637411,0.0412877363661859,0,-0.0638717277202055,0.0278896768594631,0,0,0,0,0.159974522083586
ETH,0,0,0,0,0,0,0.237561049740469,0,0.0653395784618866,0.128246867242597,0,0.0657568646168778,0.117993616236213,0,0.197276199263125,0,0,0,0,0.0451526517700452
XRP,0,0.209329947516639,0,-0.0422501637191238,0,0.19021865427007,0,0.2942601594987,0.0139421585314299,0,-0.0315327018591546,0.0306429729996315,-0.187818310733405,0.159719666645529,0.0644110738836293,0,0,0,0,-0.0387099732474095
BCH,-0.558091644397595,0,0.752815543301716,0,0,0.574597136442245,0.410120093989262,0,-0.276587139032971,0.251215012321443,0,0.055874650029638,0.313427369558334,-0.991986191298844,0,0,-0.539312734340416,0,0,-0.0567667687149735
LTC,0.308032006194456,-0.0479103451637193,0,0,0,0,0.218996721211374,-0.140969287468017,-0.0336560597148572,0.0244700660104413,0.131073378736256,0,0.0878075838332544,0.00966239760555909,0.177898177611928,0,0,0,0,0
XEM,0.123361169714568,0,0.331882748624241,0,0.0979123782630377,0,0,0,0,0.19825811749772,0.0124604412133343,0.0686253613252749,-0.0699429632409636,0.15496799976889,0,0,0,0,0,0
ETC,0.0326874977520507,0.170924992450724,0,0,0.227506625428382,0,0,0.218374730877767,0.0835024573357801,0.00245201365062082,-0.0355591911897116,0.0129520945817776,0,0,0,0,0,0,0,0
DASH,0.131928511773994,0.0985750514501482,0,0,0.0674775824110289,0.163989609991486,0.177189328410569,0,0,0.156419283376254,0.0577723742770069,0,0,0,0,0,0,0,0,0.0433081498337235
MIOTA,0.407401122960284,0,0.64576102635227,0,0,0,0,0.158776756255443,0,0,0,0.0152982896442977,0.110825057168198,0.233215940722972,0,0,0,0,0,0
XMR,0.0552739701063002,0,0,0,0,0.115686233197378,0,0.403907891673181,0,0,0.000000000000000000433680868994202,0.0417074527238122,0,0.260262881967456,0.0618102134190366,0,0,0,0,0
NEO,0,0.0421414469988457,0,0,0.105746259688468,0,0,0,0,0,0,0.0351544033430709,0.420984707415535,0.150440386889023,0,0,0,0,0,0
EOS,0,0.280496528196372,0,-0.0733768084476336,-0.215822862128912,0.484524109375436,0.0738251358490054,0,0,0,0.109950367103619,0,0.281730066542428,0,0,0,0,0,0,0
ZEC,0,0.138084198623211,0,0,0,0,0,0,0.0943006010686243,0,0.0359601241484849,0.00997559617047727,0,0.157344148746514,0.274844730992833,0,0,0,0,0
XLM,0,0,0.237814703506206,0,0,0,0,0,0.0988074294423178,0.601412011158781,0.0566248622347598,0.0812852329234308,0.129090615762496,0,0.0178234224589229,0,0,0,0,0
DOGE,0,0.10016476279437,0.224232977941067,0,0.0668173025797752,0.303874521221479,0.00574209970810107,0,0.0726979170367393,0.131844359267786,0.012783627177748,-0.0602839557492817,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00737545650818282,0,0,-0.0132846930945518,0,0.0123554400702674,0,-0.00802526408752973,0.00692785641232585,0.0366815358624537,-0.0243431619427665,0,0,0,0,0,0.0336098655081547
CVIX.INDEX,-0.0338337744221618,0.00316041986797943,0,-0.0359494112325601,-0.0230417755843488,-0.0269662663932562,0.0650172352043042,-0.0880183673320715,0.0786421660363252,0.0537362439628516,0,0.0243211680192636,-0.114981763643118,0,0,0,0,0,0,0.0154663989892275
DXY.INDEX,0.00350971289343695,0.0000000000000000000135525271560688,0,-0.000166040748321246,0.00755953390936406,0,0,0,0.00615326167792105,0,-0.00297726385678361,0.000550612442627034,0,-0.00421045432712922,0,0,0,0,0,0
SPX.INDEX,0,0.00403130577842842,0,0,-0.00015811355372475,-0.00272892290333776,-0.0044895565553554,0,0.000657189505127774,0,-0.000359761092344637,0.00155281764751547,0.000588395718594571,0,0,0,0,0,0,-0.0613007051470176
VIX.INDEX,0,0.147887471051844,-0.302192338810741,0,-0.0217954272116766,0.0524535794244613,0,0.134119676831261,0,0.141769658886775,-0.0748471059782403,0.0198448930949117,0,0,0,0,0,0,0,0
