,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.295887142135368,0,0.110653830593451,0,0,0.0344902618891521,0,0,0,0.0113955637715843,0.0291618147823572,0.0569886078862252,0,0,0,0,0.0708848992375713
ETH,0,0,0,0,0.210010844445197,0.136920665260072,0,0,0.0355822742541425,0,0.0786632650984181,0,0.0693005025465522,0,0.0337312717632412,0,0,0,0,0.0152827049885155
XRP,0,-0.280343047100326,0,0.0956064704832386,-0.217870750664232,0.370962654134474,0.014354637370894,0,0.0152698006394257,0.0382110733746812,0.12454546785946,-0.0632442546118784,0,0.462848182689745,0,0,0,0,0,0
LTC,0.479200326221751,-0.10062811310852,-0.164100245376389,0,0,0,0.00242831999559912,0,0.104824750522059,0,-0.0509367044122276,0.171531308324499,0.0819611460069371,0,0.0249054470942231,0,0,0,0,0.0597858233903395
ETC,0,0.193718453509545,-0.0819222703843381,0.184824627272232,0,0.163027264162475,0,0,0,0,0,0.0426797967916287,0,0.0355658739862756,-0.0288940778686573,0,0,0,0,-0.000000000000000000867361737988404
DASH,0,0.207135334888061,0,0.0247211482194663,0,0,0,0,0.330127876229342,0,0,0.102473161091185,0,0.101486889031192,0.000878958009968101,0,0,0,0,0
XEM,0.192660401655745,0,0.0596658244104192,0.0626838405985619,0,0.131894322172216,0,0,0,0.138193069186178,0,0.0333450256370523,0.280226035268349,0.197005482390373,-0.0386649978443043,0,0,0,0,0
MIOTA,0,0.145818217530223,0.0966049700386253,0,0.0340948072448346,0.1029445720373,0.186448075324911,0,0,0.0193567829343668,0.0336223889492323,0.0882465145070143,0,0,0.0502604325163383,0,0,0,0,-0.119031924078068
XMR,0,0,-0.0102431390256314,0.347953980177548,-0.0934227602987809,0.499320103707655,0,0.00000000000000000173472347597681,0,0,0.0432535341922153,-0.16066462360834,0,0.137048593935934,0.0256810546374652,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.236736232712115,0.0306088902334711,0,0,0.0241546548893008,0,0,0.112983770681534,0.0392998912609458,0,0.0956221108897553,0.06741891298792,0.00479195732110592,0.031201022499784,0,0,0,0,0
NEO,0,0,0,0.422327303909902,0.341902597881748,0.219118015340824,0,0,0,0.0513207497130714,0,0,0,0,0.136767386421239,0,0,0,0,0
DOGE,0.290268024166198,0,0,0.0557530363731854,0.150672143897536,0,0.327223115663838,0,-0.0413982767451757,-0.0486747177747853,0.31070144807051,0.0216092585547752,0,0.149825442260835,0.0367235340418499,0,0,0,0,0
XLM,0,0,0.337372872101334,0,0,0,0,0,0.351577796291038,0.129133495843533,-0.125624023919653,0.181783230473758,0,0,0.108522412205301,0,0,0,0,0
DGB,0,0,0,0,-0.135502089539152,0,-0.297817516091036,0.106057065161784,0.485760289098747,0.212117708504553,-0.266566988178259,0.144649862780538,0.606251288162426,-0.0450003338688399,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00999213786060822,-0.0159591580413196,-0.0153880023612567,0,-0.0353949069055944,0.00221701859886736,-0.000851949959602354,0,0.0256487344803872,0.00425530326884001,0.0139815336762992,0.0225939113145298,0.0050375771312659,0,0,0,0,0
CVIX.INDEX,0,-0.0382618113466033,0.0260416092920343,-0.047793725353929,0.050249470366297,0,0.0333485557393338,-0.071951457524697,0.0335647748512681,0.0200280423238627,0,0.029845653416241,0.0283892103822764,0,0,0,0,0,0,0.0982103892124239
DXY.INDEX,0,0.00901414918557967,0,-0.00121942743061279,0.00988624910528906,0,0,0.00161874752077772,0,0.00204865027895554,0.00522887853812869,-0.00254865949904742,-0.016530560985288,0,-0.000270636317259152,0,0,0,0,-0.00456926877552484
SPX.INDEX,0,0,0.00365284142539586,-0.00220643685484735,0.00359694175763283,0,0,0,0,0.00206683648342121,0.00408158721686933,-0.00129236393878249,0,0.00143213907310128,-0.00155511174941875,0,0,0,0,-0.0493778372343728
VIX.INDEX,0,0,0.200399073217879,-0.200801370222849,0.223022114464583,0.166343677439373,0.19352138036233,-0.263738423960317,0,0.0567528737485067,-0.0524437932207452,-0.0888348669469568,0,-0.114631818171973,-0.168647030238093,0,0.0493703052427789,0,0,0
