,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0343718906447783,0.00289001904887063,0.0508944167621856,0,0.0213446742392625,0,-0.0012486913123003,0.00762499333906348,0,0.0107228933727586,0,0,0,0,0,-0.0130319690612081
ETH,0.0302659900497063,0,0,0,0.135855448586992,0.0240141287166037,0.0638818410913701,0,0,0.161768160490484,-0.00615681350088052,-0.0111724346071478,0.862341053127422,0,0,0,0.0864849110224613
XRP,0,-0.481409630650527,0,0,0,0.0411917617093013,0.248475701506257,0.109576088433911,0.381911428396835,0.406797986095133,-0.108637879132194,0,0,0,0,0,0.0626223121557728
LTC,0.474914305556917,-0.0733427078798336,-0.00972566995873819,0,0.0951408931578873,0.00774847825577558,0,0,0.207592392643454,0,0.0118461710814013,0.0451175821377797,0,0.0453388447205257,0,0,0.0311256255119495
ETC,0,0,0,0,0,0.0411717508425656,0,0,0,0,-0.0571372369369818,0,0,0,0,0,0
XMR,0.932053947046772,0.342092019555796,-0.0491809883324592,0,0.179530687011385,0,0.256876313511511,-0.00489310629498626,0,0,-0.21332698194827,0,-0.824441594027879,0,0,0,-0.0690779408025832
DASH,0,0,0,0,0,0.0446303214786676,0,0,0,0,-0.0798697153989246,0,0,0,0,0,0
XEM,0,0.207494867138001,0.198726380148162,0.220606474097435,0,0.156686454528012,-0.16535010636018,0,0,0,0,-0.0590030407486559,0,-1.00311098963605,0,0,0
DOGE,0,0.0602008684138501,0.080876951800047,0,0.0306844671469905,-0.0766972477476294,0,0.101796390604136,0,-0.0711459672168885,0.0466024440955966,0.137227235698235,-0.33289540691396,0,0,0,0.090160905859
XLM,0,0,0.565772030932128,0,0.133502360228316,0.0459734125632769,-0.104643706774094,-0.190263374847756,0,0,0.0298665952563673,0.0586868832881191,0,0.534550080113453,0,0,0.000972635522357178
NEO,0,0,-0.362650563442221,0,0.000000000000000000433680868994202,-0.059632009493795,-2.97485060601548,0.57366658226986,0.887885310398364,0,0,0,0,2.73316426341713,0,0,-0.535164513290727
DGB,0.773494025653037,-0.699804647959341,0.283877020749508,0,-0.254028174937662,-0.0467848393863107,-0.0981546673984085,0.278171009845984,0,0.0503122104344414,-0.0828423442791157,0,1.24000716596041,0.818488953352274,0,0.0776948718118455,0.000000000000000000867361737988404
BV010082.INDEX,0,0.0427176506108537,-0.0392113285737606,0,0,0.0321291696548934,-0.139128707373508,-0.0452958212054455,-0.280789816239782,0.00121889428642079,0,0.0477762370806195,0,0,0.362373473104474,0,0.0498825705320635
CVIX.INDEX,-0.425888464691357,0.0536266030296835,0,0.332550617558869,0,0.0189519642007952,0,-0.0902146386303542,0,0.098403480496648,0.00804932397335073,0.0172087253030312,0.132820356339593,0,0,0,0.10032350261071
DXY.INDEX,0,-0.005413040272488,0.0103433600034079,0,0.000163098692816022,0.00469908593779667,0.00269159180299285,-0.00867113848460122,0,0,-0.0023625338459114,0,0.139429089825927,0.0234226121832911,0,0,0.000898418121342341
SPX.INDEX,-0.00192387962288909,0,0.000000000000000000216840434497101,0,0,-0.00802715913485129,-0.00864878452908564,0,0.033260061180063,0,-0.00446701614738746,0,-0.0577474994818087,0,0,0,-0.066478148769755
VIX.INDEX,0,0,0.0488326852215025,0,0,-0.286834012436561,-0.185458058513925,0.0385868170444084,-0.160768238523187,-0.114101984449471,-0.0500331063909639,0,0,0.675808197786438,0,-4.83025708650722,0
