,BTC,ETH,XRP,BCH,MIOTA,LTC,NEO,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.137570795035222,0.027222436473137,0.277477000768334,0.00307850513989491,0,0.134309993451834,0.0372910747648998,0,0.0477217615111952,0,0.039769346112572,0.0173745969578754,0,0,0,0,0.093900639784079
ETH,0,0,0.100908331631771,0,0.0807651271377901,0,0,0,0.0612239295051726,0.180405705830006,0.045897245303772,0.0288127390286556,0.0113012294425405,0.190194268508084,0.0442000242931901,0,0,0,0,0
XRP,0,0.305242208633111,0,-0.00593436969234667,0.0940191811638506,0,-0.0221380928557472,0.0909314244229289,0,0,0,0,0,0,0.163096059976628,0,0,0,0,0
BCH,-0.0162891267671299,0,0,0,-0.491160256843951,0,-0.0313200959023892,0.501070902519575,0.0769357041928453,0,0.322038641217854,0,0.0514052562854128,-0.273626587261552,0,0,0,0,0,-0.570059924361915
MIOTA,0.478160479261644,0,0.779367079908977,0,0,0,0.00805575540927275,0.448171028795592,0.261630961266909,-0.19211456003473,0.191226832468485,-0.0249861417888307,0.0947832803652005,-0.362616954133801,0.286159720942853,0,0,0,0,0
LTC,0,0,0,0,0.0842674556156057,0,0.0362530769666379,0.0194734749953941,0,0.23370795261944,0.0735290851542745,0,0.0395419645919176,0,0,0,0,0,0,0
NEO,0,0.412096649251739,-0.591738461839704,-0.0473208020981493,0.142192983963492,-0.00000000000000000346944695195361,0,0.0502106761722439,0.339298540824899,0.191298886622409,-0.00000000000000000346944695195361,0.0672097565657099,0,0.167135488290941,0.113543173081128,0,0,0,0,-0.219032551971694
XEM,0,0,0.33097572412256,0,0,0,0.0332105048428098,0,0,0,0.33100487991242,0,-0.00918557830587833,0.093650621466272,-0.00115205638780661,0,0,0,0,0
DASH,0,0.158646887908052,0,0,0,0,0.0555875848769521,0.145297145059563,0,0.10979013830411,0.270141246714923,0.0286440132270198,0,0,0,0,0,0,0,0
ETC,0,0.267392183829282,0,0,0.04503774727968,0.105173049643225,0,0,0,0,0.209245908951883,0.0142214834441817,0,0.000000000000000000216840434497101,0,0,0,0,0,0
XMR,0,0.0373137545437461,0,0.0648445948454923,0.0378481195271185,0,0,0.12168741922193,0.395003073022529,0,0,0.0557355745332032,0.0584646777617384,0.125251348550562,0.0261746391439223,0,0,0,0,0
EOS,0,0.356584608494352,0,-0.0564679972981525,0.103052273455889,-0.305408792252167,0.0781455655038429,0,0,0.490961956450002,0,0,0.331874969756909,0,0,0,0,0,0,0.050467752284381
ZEC,0,0.0664040358542432,0,0,0.157747965718739,0,0,0,0,0,0.211105603999742,0.0315260758474769,0,0.0175613673102378,0.192815611534211,0,0,0,0,0
BAT,0,0.376615355096715,0,0,0,-0.222782753626696,0.0159627213331237,0.20681476714605,0,0,0.116981290787671,0,0.0983944004328226,0,0.156007313646203,0,0,0,0,0
DOGE,0,0,0.468366557891456,0,0.0328943442213186,0.13378109375626,0.00223987296786611,0,0,0,0.150594985324974,-0.0341263966595926,0,0.166845011827956,0,0,0,0,0,0
BV010082.INDEX,-0.0470471902373723,0,0,0.0100248821487546,0.00949545685664807,0.0140811150492966,-0.00882196399194613,0,0,-0.0224623202347495,0,0.00780559667169597,0.0274892334448267,0.00332011593351902,0,0,0,0,0,0.0122640764780164
CVIX.INDEX,0,0,0,0,0.0565070227415875,-0.00659692320906759,0.0108388106308498,0,0,0,0,0.020157707449094,-0.1207291513086,-0.00954631240472294,0,0,0,0,0,0.0152732920103196
DXY.INDEX,0.0324135025288384,-0.0279425020109615,0.0296285472253497,0.00136314067995101,0.00641021776389327,0.00680530644526993,-0.00451774749781871,-0.0186085187652018,0,0,0,0.00488013670846422,0,0.00298821142781055,-0.00737621848324084,0,-0.0306451350502981,0,0,-0.00348090046739866
SPX.INDEX,0,0,0,0,0,0,-0.000847356765193789,0,0,-0.00296105141854559,0,0,0,0,0,0,0,0,0,-0.0550358752435271
VIX.INDEX,0,0.0437805019424245,-0.243900387686539,0,0,0,-0.029551713035111,-0.0821396359720464,0.275944768542505,0.0369899947089061,0,0.0339740648123787,-0.00558335368221896,0.144540318991741,-0.121596887085086,0,0,0,0,0
