,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.172104776641588,0,0.00327674078381115,0.0246237609180417,0,0,0.0399328707107627,0.0909159071184654,0.109696004917962,0,0,0,0.014426935931173,0.0928311700378115,0,0,0,0,0
ETH,0,0,0.269589820327067,0.0859548504652924,0.00978455619870566,0,0,0.0946184665128266,0.0792490476198493,0.14344695365071,0.0404292425283765,0,0.00888054894267957,0.0681826177390944,0.0802839105403519,0,0,0,0,0
XRP,0,0,0,0,0,0,0.219703939945961,0,0.0315347070048557,0.172861069837037,0.101563802153678,0,0.0672794087616491,0,0.045696468888367,0,0,0,0,0
BCH,0,0.326457566669222,0,0,0,0,0,0.194686225389647,0,0.198628264738544,0,0,0,0,0.0640692401362694,0,0,0,0,0
EOS,0,-0.0896519337574742,0,0.176250729788945,0,0,0,0.399435365491783,0.106244050911586,-0.0260943488980585,0,-0.494343637622305,0.745143746392104,0.219545302137977,0.110588617575652,0,0,0,0,0
LTC,0,0.0605944216613697,0.282235275805825,0.11854726826335,-0.00000000000000000173472347597681,0,0.0571440685213439,0,0,0.0531362951913676,0.0948937488910838,0,0,0.0354560488637806,0.0782846983880186,0,0,0,0,0
XLM,0,0.189954303763627,0,0,0.156943057296485,0,0,0.291820398009203,0.00418498116028165,0.0385047196260725,0.120248138881603,0,0,0,0,0,0,0,0,0
ADA,0,0.028417290115235,0.0732997146977289,0,0.123317275905903,0,0.261717744107501,0,0.110997351292332,0.178833661812284,0,0,0,0.0137679374072175,0.0615273162192521,0,0,0,0,0
TRX,0,0,0,0.164873941875907,0.287131202564935,0,0.20825973171783,0,0,-0.031572849428483,0.156806843449951,0,0,0,0.0868946721287494,0,0,0,0,0.0100950019250401
MIOTA,0,-0.00000000000000000173472347597681,0,0.0574862488849938,0,0,0.299633680680594,0.385480441549693,0,0,0.162085768242038,0,0,0,0.0245080161440332,0,0,0,0,0
NEO,0,0,0,-0.000000000000000000433680868994202,0.00000000000000000173472347597681,0,0.153958914686473,0.179675568154541,0,0.201354456991518,0,0.130250957155846,0,0.068978714026432,0.0171713551990316,0,0,0,0,0
DASH,0,0.318469188493204,0,0.0533015304211788,0,0,0,0,0,0.0544721381030898,0.174897552492983,0,0.0310584247937885,0.0127425217996737,0,0,0,0,0,-0.0170602175587893
XMR,0,0,0.266475604554132,0.106037108803148,0,0,0.0248913868188069,0.157549616152163,0.0560089954862644,0.064575792685262,0,0.0237650621866021,0,0.0570143947704643,0,0,0,0,0,0
BNB,0,0.189466297076258,0.168137540764846,0,0,0,0.0648011575138423,0.278199189378499,0,0,0,0,0,0,0.0371293760662188,0,0,0,0,0
ETC,0,0,0.177113191634694,0.222265335058055,0,0,0.252055518786468,0,0,0.125356272512936,0,0,0,0.0358641363832513,0,0,0,0,0,0
BV010082.INDEX,0,0.0809442812905646,-0.0461251688224464,0,-0.0781604018926503,0,-0.106068158714123,0,0.0403644272356792,0,0.146326805748452,0,0.152933912507839,-0.0558130931587199,-0.0671426789802007,0,0,0,0,-0.291299197067402
CVIX.INDEX,0,0,0.127155484160905,0,0.0365520762476466,0,-0.043599421649059,-0.180721348802139,0.155153204101712,0.0712112603354911,0,-0.168222230520344,0,0,0.076040641783791,0,0,0,0,0.0850762782970551
DXY.INDEX,0,0,0,0,0.00593710524152501,0,-0.01008426253451,0,0.00921960490655873,-0.00594096741608499,0,0,0,-0.00106678335400774,0.0158152903148144,-0.0664926487873531,0.0204001220876949,0,0,0.00298900182776446
SPX.INDEX,0,0,0.0237689476356704,0.00205195980741631,-0.0129287697490667,-0.0195887358962348,-0.00148291470549657,-0.00378234981239539,0.011175002878547,-0.0157235814133839,0,0,0.0178037923074598,0.000819475713130243,0.0122780587130415,0,0,0,0,-0.085266580128043
VIX.INDEX,0,0,0,-0.105913432636308,-0.323477864432324,0,-0.417682701438524,0,0.00000000000000000693889390390723,0.159604834811098,0.614332963433053,0.286059489171619,0.155471007586035,-0.199387322991362,0,-1.42296138449484,-0.357142396211818,0,0,0
