,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0557112372648939,0,0.221957781259322,0,0,0,-0.00040823343776584,0,0,0,0.00758550095164367,-0.0250008833239462,0,0,0,0,0
ETH,0.23769300481003,0,0,0,0.154081642976063,0.225499944939259,0.278280373726866,-0.0311487966573273,0.213395601381985,0.0773133701911344,0.00631023849122003,0.0466088585194772,0.110041968426935,0.85112330062381,-0.194519586141096,0,0,0.204518743446051
XRP,0.14067436033337,0,0,0,-0.00696405474248953,-0.0108995796078516,0,0,0,0.316212202224966,-0.123189102132496,-0.0398473204284243,-0.292290098388751,-0.10089259101457,0,0,0,0.0521711159970245
LTC,0.47913294122596,0,0.0274965484882075,0,-0.130682797277671,0.0368375716279024,0,0.0389498148101446,0,0,0,-0.0107289564611316,0,0,0,0,0,0
XMR,0,0.482082658541129,0.197458791961654,-1.46939443273755,0,0.138867083295362,0,0.08780855304067,0,0,-0.0952148370375389,-0.0520073802779796,-0.156732760428109,0,0,0,0,0
ETC,0,0,0.11777435148016,0,0,0,0,-0.0189490872915551,0,0,-0.0481285939744156,0.0246173202736763,0,0,0,0,0,-0.087464605496753
DASH,0,0,0.0315271173554882,0,0.0334201065067358,0.0718774412234068,0,0,0,0,-0.0795697608296744,-0.0951253870478878,-0.0143334132790625,0,0,0,0,-0.0934313995334234
XEM,0,0.101055819425014,0.295458518323073,0,0.204884061082758,0.191202889983021,-0.661295676562683,0,0,0,-0.035718206074416,-0.0805670884082278,-0.0864968542125435,0,-0.536501485997147,0,0,0
DOGE,0,0.0824179439660994,0,0,-0.103162355803572,0.00000000000000000173472347597681,0,0.00913032063891762,0,0.0736164570489529,0.0243971636178717,-0.0120326298975676,-0.0680846914998467,-0.2044430036192,0,0,0,0.0173139588389382
XLM,0,0,0.457081047276321,0,0.0558725534049826,0.216925518550624,-0.0970857703825135,-0.200792529026973,0,0,0.0328139570698029,-0.0495472775846571,0,0,0.26802416567886,0,0,-0.00000000000000000346944695195361
NEO,0,0.852068895840219,-1.36123318898941,0,-0.331368615535423,0,-0.574430394578253,-0.498595412721274,3.08425419013824,0,0,-0.151935862732406,-0.412299282119328,0,0,0,0,0.30833281965416
ZEC,-0.85089445411414,-0.166111983611031,0,0,0,-0.025601931551863,-5.73321280619377,0,0,0,-0.563904357426533,0,-1.64143353426298,0,0,0,0,-0.503338027957125
DGB,0,0,-0.146341894005451,0,-0.0827934501138431,-0.240112086679254,0,0.0710070691110969,0,0.227939332617139,-0.110458361754345,0,0,0,0,0,0,-0.0181013328264749
BV010082.INDEX,-0.25164487665022,0.110474881735332,-0.0975403867573614,0,-0.0395423508947612,0,0.0326859496861742,-0.0230722921334195,0,0,0.0336901427426396,0.00267586436650119,0.0218218873212956,0,0.105456196849143,0.175808240615158,0,-0.0823064556601215
CVIX.INDEX,-0.0372144727558794,0,-0.192865556219494,0,0,-0.262121588723429,0.191686069404759,-0.12045099256556,0,0.123690350236993,-0.0337790313124708,-0.0117096679426559,0.0402951081916186,0,0,0,0,0.181258963324567
DXY.INDEX,0,-0.0113587797035307,0.00517767920433013,0.0448103050854461,0.020245046981075,0.0116012842765736,0.0110210596431534,0,0,0.00549278975504618,0.00715307676373735,0.00300479631832985,0.00969594904863933,0.155579912799217,-0.00991592907564496,0,0,0.00110415144087538
SPX.INDEX,0.0409107507163677,-0.0244718207453851,0,0,0.00153460609934344,0,0.00403291326538675,0.00147425259179186,0,0.0195015517372633,-0.00118770702919376,-0.00322967169812682,-0.0112398758637999,0,-0.0346488170555336,0,0,-0.0409223663910695
VIX.INDEX,0,0.43403466577914,-0.462282459779205,0,0,0,0,0.197274334902805,0,0,0.00471176746852621,-0.013009432509175,0,-0.631722438156383,1.00296437418512,0,-2.26014675222128,0
