,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.226181543321598,0,0.0362257179615409,0,0,0.152360741945015,0.0691990696254684,0.0312757510511051,0,0.0390753316739552,0,0.0374254359993102,0,0,0,0,0
ETH,0,0,0.00752218717621393,0.211168426316996,0.225850054255962,0,0,0,0,0,0.145926301008016,0,0,0.1077528962369,0,0,0,0,0,0
XRP,0,0.287450016249917,0,0,0.144109561033318,0.0929237935919856,0,0,0.0703365019064545,0,0.0477360319827801,0,0,0.118783370100608,0,0,0,0,0,0.00951062242948232
BCH,0.0329043696361094,0.417987708178236,0,0,0.151680878994262,0,0,0,0.395272765279613,0,0.0341268609984702,0.027787810622201,0.0000000000000000138777878078145,0,-0.00000000000000000693889390390723,0,0,0,0,-0.0774655331614611
LTC,0.171062068803451,0.192169344858866,0,0.172799241964882,0,0,0,0.0689815995357979,0,0.0868863328809148,0,0,0,0.0252848932763008,0.0923198002986957,0,0,0,0,0
EOS,0,0.0440051871624289,0.120815815920381,0,0,0,0,0,0.144577030991949,0,0.158835364394675,0,0,0.0707867054961981,0.354252665943146,0,-0.140950688418851,0,0,0
ADA,0,0,0,0,0,0.119458865564555,0,0.52153466761545,0.0622657177675809,0,0.141628984961258,0,0,0.0122557848369405,0,0,0,0,0,-0.0412317441241313
XLM,0,0,0,0.11736358424611,0,0,0.2133684230748,0,0.0341132405644774,0.266925869695066,0,0.0620463072555811,0.0587326750095077,0.194435666702608,0,0,0,0,0,-0.0034135845089312
NEO,0.104184109056254,0,0,0.0952197985815162,0,0,0.110988473389186,0,0,0.0727637859220749,0.215835838042905,0,0,0.0599864803416884,0.212584275242659,0,0,0,0,0
MIOTA,0.0883223058018008,0,0.0850459938798151,0,0,0.0872465430376865,0,0.0426481732230255,0.325953745434467,0,0.0855047927574396,0,0.0761923295129424,0.0873162971640767,0.072345782290453,0,0,0,0,-0.0475038139607476
XMR,0.482237289725365,0,0,0,0.213027299962785,0.0168179718198484,0,0.0615874991180769,0.122467056396691,0.121810235939093,0,0,0,-0.0483224347335617,0,0,0,0,0,0.0869018209807501
DASH,0.308941196588552,0,0,0.0549610077798637,0.0447310935332486,0,0.0763826623146144,0,0.119999804325333,0.0620343971806028,0,0,0.0913203764387362,0.0575420247572316,0,0,0,0,0,0.0324881394421161
TRX,0,0,0,0.170664574117352,0,0.316040759194681,0,0,0,0.416736927588055,0,0,0,0,0,0,0,0,0,0.111680212366661
XEM,0,0.0778474287198045,0,-0.0219623690101467,0,-0.13487894152187,0.401427233524229,0,0.343399452282669,0,0,0.0179342465798293,0.171812335614972,0,0,0,0,0,0,0
ETC,0,0,0.143237834164504,0.229917893437286,0,0.299555474205904,0,0,0.099855261921982,0,0,0,0,0.108245257598029,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.0295991578346101,0,0,0,0,-0.00358827853837925,0.104536209119592,-0.049104100328999,0,0,0,0.00578620864931926,0,0,-0.0496972376307499
CVIX.INDEX,0,0,0,-0.148338712433866,0.0535881796777291,-0.0906929608033872,0.115381138931728,0,0.0630744983975162,-0.0514158777589161,-0.0222656065873656,0.226191256207515,0.0477804160656554,-0.221728567526143,-0.00842212022034834,0,0,0,0,0.0124986857757361
DXY.INDEX,0,0,0.01274374979037,-0.00958968274178692,-0.00951544145262133,0.00965464102585101,0,-0.00708499835723906,0,0,-0.0149723664413048,0.0222408679989053,-0.0128000616109144,0,0.00938665361265496,0,0,0,0,0.00891826938450375
SPX.INDEX,0,0,-0.0231071310891923,0,0,0,-0.0271902461461696,0,0.0392140677070565,0,0,0,-0.0340847470180793,0,0,0,0,0,0,-0.0855280581300282
VIX.INDEX,-0.311733785147215,0,-0.0454983518082989,0,0,0.201216600288433,0,-0.0245971590512466,0,-0.338935064782646,-0.004271225537214,0,0.157861475258462,0.00263544988599764,0.151515280853264,-0.852620571385832,0,0,-4.81728737445428,0
