,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00078403159297527,0.227213032272725,0,0.172911930309835,-0.000000000000000000867361737988404,0.0730621389537429,0,0,0,0,0.218292686967459,0,0,0,0,0,0
ETH,0,0,0,0.0078164876281693,0.222123808495902,0.231943803835944,0.308982915939336,0,0,0,0,0,0,0,0.0176162669692448,0,0,0,0,0
XRP,0,0,0,0.202140390295386,0.148530947295431,0,0.129083455941868,-0.00000000000000000346944695195361,-0.0386933684564861,0.155348271581067,0,0.216406225914436,0,0,-0.178235243264481,0,0,0,0,-0.0289114804250131
BCH,0,0.0934960344563887,0.202944534542625,0,0,-0.0000000000000000138777878078145,0.285663938920564,0.0837530430288787,-0.00638235341289648,0,0.250140984561782,0,0,0,0.072148250711106,0,0,0,0,0
LTC,0.21853245009593,0.153973569144902,0.109031710750741,0.00638153945013659,0,0.336339926009748,0,0.0238377591583316,-0.0287110510155943,0,0.0247362201260599,0.00919596768966808,0,0,0.158111565310866,0,0,0,0,0
EOS,0.0925306298539679,0.194750004115182,0,0,0.401113140644531,0,0,0,0,0,0.226349376503538,0.112602741915109,0,0.0217374415123186,0,0,0,0,0,0
BNB,0,0,0,0.239947787019159,0.275393940409404,0.0671099058949948,0,0,0.080022231255443,0,0.0499149257858803,0,0,0.0427444556298583,0.0700106371134091,0,0,0,0,0
BSV,0,0,0,0.36224289374951,0,0.0273640836740656,0,0,0,0.310411457946215,0.0205963757008013,0.223544809892233,0,0.00000000000000000346944695195361,0.00000000000000000346944695195361,0,0.450580626641253,0,0,-0.0910795376557924
XTZ,0.32998354771103,0,0.376353889404727,0,0,0,0,0.00000000000000000346944695195361,0,0,0,0.306407318962446,0,0,0,0,0,0,0,-0.0667797375113919
XLM,0,0,0,0,0,0.219123750587173,0,0.165135034851548,-0.0608364127184367,0,0,0,0,0.0187161972007039,0.145604783768348,0,0.128306077270899,0,0,0
TRX,-0.131117506370822,0,0.0312463592762786,0.354705805957035,0,0,0,0,-0.0092419489997837,0.0918473456600579,0,0.514156084442743,0,0.238816271703291,0,0,0,0,0,0
ADA,0,0,0.114811880143498,0,0,0.414243008917319,0.0422477669991093,0.00942739712137923,0.0228597961443253,0.0649572730158448,0,0,0,0,0.140235578668069,0,0,0,0,0
LEO,0.356249020621426,0,0,0.0267414516713263,0,0,0,-0.0278084572208129,0.101816638673646,0,-0.144246199293309,0,0,0,-0.081982416016266,-0.120046434890357,0,0,0,0.0717967689704402
XMR,0,0,0,0,0,0.216614986259055,0.163857976925743,0,0.118179003697873,0,0.209210680934011,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0.0339556298426114,0.0191532932942436,0.183186111436054,0,0,0,0.236284126336736,0,0.478287829363261,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.20167490875922,0.303960492765207,0,-0.16113540740066,-0.125297921973667,0.112389931483184,-0.253920487958511,0.146442191117263,0,-0.384463063575682,-0.108637148342167,-0.248445464570899,0,0,0,0,-0.131730602307506
CVIX.INDEX,0,0,0,0.0515305214637481,0,0,0,0,0.127352037557266,0,0,0,0,0.0675397306220223,0,0,0,0,0,0.0710237411688315
DXY.INDEX,0,0,0,0.00605482825011445,0,-0.00308475679869262,0,0.00913099921735855,-0.00290602141266895,0.0198483012978178,-0.0100286878121755,0,-0.0428265127419645,-0.00908374130374094,-0.02022799120738,0.0426793199952717,0.0169628872907219,0,0,-0.00708051478695864
SPX.INDEX,0,0,0,0,0,0.0191319819712292,0,-0.00261255142355808,0,0,0,0,0,0.00348108901203776,0,0.0610306382271613,0,0,0,-0.0374310539386225
VIX.INDEX,-0.113703621398332,0,-0.46712015756451,-0.00000000000000000173472347597681,0,0,0,-0.162768851672053,0.00810836922660196,0,0,0.541181476743516,-0.158911185023503,-0.162111962115023,-0.259286722681225,0,0.629562440439306,0,-2.51323000768966,0
