,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.269482833812343,0.0194914478259711,0.104212865712381,0.0654910836811897,0,0.0404492363612816,0.047315347494909,0,0,0,0.0315648299449545,0,0,0,0,0,0
ETH,0,0,0,0,0.0718196321909025,0.183266419890584,0.109537325350183,0.0590244385644594,0,0,0,0.308783857129573,0,0,0.0910790114119461,0,0,0,0,0
XRP,0,-0.20921469016685,0,0,0.13265500260621,0.181937244337071,-0.094734402054495,0.0521805722430937,0.131751814270561,0,0.137412380816069,0,0.247011525124359,0.139113160964958,0.238803142422207,0,0,0,0,0
BCH,0.186614934780767,0,0,0,0.189294945293473,0,0.140557898860943,0,0.195679177100704,0,0,0.266723468700397,0,-0.0284359327466337,0.111854904931495,0,0,0,0,-0.0234461018166582
LTC,0,0,0,0.24870486637609,0,0,0,0,0,0.069854639220777,0,0.0362309167215334,0,0.0339464053479345,0.167689643299795,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0632566170372183,0.0847096378643148,0,0.117574031255344,0.193589656779342,0,0.130157153009118,0.111994210924786,0,0,0,0,0,0
NEO,0,0.269041337839081,0,0.156383323797628,0,0.0795579178394561,0,0.0697702102321475,0,0,0,0,0.0348695397525764,-0.0194457375583409,0.246314351576683,0,0,0,0,0
XLM,0,0,0.35626761011524,0.0990416990122236,0,0,0.14032092454102,0,0.173745950680741,0,0.081490283417988,0,0.0609533140232955,-0.0714266226471541,-0.0000000000000000138777878078145,0,0,0,0,0
XMR,0,0,0.00000000000000000346944695195361,0.087891124195006,0,0.137261775943499,0.101834224506476,0,0,0,0.219705690501883,0.182277940855142,0.0120360669295549,0.0145306398817212,0.0897140014095751,0,0,0,0,0
EOS,0,0,0.0412823590420975,0,0.0380302399455484,0.0869851114580038,0,0,0.0861480232729524,0,0,0,0.172115228609115,0.110311450651189,0.188122686514598,0,0,0,0,0
MIOTA,0,0,0.216051610192083,0.1871205844242,0.0383411799563432,0,0.0162581359563063,0,0.194867800850181,0.104795955381177,0,0,0.0368576443836201,0,0.0287829925255148,0,0,0,0,0
DASH,0,0,0,0.0352545338308974,0,0,0,0,0.0926276246444143,0.211967900498521,0,0,0,0.0356103940019682,0.174044131145289,0,0,0,0,0
XEM,0,0,0.00000000000000000346944695195361,0.0403215710178296,0.233739007100516,0.253527118411858,0.168958291440998,0.208397192101609,0,0.015982675335055,0,0,0,0.0375552638583662,-0.00000000000000000693889390390723,0,0,0,0,0.0567737638189356
TRX,0.45341556357454,0,0.349624612431449,0.142602095990233,0,0,-0.258553219485242,0,0,0,0,0,0.362817228600403,0,0.0236148173685967,0,0,0,0,0.148527213296533
ETC,0,0,0.173021039606894,0.17903168288341,0,0,0.188632692573496,0,0,0,0.0914137937857635,0.194967905700105,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0329814164664249,0,0,0,0,0,0,0.0155966962209254,0,0,0,0,0.0196142394245809,0,0,0,0,-0.041527898753855
CVIX.INDEX,0.0214985905426488,0,0,0,-0.000000000000000000433680868994202,0.0949280405613023,0,0,-0.0290912823671674,-0.00133839849000749,-0.0433072360909953,0,0,-0.0115911108063355,-0.0572979945603986,0,0,0,0,0.0670001234742973
DXY.INDEX,0,0.0194309098097738,0.0182475685173227,0,0,0,-0.00434944608199757,0,-0.00489304002682724,-0.0177946549929359,-0.00291855735801933,-0.00697072655230666,0,-0.0120413655897218,0,-0.03363431052289,-0.0190734553463048,0,0,0.00337871672582913
SPX.INDEX,0,0,0,-0.0208143641079998,0,0,0.0151614630090458,0,0,0,0,0,0.00525137918210621,-0.00559157148898053,0,0,0,0,0,-0.0626513952560988
VIX.INDEX,-0.0131400343303391,0,0,0,0,-0.229808934503041,0.238835901543824,0,0.0509502627282205,0.0704189689551774,-0.340169492269672,0,0.101182174277514,0.0574839538691127,0.186865366161755,-2.02099555949123,0,0,-4.5342495109943,0
